seed,feature_group,density_bin,density_definition,thresholds_json,perturbation_type,strength,trial_id,n_samples,n_masked_features,baseline_auc,perturbed_auc,delta_auc,auc_drop,flip_rate,benign_to_malware_rate_overall,malware_to_benign_rate_overall,benign_to_malware_rate_cond,malware_to_benign_rate_cond,mean_abs_probability_shift,mean_signed_probability_shift,mean_margin_shift
13,header,mid_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",random,0.01,3,239508,1,0.9755852735094185,0.9764262165555672,-0.0008409430461486789,-0.0008409430461486789,0.004367286270187217,0.0009603019523356214,0.0004634500726489303,0.0019166826390219919,0.0009288003413968823,0.01330360481265696,0.001097600448906726,-0.011967612247699039
13,header,low_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",random,0.01,3,120005,1,0.9629920602860961,0.9619261561959545,0.0010659040901416228,0.0010659040901416228,0.005741427440523312,0.0029498770884546477,0.0005749760426648889,0.005899901668305528,0.0011499233384441036,0.009801219163971525,0.00403404309948437,-0.005610961220857202
13,header,high_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",random,0.01,4,120487,1,0.9994898898385879,0.9998538709419655,-0.000363981103377653,-0.000363981103377653,0.0036767452090267,0.003153867222189946,0.0,0.006333333333333333,0.0,0.03459916308886266,0.020499798696194907,-0.0334157500469486
13,header,mid_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",random,0.01,4,239508,1,0.9755852735094185,0.970065545416612,0.005519728092806431,0.005519728092806431,0.04049551580740518,0.02197838903084657,0.0015030813166992333,0.04386703222526855,0.0030123254315574557,0.08190820469075456,0.050989375682846956,-0.06296584899346978
13,header,low_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",random,0.01,4,120005,1,0.9629920602860961,0.9529460476038708,0.01004601268222527,0.01004601268222527,0.0423899004208158,0.027607183034040247,0.0022499062539060874,0.0552157464042266,0.0044997000199986665,0.058133310867085855,0.04334650455500541,-0.03619911488640405
13,header,high_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",random,0.01,5,120487,1,0.9994898898385879,0.9995562652580996,-6.637541951171055e-05,-6.637541951171055e-05,9.959580701652461e-05,0.0,0.0,0.0,0.0,0.06494986425787769,-0.05492380937311261,-0.06487619701748444
13,header,mid_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",random,0.01,5,239508,1,0.9755852735094185,0.9756602525877497,-7.497907833120543e-05,-7.497907833120543e-05,0.018529652454197774,7.097883995524157e-05,0.014016233278220352,0.00014166784723206028,0.028089934649273278,0.06388871741064926,-0.05147196346518248,-0.059618472055266075
13,header,low_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",random,0.01,5,120005,1,0.9629920602860961,0.9614647042341309,0.0015273560519651896,0.0015273560519651896,0.023590683721511605,0.000899962501562435,0.013657764259822507,0.0017999700004999917,0.027314845676954868,0.059478816116038544,-0.04491051695662825,-0.05282707817804577
13,header,high_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",random,0.01,6,120487,1,0.9994898898385879,0.9990742477722484,0.0004156420663394833,0.0004156420663394833,1.6599301169420767e-05,1.6599301169420767e-05,0.0,3.3333333333333335e-05,0.0,0.06952799610469731,0.06713994317505899,-0.06952401227241667
13,header,mid_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",random,0.01,6,239508,1,0.9755852735094185,0.9557722784050589,0.019812995104359632,0.019812995104359632,0.02064231674933614,0.014709320774253886,0.00018788516458740417,0.029358577988149902,0.00037654067894468197,0.06893963793643633,0.06673195941769515,-0.06628101115351975
13,header,low_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.000111033019493334, ""label_0_q_low"": -0.013253951445221901, ""label_1_q_high"": -1.1920928955078125e-07, ""label_1_q_low"": -0.029621761292219162, ""low_quantile"": 0.25}",random,0.01,6,120005,1,0.9629920602860961,0.9508052355905838,0.012186824695512244,0.012186824695512244,0.03760676638473397,0.023499020874130246,5.8330902879046706e-05,0.046999216679722004,0.00011665888940737284,0.07365689758958294,0.07152310898676006,-0.06625259906248655
