model,view,seed,dimension,null_repeat,control_type,subset_indices_hash,auc,mix_at_10,js_divergence,same_family_rate_at_10
logistic_regression,wild_b,23,16,7,global_unrestricted_random,478c8989ef550b88,0.6788298875000001,0.2685663888888889,0.3623967289038188,0.4811406935365122
logistic_regression,wild_b,23,16,8,global_unrestricted_random,aa869739e9d26fff,0.6485919422222222,0.27348222222222224,0.046387184044383724,0.4009077697271292
logistic_regression,wild_b,23,16,9,global_unrestricted_random,503849e196fe3b39,0.8041084562962962,0.1767886111111111,0.009414442908131017,0.5715589059639127
logistic_regression,wild_b,23,32,0,global_unrestricted_random,9437c160e4d94525,0.7419344344444445,0.15965222222222222,0.08814725241848882,0.6011838233350218
logistic_regression,wild_b,23,32,1,global_unrestricted_random,4da90e39d6fd8a5e,0.757699113148148,0.17660361111111111,0.2515006522225676,0.5757377467203953
logistic_regression,wild_b,23,32,2,global_unrestricted_random,f0e5cd1057cd3d84,0.80983451,0.11253277777777777,7.020325218843718e-05,0.6240811241290969
logistic_regression,wild_b,23,32,3,global_unrestricted_random,217de6b62aff20c6,0.7837303705555557,0.1301552777777778,0.25817634441543985,0.6184722436305465
logistic_regression,wild_b,23,32,4,global_unrestricted_random,a05c63316812cd30,0.7115449514814816,0.2659469444444444,0.0037622939919895616,0.49244042096298973
logistic_regression,wild_b,23,32,5,global_unrestricted_random,a267a9c521c466c0,0.7604729377777778,0.15996027777777777,0.0005277846361193768,0.5973243668441691
logistic_regression,wild_b,23,32,6,global_unrestricted_random,e345a12bfd97c36a,0.8864119066666668,0.11166055555555555,0.28814554954421406,0.6309045210332161
logistic_regression,wild_b,23,32,7,global_unrestricted_random,2905beba59078be7,0.8242054629629628,0.14281694444444445,0.028960542008734668,0.6119499626243957
logistic_regression,wild_b,23,32,8,global_unrestricted_random,6ac46c39fa6a596d,0.9026102503703705,0.1370825,0.27873819727375376,0.5526560818595759
logistic_regression,wild_b,23,32,9,global_unrestricted_random,9bf63a05588dd160,0.8570998124074074,0.18285416666666668,0.3489419557489472,0.4914300998905028
logistic_regression,wild_b,23,64,0,global_unrestricted_random,d6a5870e10e64a47,0.829726369074074,0.11472722222222222,0.5970318171807496,0.6475181460632503
