model,view,seed,family,dimension,metric,family_seed_mean,null_seed_mean,paired_difference
logistic_regression,wild_b,17,strings,16,mix_at_10,0.13710030555555558,0.2783401111111111,-0.14123980555555554
logistic_regression,wild_b,17,strings,16,js_divergence,0.013181379721455586,0.1978645159585679,-0.18468313623711233
logistic_regression,wild_b,17,strings,16,same_family_rate_at_10,0.5916209065114385,0.41383445837692834,0.17778644813451017
logistic_regression,wild_b,17,strings,32,auc,0.8298602535,0.7915359007777777,0.03832435272222234
logistic_regression,wild_b,17,strings,32,mix_at_10,0.11440919444444446,0.14498247222222221,-0.030573277777777755
logistic_regression,wild_b,17,strings,32,js_divergence,0.009729019570412192,0.13690369146722153,-0.12717467189680934
logistic_regression,wild_b,17,strings,32,same_family_rate_at_10,0.6252734675332141,0.6059934722284689,0.019279995304745223
logistic_regression,wild_b,17,strings,64,auc,0.8760619999629631,0.885602821962963,-0.009540821999999949
logistic_regression,wild_b,17,strings,64,mix_at_10,0.09956486111111111,0.10519816666666666,-0.005633305555555551
logistic_regression,wild_b,17,strings,64,js_divergence,0.02551127272373535,0.11832330728776078,-0.09281203456402543
logistic_regression,wild_b,17,strings,64,same_family_rate_at_10,0.6358216272289828,0.653072578648275,-0.017250951419292115
logistic_regression,wild_b,23,header,16,auc,0.8773442140694445,0.693274487824074,0.18406972624537055
logistic_regression,wild_b,23,header,16,mix_at_10,0.11564424999999998,0.24740027777777782,-0.13175602777777784
logistic_regression,wild_b,23,header,16,js_divergence,0.11896963086418617,0.09401605706624407,0.024953573797942108
logistic_regression,wild_b,23,header,16,same_family_rate_at_10,0.6487946231652714,0.48536642949979336,0.163428193665478
logistic_regression,wild_b,23,header,32,auc,0.9230101505740741,0.8035543749814815,0.11945577559259257
logistic_regression,wild_b,23,header,32,mix_at_10,0.08472452777777778,0.15792652777777777,-0.07320199999999999
logistic_regression,wild_b,23,header,32,js_divergence,0.09208394234200436,0.15469707755124434,-0.06261313520923999
logistic_regression,wild_b,23,header,32,same_family_rate_at_10,0.6932094665731842,0.579618039102991,0.11359142747019313
logistic_regression,wild_b,23,header,64,auc,0.9418459276666666,0.8648724848333333,0.0769734428333333
logistic_regression,wild_b,23,header,64,mix_at_10,0.07231466666666667,0.11105908333333334,-0.03874441666666667
logistic_regression,wild_b,23,header,64,js_divergence,0.09288642337786145,0.21095707816618683,-0.11807065478832539
logistic_regression,wild_b,23,header,64,same_family_rate_at_10,0.7054614473544956,0.6474824315425372,0.05797901581195841
logistic_regression,wild_b,23,imports,16,auc,0.6849038857222223,0.693274487824074,-0.008370602101851699
logistic_regression,wild_b,23,imports,16,mix_at_10,0.35921425,0.24740027777777782,0.1118139722222222
logistic_regression,wild_b,23,imports,16,js_divergence,0.05162930948161241,0.09401605706624407,-0.04238674758463166
logistic_regression,wild_b,23,imports,16,same_family_rate_at_10,0.3390628586182413,0.48536642949979336,-0.14630357088155205
logistic_regression,wild_b,23,imports,32,auc,0.7348627093518518,0.8035543749814815,-0.0686916656296297
logistic_regression,wild_b,23,imports,32,mix_at_10,0.29585733333333336,0.15792652777777777,0.1379308055555556
logistic_regression,wild_b,23,imports,32,js_divergence,0.07708134432185557,0.15469707755124434,-0.07761573322938878
logistic_regression,wild_b,23,imports,32,same_family_rate_at_10,0.4593957873790783,0.579618039102991,-0.12022225172391271
logistic_regression,wild_b,23,imports,64,auc,0.775563781537037,0.8648724848333333,-0.08930870329629637
logistic_regression,wild_b,23,imports,64,mix_at_10,0.24594286111111113,0.11105908333333334,0.1348837777777778
logistic_regression,wild_b,23,imports,64,js_divergence,0.06944220182457239,0.21095707816618683,-0.14151487634161444
logistic_regression,wild_b,23,imports,64,same_family_rate_at_10,0.5267865656723537,0.6474824315425372,-0.12069586587018344
logistic_regression,wild_b,23,section,16,auc,0.7589520686851852,0.693274487824074,0.0656775808611112
logistic_regression,wild_b,23,section,16,mix_at_10,0.1991481388888889,0.24740027777777782,-0.04825213888888891
logistic_regression,wild_b,23,section,16,js_divergence,0.21189634546796174,0.09401605706624407,0.11788028840171767
logistic_regression,wild_b,23,section,16,same_family_rate_at_10,0.5076169403158659,0.48536642949979336,0.022250510816072544
logistic_regression,wild_b,23,section,32,auc,0.8046161488518517,0.8035543749814815,0.0010617738703702084
logistic_regression,wild_b,23,section,32,mix_at_10,0.11147297222222222,0.15792652777777777,-0.046453555555555553
logistic_regression,wild_b,23,section,32,js_divergence,0.19401600576744865,0.15469707755124434,0.03931892821620431
logistic_regression,wild_b,23,section,32,same_family_rate_at_10,0.641129014696423,0.579618039102991,0.061510975593431994
logistic_regression,wild_b,23,section,64,auc,0.8642583100185185,0.8648724848333333,-0.0006141748148148496
logistic_regression,wild_b,23,section,64,mix_at_10,0.0844541111111111,0.11105908333333334,-0.02660497222222223
logistic_regression,wild_b,23,section,64,js_divergence,0.11420902920907165,0.21095707816618683,-0.09674804895711518
logistic_regression,wild_b,23,section,64,same_family_rate_at_10,0.6706268248633249,0.6474824315425372,0.02314439332078777
logistic_regression,wild_b,23,strings,16,auc,0.7682235142407409,0.693274487824074,0.0749490264166669
logistic_regression,wild_b,23,strings,16,mix_at_10,0.13316450000000002,0.24740027777777782,-0.1142357777777778
logistic_regression,wild_b,23,strings,16,js_divergence,0.021430609142909268,0.09401605706624407,-0.0725854479233348
logistic_regression,wild_b,23,strings,16,same_family_rate_at_10,0.5996354715771096,0.48536642949979336,0.11426904207731625
logistic_regression,wild_b,23,strings,32,auc,0.8346727412222222,0.8035543749814815,0.031118366240740714
logistic_regression,wild_b,23,strings,32,mix_at_10,0.11077522222222222,0.15792652777777777,-0.04715130555555555
logistic_regression,wild_b,23,strings,32,js_divergence,0.01560239583781362,0.15469707755124434,-0.13909468171343073
logistic_regression,wild_b,23,strings,32,same_family_rate_at_10,0.627500302919881,0.579618039102991,0.04788226381688998
logistic_regression,wild_b,23,strings,64,auc,0.879667992314815,0.8648724848333333,0.014795507481481618
