model,view,seed,family,dimension,metric,family_seed_mean,family_percentile_in_null,n_null_repeats
logistic_regression,wild_b,29,imports,16,js_divergence,0.07474704976346827,0.8,10
logistic_regression,wild_b,29,imports,16,same_family_rate_at_10,0.3460251939060523,0.1,10
logistic_regression,wild_b,29,imports,32,auc,0.7166007753888889,0.0,10
logistic_regression,wild_b,29,imports,32,mix_at_10,0.3056588333333333,1.0,10
logistic_regression,wild_b,29,imports,32,js_divergence,0.06840594916872937,0.7,10
logistic_regression,wild_b,29,imports,32,same_family_rate_at_10,0.43625191420589643,0.0,10
logistic_regression,wild_b,29,imports,64,auc,0.7884307975185185,0.0,10
logistic_regression,wild_b,29,imports,64,mix_at_10,0.22695494444444445,1.0,10
logistic_regression,wild_b,29,imports,64,js_divergence,0.05058904523953681,0.1,10
logistic_regression,wild_b,29,imports,64,same_family_rate_at_10,0.5451363741660445,0.0,10
logistic_regression,wild_b,29,section,16,auc,0.6926321255925926,0.1,10
logistic_regression,wild_b,29,section,16,mix_at_10,0.17090405555555557,0.3,10
logistic_regression,wild_b,29,section,16,js_divergence,0.11273780274236386,0.9,10
logistic_regression,wild_b,29,section,16,same_family_rate_at_10,0.5700663322546292,0.7,10
logistic_regression,wild_b,29,section,32,auc,0.8075389830740741,0.3,10
logistic_regression,wild_b,29,section,32,mix_at_10,0.12096066666666667,0.3,10
logistic_regression,wild_b,29,section,32,js_divergence,0.15809052051390743,0.8,10
logistic_regression,wild_b,29,section,32,same_family_rate_at_10,0.625019147364461,0.5,10
logistic_regression,wild_b,29,section,64,auc,0.8588048607222222,0.7,10
logistic_regression,wild_b,29,section,64,mix_at_10,0.08278377777777776,0.0,10
logistic_regression,wild_b,29,section,64,js_divergence,0.14426675432921982,0.6,10
logistic_regression,wild_b,29,section,64,same_family_rate_at_10,0.6756906729338787,1.0,10
logistic_regression,wild_b,29,strings,16,auc,0.8104472235277778,0.7,10
logistic_regression,wild_b,29,strings,16,mix_at_10,0.13177600000000003,0.1,10
logistic_regression,wild_b,29,strings,16,js_divergence,0.03201821229835798,0.8,10
logistic_regression,wild_b,29,strings,16,same_family_rate_at_10,0.5927767897853471,0.8,10
logistic_regression,wild_b,29,strings,32,auc,0.8434356004444444,0.8,10
logistic_regression,wild_b,29,strings,32,mix_at_10,0.11174188888888889,0.1,10
logistic_regression,wild_b,29,strings,32,js_divergence,0.023170847063643595,0.4,10
logistic_regression,wild_b,29,strings,32,same_family_rate_at_10,0.6244863509572707,0.5,10
logistic_regression,wild_b,29,strings,64,auc,0.8803845528518519,0.9,10
logistic_regression,wild_b,29,strings,64,mix_at_10,0.09823066666666666,0.0,10
logistic_regression,wild_b,29,strings,64,js_divergence,0.01014704476557383,0.0,10
logistic_regression,wild_b,29,strings,64,same_family_rate_at_10,0.6398716373111185,0.1,10
logistic_regression,wild_b,31,header,16,auc,0.8589361550925926,1.0,10
logistic_regression,wild_b,31,header,16,mix_at_10,0.14935144444444443,0.0,10
logistic_regression,wild_b,31,header,16,js_divergence,0.07344353176070546,0.4,10
logistic_regression,wild_b,31,header,16,same_family_rate_at_10,0.5835673348691368,0.8,10
logistic_regression,wild_b,31,header,32,auc,0.9180320613703705,1.0,10
logistic_regression,wild_b,31,header,32,mix_at_10,0.08816872222222222,0.0,10
logistic_regression,wild_b,31,header,32,js_divergence,0.05678384662265212,0.6,10
logistic_regression,wild_b,31,header,32,same_family_rate_at_10,0.6893161067349393,1.0,10
logistic_regression,wild_b,31,header,64,auc,0.9433285891296295,1.0,10
logistic_regression,wild_b,31,header,64,mix_at_10,0.07233563888888889,0.0,10
logistic_regression,wild_b,31,header,64,js_divergence,0.0806485517611339,0.5,10
logistic_regression,wild_b,31,header,64,same_family_rate_at_10,0.705357034565971,1.0,10
logistic_regression,wild_b,31,imports,16,auc,0.6737804400925926,0.2,10
logistic_regression,wild_b,31,imports,16,mix_at_10,0.3749157222222222,0.9,10
logistic_regression,wild_b,31,imports,16,js_divergence,0.07145808069530359,0.4,10
logistic_regression,wild_b,31,imports,16,same_family_rate_at_10,0.3332547699721937,0.1,10
logistic_regression,wild_b,31,imports,32,auc,0.7168601461111112,0.0,10
logistic_regression,wild_b,31,imports,32,mix_at_10,0.30250552777777784,1.0,10
logistic_regression,wild_b,31,imports,32,js_divergence,0.06970960467756541,0.6,10
logistic_regression,wild_b,31,imports,32,same_family_rate_at_10,0.4501863250747268,0.0,10
logistic_regression,wild_b,31,imports,64,auc,0.7699656480740742,0.0,10
logistic_regression,wild_b,31,imports,64,mix_at_10,0.2444513888888889,1.0,10
