mix_k,scope,feature_group,metric,mean,std,min,max
5,metric,imports,js_divergence,0.03717201366311941,0.007857677226295826,0.024527607293849216,0.05323464979750463
5,rank,imports,auc_rank,5.0,0.0,5.0,5.0
5,rank,imports,acc_rank,5.0,0.0,5.0,5.0
5,rank,imports,mix_at_k_rank,5.0,0.0,5.0,5.0
5,rank,imports,silhouette_rank,4.683333333333334,0.5913731666403389,3.0,5.0
5,rank,imports,js_divergence_rank,4.0,0.0,4.0,4.0
5,metric,strings,acc,0.9134233333333334,0.01187066146866735,0.8941333333333333,0.9349333333333333
5,metric,strings,f1,0.910373150115046,0.012564549605837232,0.8890751606594021,0.9330268304398546
5,metric,strings,auc,0.975937294962963,0.006225549786716381,0.9651431755555556,0.9866351555555555
5,metric,strings,positive_rate,0.4664133333333334,0.008088378036371646,0.4536,0.4826666666666667
5,metric,strings,mix_at_k,0.06552033333333333,0.0036688267223348833,0.05758,0.06950666666666666
5,metric,strings,silhouette,0.05063059144701818,0.014147171941443118,0.03154791195808756,0.08270268625144965
5,metric,strings,js_divergence,0.0004740765457448614,0.0001723624291657805,0.00024814339402747177,0.0008148878875293827
5,rank,strings,auc_rank,4.0,0.0,4.0,4.0
5,rank,strings,acc_rank,4.0,0.0,4.0,4.0
5,rank,strings,mix_at_k_rank,4.0,0.0,4.0,4.0
5,rank,strings,silhouette_rank,3.1,0.3,3.0,4.0
5,rank,strings,js_divergence_rank,5.0,0.0,5.0,5.0
5,metric,all,acc,0.9489355555555554,0.007234720467779914,0.9335666666666667,0.9618
5,metric,all,f1,0.9475601286426304,0.007668664694734481,0.9325253072417645,0.9610310119695321
5,metric,all,auc,0.9913760744814814,0.0023053000881763943,0.9848073622222222,0.9950538155555554
5,metric,all,positive_rate,0.4744333333333333,0.007176556483646106,0.45516666666666666,0.48456666666666665
5,metric,all,mix_at_k,0.04956311111111111,0.0033740266012841154,0.043293333333333336,0.05356
5,metric,all,silhouette,0.039226848328305836,0.017540189932202188,0.02037927330559468,0.08274331082122113
5,metric,all,js_divergence,0.08202149250815677,0.012543040768650275,0.06214595453050574,0.10123558066839294
5,rank,all,auc_rank,1.0,0.0,1.0,1.0
5,rank,all,acc_rank,1.0833333333333333,0.27638539919628335,1.0,2.0
5,rank,all,mix_at_k_rank,1.0833333333333333,0.27638539919628335,1.0,2.0
5,rank,all,silhouette_rank,4.216666666666667,0.486198404860494,3.0,5.0
5,rank,all,js_divergence_rank,1.9166666666666667,0.27638539919628335,1.0,2.0
10,metric,header,acc,0.9318933333333332,0.011092932017313581,0.9100333333333334,0.9485333333333333
10,metric,header,f1,0.9295060606203177,0.012161657755682691,0.9039194047915703,0.9474329293204412
10,metric,header,auc,0.9836682283333332,0.004401849407152223,0.975277831111111,0.9902690488888888
10,metric,header,positive_rate,0.4677577777777779,0.01121458684146194,0.4363666666666667,0.4844
10,metric,header,mix_at_k,0.06935277777777776,0.004982885939287655,0.06103666666666667,0.07649666666666667
10,metric,header,silhouette,0.1173275674978619,0.03887812122231448,0.06903038449142378,0.2007205508800454
10,metric,header,js_divergence,0.0815676633699316,0.012666096971302235,0.06184048804875904,0.10090729814674582
10,rank,header,auc_rank,3.0,0.0,3.0,3.0
