seed,density_bin,feature_group,n_samples,auc,mix_at_10,js_divergence
77,mid_density,header,240000,0.9814198326023994,0.050019583333333346,0.08135309672181776
77,low_density,header,120000,0.9536857164686152,0.08252833333333333,0.08006386686734707
77,high_density,section,120000,0.995538989781606,0.021933333333333332,0.035436862615648684
77,mid_density,section,240000,0.9858899703757629,0.045102500000000004,0.10148320895125071
77,low_density,section,120000,0.9704833346259977,0.0734675,0.22029926370456482
77,high_density,imports,120000,0.9200147808486767,0.11730083333333335,0.054750304970657
77,mid_density,imports,240000,0.9394886557034856,0.135265,0.04332852719333012
77,low_density,imports,120000,0.9303141687944532,0.13261999999999996,0.01827408688035289
77,high_density,strings,120000,0.9958211479423011,0.01755,0.0004705540541758176
77,mid_density,strings,240000,0.9735003584334612,0.06277083333333335,0.0001891127108713927
77,low_density,strings,120000,0.9531952250815239,0.10710583333333334,0.00045054547446703007
77,high_density,all,120000,0.9977850703193938,0.015051666666666666,0.06221788613299184
77,mid_density,all,240000,0.9933312149050091,0.04333874999999999,0.08155510557549796
77,low_density,all,120000,0.9869735381616562,0.08336083333333334,0.08127108175573154
123,high_density,header,120000,0.9966081069371254,0.02168333333333333,0.06267645846877375
123,mid_density,header,239999,0.9809649772865462,0.04946603944183101,0.08204900844469762
123,low_density,header,120001,0.9528248971839597,0.0828426429779752,0.07834225773346795
123,high_density,section,120000,0.9947620290252036,0.022479999999999997,0.03724879071950625
123,mid_density,section,239999,0.9855907348396777,0.04452185217438406,0.1002339373701171
123,low_density,section,120001,0.9693856721967854,0.0732335563870301,0.1883834201506871
123,high_density,imports,120000,0.9442580220363983,0.16110583333333334,0.05637729714195676
123,mid_density,imports,239999,0.9390031789527311,0.13935724732186383,0.043374384500240365
123,low_density,imports,120001,0.9287466867240585,0.1291955900367497,0.018448074886873785
123,high_density,strings,120000,0.9953977677412281,0.017835833333333335,0.0004730186691047417
123,mid_density,strings,239999,0.9732288890965815,0.06188900787086611,0.00017321419161956466
123,low_density,strings,120001,0.9493524113731818,0.10888742593811719,0.0005917808405914214
123,high_density,all,120000,0.9977140865640032,0.015305833333333336,0.06302978396891691
123,mid_density,all,239999,0.9935923348870873,0.04338226409276705,0.08224485098862326
123,low_density,all,120001,0.9861995057579735,0.08234431379738502,0.07958357615352349
2024,high_density,header,120000,0.9965319204573263,0.021724166666666666,0.06353043267861179
2024,mid_density,header,240000,0.9807459467808568,0.04940833333333333,0.08072126466078759
2024,low_density,header,120000,0.9532607975683671,0.08265833333333333,0.0810449266385129
2024,high_density,section,120000,0.9962736798145719,0.021377499999999997,0.04205147716280402
2024,mid_density,section,240000,0.9855141605003795,0.045265416666666655,0.10556873878611303
2024,low_density,section,120000,0.9708301648807038,0.07205833333333334,0.2095056544600803
2024,high_density,imports,120000,0.926491899322982,0.16363833333333336,0.05676738821094904
2024,mid_density,imports,240000,0.9395301559215908,0.1362675,0.042731584032501976
2024,low_density,imports,120000,0.9278028108258851,0.12842916666666668,0.018801676535850877
2024,high_density,strings,120000,0.9956349701183566,0.016942500000000003,0.0004934813472064052
2024,mid_density,strings,240000,0.9733701931183274,0.06243708333333334,0.00017331889167230142
2024,low_density,strings,120000,0.9530819055604446,0.10708666666666665,0.0005314484781711095
2024,high_density,all,120000,0.9978057672125765,0.014503333333333333,0.06391516464813053
2024,mid_density,all,240000,0.9936709799978312,0.04297708333333334,0.08093986804951836
2024,low_density,all,120000,0.98669160628556,0.08120916666666667,0.08229567700674963
