seed,density_bin,feature_group,n_samples,n_benign,n_malware,auc,mix_at_10,mix_at_10_benign_query,mix_at_10_malware_query,mix_at_10_class_balanced,js_divergence,density_definition,thresholds_json
13,mid_density,strings,239998,119998,120000,0.9762059817663628,0.06449762081350678,0.08152552542542375,0.04747,0.06449776271271188,0.0002816900131723175,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0034221770411427895, ""label_0_q_low"": -0.442181833768432, ""label_1_q_high"": -0.03425919291600583, ""label_1_q_low"": -0.3276275564876697, ""low_quantile"": 0.25}"
13,low_density,strings,120001,60001,60000,0.9548522687121881,0.1082515979033508,0.09870335494408426,0.1178,0.10825167747204213,0.00045962876507417747,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0034221770411427895, ""label_0_q_low"": -0.442181833768432, ""label_1_q_high"": -0.03425919291600583, ""label_1_q_low"": -0.3276275564876697, ""low_quantile"": 0.25}"
13,high_density,all,120001,60001,60000,0.9994537732704456,0.011874901042491313,0.004343260945650906,0.01940666666666667,0.011874963806158788,0.07806953076964383,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0034221770411427895, ""label_0_q_low"": -0.442181833768432, ""label_1_q_high"": -0.03425919291600583, ""label_1_q_low"": -0.3276275564876697, ""low_quantile"": 0.25}"
13,mid_density,all,239998,119998,120000,0.9940650104237848,0.04442662022183517,0.05660261004350073,0.03225083333333334,0.044426721688417034,0.07898240259932934,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0034221770411427895, ""label_0_q_low"": -0.442181833768432, ""label_1_q_high"": -0.03425919291600583, ""label_1_q_low"": -0.3276275564876697, ""low_quantile"": 0.25}"
13,low_density,all,120001,60001,60000,0.9877964270039944,0.08344763793635053,0.0652422459625673,0.10165333333333333,0.08344778964795031,0.08551292289251441,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0034221770411427895, ""label_0_q_low"": -0.442181833768432, ""label_1_q_high"": -0.03425919291600583, ""label_1_q_low"": -0.3276275564876697, ""low_quantile"": 0.25}"
42,high_density,header,120000,60000,60000,0.9989665723611111,0.017011666666666668,0.006075,0.027948333333333332,0.017011666666666665,0.0794955441197844,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0030778386131181503, ""label_0_q_low"": -0.4439785079659936, ""label_1_q_high"": -0.03378032854013037, ""label_1_q_low"": -0.324757230965725, ""low_quantile"": 0.25}"
42,mid_density,header,240000,120000,120000,0.9837651656944444,0.050788333333333345,0.061866666666666674,0.039709999999999995,0.05078833333333334,0.07940137754339682,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0030778386131181503, ""label_0_q_low"": -0.4439785079659936, ""label_1_q_high"": -0.03378032854013037, ""label_1_q_low"": -0.324757230965725, ""low_quantile"": 0.25}"
42,low_density,header,120000,60000,60000,0.9569136655555555,0.08546500000000003,0.06466666666666666,0.10626333333333335,0.08546500000000001,0.08093428944349682,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0030778386131181503, ""label_0_q_low"": -0.4439785079659936, ""label_1_q_high"": -0.03378032854013037, ""label_1_q_low"": -0.324757230965725, ""low_quantile"": 0.25}"
42,high_density,section,120000,60000,60000,0.9990846818055555,0.017629166666666668,0.004973333333333332,0.030285000000000003,0.017629166666666668,0.09188300373957195,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0030778386131181503, ""label_0_q_low"": -0.4439785079659936, ""label_1_q_high"": -0.03378032854013037, ""label_1_q_low"": -0.324757230965725, ""low_quantile"": 0.25}"
42,mid_density,section,240000,120000,120000,0.9871949682986111,0.044976666666666665,0.052543333333333324,0.03741,0.044976666666666665,0.07148094499929744,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0030778386131181503, ""label_0_q_low"": -0.4439785079659936, ""label_1_q_high"": -0.03378032854013037, ""label_1_q_low"": -0.324757230965725, ""low_quantile"": 0.25}"
42,low_density,section,120000,60000,60000,0.9720663766666666,0.07689916666666669,0.049948333333333345,0.10385,0.07689916666666667,0.2326684966406732,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0030778386131181503, ""label_0_q_low"": -0.4439785079659936, ""label_1_q_high"": -0.03378032854013037, ""label_1_q_low"": -0.324757230965725, ""low_quantile"": 0.25}"
42,high_density,imports,120000,60000,60000,0.9422172112500001,0.09296083333333331,0.09806666666666668,0.08785500000000002,0.09296083333333335,0.06930365767283925,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0030778386131181503, ""label_0_q_low"": -0.4439785079659936, ""label_1_q_high"": -0.03378032854013037, ""label_1_q_low"": -0.324757230965725, ""low_quantile"": 0.25}"
42,mid_density,imports,240000,120000,120000,0.9410190983680554,0.13485124999999998,0.11313416666666666,0.15656833333333334,0.13485125,0.042165188331180825,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0030778386131181503, ""label_0_q_low"": -0.4439785079659936, ""label_1_q_high"": -0.03378032854013037, ""label_1_q_low"": -0.324757230965725, ""low_quantile"": 0.25}"
42,low_density,imports,120000,60000,60000,0.9361744181944445,0.14708416666666668,0.0887,0.20546833333333334,0.14708416666666668,0.018229886272692397,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0030778386131181503, ""label_0_q_low"": -0.4439785079659936, ""label_1_q_high"": -0.03378032854013037, ""label_1_q_low"": -0.324757230965725, ""low_quantile"": 0.25}"
42,high_density,strings,120000,60000,60000,0.9989401829166666,0.013528333333333337,0.005138333333333333,0.021918333333333335,0.013528333333333333,0.000804931432628746,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0030778386131181503, ""label_0_q_low"": -0.4439785079659936, ""label_1_q_high"": -0.03378032854013037, ""label_1_q_low"": -0.324757230965725, ""low_quantile"": 0.25}"
42,mid_density,strings,240000,120000,120000,0.9766896584722223,0.06414041666666669,0.08213000000000001,0.046150833333333335,0.06414041666666667,0.00031930988499177923,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0030778386131181503, ""label_0_q_low"": -0.4439785079659936, ""label_1_q_high"": -0.03378032854013037, ""label_1_q_low"": -0.324757230965725, ""low_quantile"": 0.25}"
42,low_density,strings,120000,60000,60000,0.9545777379166667,0.10719083333333332,0.09763833333333335,0.11674333333333334,0.10719083333333335,0.0004699807281261846,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0030778386131181503, ""label_0_q_low"": -0.4439785079659936, ""label_1_q_high"": -0.03378032854013037, ""label_1_q_low"": -0.324757230965725, ""low_quantile"": 0.25}"
42,high_density,all,120000,60000,60000,0.9993857880555556,0.011863333333333335,0.003985,0.019741666666666668,0.011863333333333333,0.08003841025813649,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0030778386131181503, ""label_0_q_low"": -0.4439785079659936, ""label_1_q_high"": -0.03378032854013037, ""label_1_q_low"": -0.324757230965725, ""low_quantile"": 0.25}"
42,mid_density,all,240000,120000,120000,0.9946174029166667,0.04455833333333334,0.057745833333333337,0.03137083333333333,0.04455833333333333,0.0795145343503356,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0030778386131181503, ""label_0_q_low"": -0.4439785079659936, ""label_1_q_high"": -0.03378032854013037, ""label_1_q_low"": -0.324757230965725, ""low_quantile"": 0.25}"
42,low_density,all,120000,60000,60000,0.9886946280555556,0.08259499999999999,0.06407666666666667,0.10111333333333332,0.082595,0.08209792048333667,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0030778386131181503, ""label_0_q_low"": -0.4439785079659936, ""label_1_q_high"": -0.03378032854013037, ""label_1_q_low"": -0.324757230965725, ""low_quantile"": 0.25}"
77,high_density,header,120000,60000,60000,0.9988131018055555,0.016771666666666667,0.006221666666666667,0.027321666666666664,0.016771666666666664,0.08121019759387474,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0032699053860748284, ""label_0_q_low"": -0.44374788747678706, ""label_1_q_high"": -0.03278646591026233, ""label_1_q_low"": -0.3250510020425165, ""low_quantile"": 0.25}"
77,mid_density,header,240000,120000,120000,0.9840923817708334,0.05076208333333333,0.06196,0.039564166666666664,0.05076208333333333,0.07755927458856038,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0032699053860748284, ""label_0_q_low"": -0.44374788747678706, ""label_1_q_high"": -0.03278646591026233, ""label_1_q_low"": -0.3250510020425165, ""low_quantile"": 0.25}"
77,low_density,header,120000,60000,60000,0.9576660540277777,0.08575083333333335,0.06449833333333334,0.10700333333333334,0.08575083333333333,0.08361923747151628,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0032699053860748284, ""label_0_q_low"": -0.44374788747678706, ""label_1_q_high"": -0.03278646591026233, ""label_1_q_low"": -0.3250510020425165, ""low_quantile"": 0.25}"
