seed,test_week,feature_group,mix_k,input_dim,train_size,val_size,test_size,best_epoch,epochs_ran,best_val_auc,test_auc,test_acc,test_f1,test_positive_rate,mix_at_k,silhouette,js_divergence
13,2024-11-24_2024-11-30,all,10,1757,32000,8000,40000,6,11,0.9880587500000002,0.98486389375,0.928375,0.9253264524200485,0.459175,0.0789525,0.024443797767162323,0.07142986341205743
13,2024-11-24_2024-11-30,header,10,74,32000,8000,40000,33,38,0.979370875,0.9738341075000001,0.903375,0.8987132786498598,0.453975,0.079395,0.08980175107717514,0.07093790809337674
13,2024-11-24_2024-11-30,section,10,224,32000,8000,40000,32,37,0.9777290312500001,0.96727056375,0.897025,0.8931434352867927,0.463675,0.083085,0.06186523288488388,0.10519595481246313
13,2024-11-24_2024-11-30,imports,10,1282,32000,8000,40000,13,18,0.943665625,0.93107462375,0.872425,0.8629147078576226,0.430625,0.17065,0.025283867493271828,0.03411346476896929
13,2024-11-24_2024-11-30,strings,10,177,32000,8000,40000,10,15,0.97356434375,0.9651270812499999,0.8992,0.8951201747997086,0.4611,0.1032675,0.032993000000715256,0.00031192476224044913
13,2024-12-01_2024-12-07,all,10,1757,32000,8000,40000,6,11,0.9880587500000002,0.98164596625,0.92775,0.9249467615436555,0.46265,0.0785,0.020248956978321075,0.07757254892769172
13,2024-12-01_2024-12-07,header,10,74,32000,8000,40000,33,38,0.979370875,0.9671689112499999,0.899325,0.8955572269626786,0.463925,0.0852525,0.06848101317882538,0.07713579450649091
13,2024-12-01_2024-12-07,section,10,224,32000,8000,40000,32,37,0.9777290312500001,0.97178462625,0.905275,0.9019841167188348,0.466425,0.08176,0.052331291139125824,0.11299918856425287
13,2024-12-01_2024-12-07,imports,10,1282,32000,8000,40000,13,18,0.943665625,0.940414925,0.873125,0.8668153785592442,0.452625,0.1521175,0.0320650078356266,0.03596371326955812
13,2024-12-01_2024-12-07,strings,10,177,32000,8000,40000,10,15,0.97356434375,0.96353851,0.894025,0.8918429311356619,0.479825,0.1048825,0.03171168640255928,0.00041659188899964404
13,2024-12-08_2024-12-14,all,10,1757,32000,8000,40000,6,11,0.9880587500000002,0.9821601525,0.922025,0.9188879931344759,0.461325,0.08175,0.026669900864362717,0.07427574999480877
13,2024-12-08_2024-12-14,header,10,74,32000,8000,40000,33,38,0.979370875,0.9681440587500001,0.8914,0.886875,0.46,0.0860225,0.09081879258155823,0.07368163191456413
13,2024-12-08_2024-12-14,section,10,224,32000,8000,40000,32,37,0.9777290312500001,0.9709057575,0.893425,0.8881190457444296,0.452575,0.0850975,0.06600838154554367,0.15669155876528523
13,2024-12-08_2024-12-14,imports,10,1282,32000,8000,40000,13,18,0.943665625,0.93963504875,0.876275,0.8692781108851264,0.446475,0.1414875,0.03388124331831932,0.03734446927240709
13,2024-12-08_2024-12-14,strings,10,177,32000,8000,40000,10,15,0.97356434375,0.9679048050000001,0.901625,0.8980173642607231,0.464625,0.0992525,0.04192712903022766,0.0003564701191199827
42,2024-09-22_2024-09-28,all,10,1757,32000,8000,40000,5,10,0.9826532812500001,0.99010929125,0.952225,0.9511390657359822,0.477775,0.07068,0.0629507452249527,0.09425071105064797
42,2024-09-22_2024-09-28,header,10,74,32000,8000,40000,40,45,0.9771759062500001,0.9846285325,0.9327,0.9314698844254365,0.48205,0.070555,0.179212287068367,0.09414723362459561
42,2024-09-22_2024-09-28,section,10,224,32000,8000,40000,23,28,0.9758131562499999,0.9842758224999999,0.9208,0.9166008529458222,0.44965,0.0747425,0.10152200609445572,0.07051702489229586
42,2024-09-22_2024-09-28,imports,10,1282,32000,8000,40000,5,10,0.9351709374999999,0.92501157625,0.8872,0.8785137318255251,0.4285,0.1462325,0.05852683261036873,0.04301335641743624
42,2024-09-22_2024-09-28,strings,10,177,32000,8000,40000,26,31,0.9708975624999999,0.9822960974999999,0.9339,0.9322329300799672,0.4754,0.088725,0.06443723291158676,0.0003704880113277963
42,2024-09-29_2024-10-05,all,10,1757,32000,8000,40000,5,10,0.9826532812500001,0.9913220774999999,0.954725,0.9538633989758745,0.481325,0.06835,0.08414393663406372,0.0966871587003825
42,2024-09-29_2024-10-05,header,10,74,32000,8000,40000,40,45,0.9771759062500001,0.98526128625,0.93465,0.93366492412323,0.48515,0.0683525,0.20270007848739624,0.09646786830625172
42,2024-09-29_2024-10-05,section,10,224,32000,8000,40000,23,28,0.9758131562499999,0.9853003362500001,0.926725,0.9233384772317108,0.455825,0.07134,0.11697787791490555,0.12244037780693905
42,2024-09-29_2024-10-05,imports,10,1282,32000,8000,40000,5,10,0.9351709374999999,0.9370791599999999,0.89405,0.8867692636528802,0.4357,0.1766375,0.07814131677150726,0.05363247201200757
42,2024-09-29_2024-10-05,strings,10,177,32000,8000,40000,26,31,0.9708975624999999,0.98362412375,0.936125,0.9346129238643635,0.476875,0.085605,0.0840781107544899,0.0007988917452528912
42,2024-10-06_2024-10-12,all,10,1757,32000,8000,40000,5,10,0.9826532812500001,0.9878498450000002,0.94575,0.944227408245091,0.4727,0.082215,0.047786783427000046,0.09466166457111794
42,2024-10-06_2024-10-12,header,10,74,32000,8000,40000,40,45,0.9771759062500001,0.97902421625,0.92165,0.9193930041152263,0.472,0.0816,0.13910728693008423,0.09444656174167992
42,2024-10-06_2024-10-12,section,10,224,32000,8000,40000,23,28,0.9758131562499999,0.9811408424999999,0.9154,0.9107924289555543,0.44835,0.0814325,0.07971357554197311,0.10798102242948807
42,2024-10-06_2024-10-12,imports,10,1282,32000,8000,40000,5,10,0.9351709374999999,0.90032838625,0.84115,0.8199081684711751,0.38205,0.23,0.028421087190508842,0.03219254620396581
42,2024-10-06_2024-10-12,strings,10,177,32000,8000,40000,26,31,0.9708975624999999,0.97515102625,0.916775,0.913700583279326,0.464375,0.102725,0.06483706086874008,0.0003300890945486467
42,2024-10-13_2024-10-19,all,10,1757,32000,8000,40000,5,10,0.9826532812500001,0.9885234875,0.94855,0.9475588625012741,0.4811,0.0761625,0.0472181998193264,0.10022886760958007
42,2024-10-13_2024-10-19,header,10,74,32000,8000,40000,40,45,0.9771759062500001,0.98020651625,0.92745,0.9265018741768818,0.4871,0.076875,0.14035780727863312,0.09982019748926454
42,2024-10-13_2024-10-19,section,10,224,32000,8000,40000,23,28,0.9758131562499999,0.98111198875,0.923325,0.9201239680183347,0.459925,0.0775275,0.08226554095745087,0.13481216702993443
42,2024-10-13_2024-10-19,imports,10,1282,32000,8000,40000,5,10,0.9351709374999999,0.93242702625,0.874225,0.8649287190914704,0.431175,0.1626225,0.04463578760623932,0.0490973740530317
42,2024-10-13_2024-10-19,strings,10,177,32000,8000,40000,26,31,0.9708975624999999,0.97686511375,0.926075,0.9246067157900104,0.480525,0.09923,0.055162061005830765,0.0005226593334812179
42,2024-10-20_2024-10-26,all,10,1757,32000,8000,40000,5,10,0.9826532812500001,0.9899385825,0.95155,0.9506694496767296,0.48215,0.0701625,0.0408889539539814,0.09081089128261816
42,2024-10-20_2024-10-26,header,10,74,32000,8000,40000,40,45,0.9771759062500001,0.98102060875,0.92725,0.9259202688254162,0.48205,0.073735,0.12756386399269104,0.09039919594082019
42,2024-10-20_2024-10-26,section,10,224,32000,8000,40000,23,28,0.9758131562499999,0.9819330775,0.921125,0.9178107171698752,0.459675,0.0747,0.07463926076889038,0.23417991120241338
42,2024-10-20_2024-10-26,imports,10,1282,32000,8000,40000,5,10,0.9351709374999999,0.9255313462499999,0.861,0.8477713284415727,0.4131,0.1631875,0.03318561241030693,0.04099753045143616
42,2024-10-20_2024-10-26,strings,10,177,32000,8000,40000,26,31,0.9708975624999999,0.97958145125,0.929175,0.9278712732642513,0.481925,0.093735,0.058065418154001236,0.0002634932591522163
42,2024-10-27_2024-11-02,all,10,1757,32000,8000,40000,5,10,0.9826532812500001,0.9856895375000001,0.9377,0.935746699669967,0.4696,0.082875,0.024753835052251816,0.07180905373311838
42,2024-10-27_2024-11-02,header,10,74,32000,8000,40000,40,45,0.9771759062500001,0.97210362125,0.9052,0.901285989483001,0.46035,0.0866225,0.08986574411392212,0.07084047953222615
42,2024-10-27_2024-11-02,section,10,224,32000,8000,40000,23,28,0.9758131562499999,0.97471088625,0.9076,0.9025932953826692,0.4486,0.08663,0.06065620109438896,0.10605763227971282
42,2024-10-27_2024-11-02,imports,10,1282,32000,8000,40000,5,10,0.9351709374999999,0.9152644362500002,0.840675,0.8203827400580592,0.387025,0.185255,0.023164251819252968,0.032674190438553824
42,2024-10-27_2024-11-02,strings,10,177,32000,8000,40000,26,31,0.9708975624999999,0.9671017099999999,0.909,0.906460399856093,0.47285,0.1054325,0.039134666323661804,0.00038236251976766215
42,2024-11-03_2024-11-09,all,10,1757,32000,8000,40000,5,10,0.9826532812500001,0.9856058287499999,0.94085,0.9395534208778294,0.47855,0.073585,0.0322895310819149,0.06109456164874976
42,2024-11-03_2024-11-09,header,10,74,32000,8000,40000,40,45,0.9771759062500001,0.9798994562500001,0.9218,0.9198277629690383,0.4754,0.07454,0.08369007706642151,0.060800673814961
42,2024-11-03_2024-11-09,section,10,224,32000,8000,40000,23,28,0.9758131562499999,0.9735717125000001,0.912225,0.9089730626636592,0.464275,0.0750725,0.06091060861945152,0.08910468441519989
42,2024-11-03_2024-11-09,imports,10,1282,32000,8000,40000,5,10,0.9351709374999999,0.92957217125,0.877425,0.8682449681562895,0.430325,0.1675925,0.026189010590314865,0.03441673002961838
42,2024-11-03_2024-11-09,strings,10,177,32000,8000,40000,26,31,0.9708975624999999,0.967552175,0.9108,0.9096434359805511,0.4872,0.100155,0.049075834453105927,0.00048115703739214164
42,2024-11-10_2024-11-16,all,10,1757,32000,8000,40000,5,10,0.9826532812500001,0.98418811,0.936725,0.9345876515131936,0.467325,0.07764,0.03132449463009834,0.06948068467629762
42,2024-11-10_2024-11-16,header,10,74,32000,8000,40000,40,45,0.9771759062500001,0.9771000000000001,0.9128,0.9091145969044765,0.45945,0.0812625,0.09383925795555115,0.06893268890819607
42,2024-11-10_2024-11-16,section,10,224,32000,8000,40000,23,28,0.9758131562499999,0.973503165,0.905,0.9003879626716997,0.4537,0.07986,0.05980894714593887,0.08890646805521606
42,2024-11-10_2024-11-16,imports,10,1282,32000,8000,40000,5,10,0.9351709374999999,0.9175559912500001,0.86385,0.8501045909941649,0.4083,0.1405825,0.024157578125596046,0.028866815209445937
42,2024-11-10_2024-11-16,strings,10,177,32000,8000,40000,26,31,0.9708975624999999,0.96890079875,0.90515,0.9023825451551485,0.47165,0.1013425,0.04706477001309395,0.00039020777180346424
42,2024-11-17_2024-11-23,all,10,1757,32000,8000,40000,5,10,0.9826532812500001,0.9823540300000001,0.92365,0.9199307849614599,0.45355,0.07915,0.03038305602967739,0.08107935061971847
42,2024-11-17_2024-11-23,header,10,74,32000,8000,40000,40,45,0.9771759062500001,0.97043083625,0.896725,0.8902643113295259,0.441125,0.0844025,0.10157859325408936,0.08030644482749981
42,2024-11-17_2024-11-23,section,10,224,32000,8000,40000,23,28,0.9758131562499999,0.96764344125,0.89345,0.8872963824836049,0.4454,0.0817,0.06644587218761444,0.15166380444050842
42,2024-11-17_2024-11-23,imports,10,1282,32000,8000,40000,5,10,0.9351709374999999,0.9132859525000001,0.8596,0.8438091000111247,0.3989,0.1936625,0.02129301242530346,0.02390193354153535
42,2024-11-17_2024-11-23,strings,10,177,32000,8000,40000,26,31,0.9708975624999999,0.9599546400000001,0.891375,0.8872395089922923,0.463325,0.1040725,0.04362877830862999,0.0010678721289805282
42,2024-11-24_2024-11-30,all,10,1757,32000,8000,40000,5,10,0.9826532812500001,0.9861085249999999,0.9366,0.934844047068496,0.47305,0.0794975,0.024577569216489792,0.07423108924190783
42,2024-11-24_2024-11-30,header,10,74,32000,8000,40000,40,45,0.9771759062500001,0.97028046625,0.90395,0.9002596053997923,0.463,0.07976,0.08962345123291016,0.07371765354347598
42,2024-11-24_2024-11-30,section,10,224,32000,8000,40000,23,28,0.9758131562499999,0.96642412125,0.89595,0.8910585279028373,0.4551,0.0825525,0.06019042804837227,0.10417442619777897
42,2024-11-24_2024-11-30,imports,10,1282,32000,8000,40000,5,10,0.9351709374999999,0.9308655374999999,0.8697,0.8579062159214831,0.417,0.1511675,0.0255825687199831,0.034487508966699124
42,2024-11-24_2024-11-30,strings,10,177,32000,8000,40000,26,31,0.9708975624999999,0.9630045075,0.898025,0.8947707865748266,0.469075,0.104285,0.03318645805120468,0.00026728800397163944
42,2024-12-01_2024-12-07,all,10,1757,32000,8000,40000,5,10,0.9826532812500001,0.98409117,0.938175,0.9365946209265954,0.475075,0.079575,0.020135480910539627,0.07722078632204717
42,2024-12-01_2024-12-07,header,10,74,32000,8000,40000,40,45,0.9771759062500001,0.9653798637500001,0.899075,0.8960420261118122,0.470825,0.084305,0.0682692602276802,0.0767456773826036
42,2024-12-01_2024-12-07,section,10,224,32000,8000,40000,23,28,0.9758131562499999,0.97059267,0.90325,0.8991714866343599,0.45955,0.082585,0.05258670076727867,0.10588805138724051
42,2024-12-01_2024-12-07,imports,10,1282,32000,8000,40000,5,10,0.9351709374999999,0.9389627625,0.872825,0.8642779008030735,0.437025,0.1516775,0.03177405521273613,0.035991652312938105
42,2024-12-01_2024-12-07,strings,10,177,32000,8000,40000,26,31,0.9708975624999999,0.9655046974999999,0.9024,0.900504612875274,0.48095,0.103195,0.032211970537900925,0.0003935809390448542
42,2024-12-08_2024-12-14,all,10,1757,32000,8000,40000,5,10,0.9826532812500001,0.9831355374999999,0.93215,0.9303638322984554,0.47435,0.0809075,0.026324694976210594,0.07081210360597706
42,2024-12-08_2024-12-14,header,10,74,32000,8000,40000,40,45,0.9771759062500001,0.96444036125,0.893375,0.8897220426632191,0.466875,0.086055,0.08980078995227814,0.07022485910992234
42,2024-12-08_2024-12-14,section,10,224,32000,8000,40000,23,28,0.9758131562499999,0.970065875,0.892875,0.886757049604905,0.445975,0.0846,0.06707655638456345,0.12250316903464101
42,2024-12-08_2024-12-14,imports,10,1282,32000,8000,40000,5,10,0.9351709374999999,0.938072285,0.873375,0.864037795613776,0.431325,0.1323825,0.03329186886548996,0.037640442936429264
