seed,feature_group,operator,selection_type,selection_mode,selection_value,trial_id,density_scope,density_bin,n_samples,n_malware,n_benign,n_selected_features,auc,flip_rate,malware_to_benign_rate,mean_abs_probability_shift,mean_signed_probability_shift,mean_margin_shift,boundary_low_10_flip_rate,boundary_low_10_malware_to_benign_rate,boundary_low_20_flip_rate,boundary_low_20_malware_to_benign_rate,baseline_auc,delta_auc
13,imports,imports_benign_mass_injection,random,ratio,0.1,10,density_restricted,low_density,120000,32600,87400,129,0.91190226621836,0.08248466257668711,0.0688957055214724,0.06239979890196005,-0.04435507760394543,-0.034348068803472444,0.37515337423312883,0.294478527607362,0.2937116564417178,0.23358895705521474,0.9158103901391248,-0.003908123920764783
13,imports,imports_benign_mass_injection,random,ratio,0.1,11,pooled,all,480000,240000,240000,129,0.9033059918402778,0.022233333333333334,0.021483333333333333,0.03409191332467889,-0.032916691581526096,-0.01249703207804148,0.220875,0.21345833333333333,0.11052083333333333,0.1068125,0.9310476277864583,-0.02774163594618051
13,imports,imports_benign_mass_injection,random,ratio,0.1,11,density_restricted,high_density,167909,72774,95135,129,0.6764142381072851,0.0,0.0,0.03702272917924033,-0.03700400235698489,0.010775191991564122,0.0,0.0,0.0,0.0,0.827109946886455,-0.15069570877916993
13,imports,imports_benign_mass_injection,random,ratio,0.1,11,density_restricted,mid_density,192091,134626,57465,129,0.9612608815482216,0.028553176949474842,0.028256057522321097,0.0312185213583463,-0.030365371223497594,-0.023447418044919347,0.28537473074351927,0.2824036247493129,0.1427616430216148,0.14127609002451164,0.9680348883794532,-0.006774006831231527
13,imports,imports_benign_mass_injection,random,ratio,0.1,11,density_restricted,low_density,120000,32600,87400,129,0.9086646577683875,0.04576687116564417,0.04147239263803681,0.0394154125228273,-0.0343284737946153,-0.019227282791678856,0.31533742331288345,0.27515337423312886,0.21993865030674847,0.19877300613496932,0.9158103901391248,-0.0071457323707373455
13,imports,imports_benign_mass_injection,random,ratio,0.1,12,pooled,all,480000,240000,240000,129,0.9289249500868054,0.08292916666666666,0.08047916666666667,0.08988981371201535,-0.08125442351930569,-0.06701377598437659,0.2936666666666667,0.27075,0.14810416666666668,0.1365625,0.9310476277864583,-0.0021226776996529084
13,imports,imports_benign_mass_injection,random,ratio,0.1,12,density_restricted,high_density,167909,72774,95135,129,0.931651102412351,0.05343941517574958,0.05343941517574958,0.06524048629294833,-0.05080885022908613,-0.0475323688743776,0.02720527617477329,0.02720527617477329,0.013603572655444865,0.013603572655444865,0.827109946886455,0.10454115552589605
13,imports,imports_benign_mass_injection,random,ratio,0.1,12,density_restricted,mid_density,192091,134626,57465,129,0.9463820060390267,0.08814047806515829,0.08636518948791466,0.10137563892968214,-0.097285747369156,-0.08101856816303384,0.3410829681348882,0.32451905221718785,0.30353561613310553,0.2946594369754141,0.9680348883794532,-0.021652882340426505
13,imports,imports_benign_mass_injection,random,ratio,0.1,12,density_restricted,low_density,120000,32600,87400,129,0.9022431553677472,0.12723926380368097,0.11653374233128834,0.0974830483083824,-0.08301556296754158,-0.05266809405735685,0.4466257668711656,0.3693251533742331,0.3624233128834356,0.31150306748466255,0.9158103901391248,-0.013567234771377557
13,imports,imports_benign_mass_injection,random,ratio,0.1,13,pooled,all,480000,240000,240000,129,0.9499895573784722,0.03659166666666667,0.022058333333333333,0.04023797696369659,0.003142223251243639,-0.022001828766340225,0.19775,0.057791666666666665,0.099125,0.029104166666666667,0.9310476277864583,0.018941929592013906
13,imports,imports_benign_mass_injection,random,ratio,0.1,13,density_restricted,high_density,167909,72774,95135,129,0.9689076788844305,0.03006568279880177,0.0013054112732569325,0.05377444824987322,0.046638238748127815,-0.04370194354565679,0.300632041769717,0.013053036548502336,0.15032634833390587,0.006526966678117485,0.827109946886455,0.14179773199797552
13,imports,imports_benign_mass_injection,random,ratio,0.1,13,density_restricted,mid_density,192091,134626,57465,129,0.9639813212290297,0.03997741892353632,0.032965400442707946,0.03580206480690904,-0.018465113494579796,-0.01407165958406765,0.11186214068186882,0.05058307955136299,0.07843719824704747,0.043378147515412614,0.9680348883794532,-0.004053567150423487
13,imports,imports_benign_mass_injection,random,ratio,0.1,13,density_restricted,low_density,120000,32600,87400,129,0.9173205937372773,0.03717791411042945,0.02334355828220859,0.028338772934232245,-0.004724945921364475,-0.006308663225930554,0.25950920245398773,0.1530674846625767,0.1615030674846626,0.09447852760736196,0.9158103901391248,0.0015102035981524597
13,imports,imports_benign_mass_injection,random,ratio,0.1,14,pooled,all,480000,240000,240000,129,0.9493866681163196,0.024845833333333334,0.008058333333333334,0.02818271543489062,-0.010571203242131927,-0.02046563293871845,0.20333333333333334,0.04583333333333333,0.10191666666666667,0.022958333333333334,0.9310476277864583,0.018339040329861223
13,imports,imports_benign_mass_injection,random,ratio,0.1,14,density_restricted,high_density,167909,72774,95135,129,0.9657056703014495,0.029309918377442495,0.0009343996482260148,0.024813582342113293,0.0034820115461370307,-0.022416469024400126,0.2930750206100577,0.00934322616103325,0.14654757815183786,0.004671934043284095,0.827109946886455,0.1385957234149945
13,imports,imports_benign_mass_injection,random,ratio,0.1,14,density_restricted,mid_density,192091,134626,57465,129,0.9664694845079668,0.02024126097484884,0.009693521310890912,0.02964101743062716,-0.018736153044691176,-0.02148679380312931,0.12523211765579736,0.03624749312931739,0.10116615910272599,0.048466166530490976,0.9680348883794532,-0.0015654038714864038
13,imports,imports_benign_mass_injection,random,ratio,0.1,14,density_restricted,low_density,120000,32600,87400,129,0.916834709957743,0.03389570552147239,0.017208588957055213,0.02968148620837988,-0.008224397134222216,-0.01189370202363947,0.28343558282208586,0.14263803680981596,0.1638036809815951,0.08251533742331288,0.9158103901391248,0.001024319818618169
13,imports,imports_benign_mass_injection,random,ratio,0.1,15,pooled,all,480000,240000,240000,129,0.9120755921354168,0.008520833333333333,0.0077666666666666665,0.014688528329806452,-0.013042974969127156,-0.008879861870907215,0.08491666666666667,0.07745833333333334,0.042458333333333334,0.03872916666666667,0.9310476277864583,-0.018972035651041552
13,imports,imports_benign_mass_injection,random,ratio,0.1,15,density_restricted,high_density,167909,72774,95135,129,0.6891144579395934,0.0,0.0,0.01031267360132515,-0.010031701755864944,-0.0036015272189278756,0.0,0.0,0.0,0.0,0.827109946886455,-0.13799548894686164
13,imports,imports_benign_mass_injection,random,ratio,0.1,15,density_restricted,mid_density,192091,134626,57465,129,0.9654186425977853,0.008497615616597091,0.007762245034391574,0.014848441393008753,-0.013504379486818837,-0.01143444981981928,0.08460224318502563,0.07724875584936493,0.04248681571715071,0.03881007204932036,0.9680348883794532,-0.0026162457816678586
13,imports,imports_benign_mass_injection,random,ratio,0.1,15,density_restricted,low_density,120000,32600,87400,129,0.912558328712218,0.02763803680981595,0.025122699386503067,0.023796503666120104,-0.01785970356493033,-0.010113345574984186,0.23865030674846627,0.21533742331288344,0.13650306748466257,0.12423312883435583,0.9158103901391248,-0.003252061426906816
13,imports,imports_benign_mass_injection,random,ratio,0.1,16,pooled,all,480000,240000,240000,129,0.8534226577777779,0.18594166666666667,0.18515833333333334,0.1324579872312842,-0.13132141890151608,-0.052278764465458365,0.3504583333333333,0.3430416666666667,0.17927083333333332,0.1755625,0.9310476277864583,-0.0776249700086804
13,imports,imports_benign_mass_injection,random,ratio,0.1,16,density_restricted,high_density,167909,72774,95135,129,0.6720119053155691,0.08064693434468354,0.08064693434468354,0.09344125943418878,-0.09312762800106554,-0.017437078229940606,0.04094531464688101,0.04094531464688101,0.020474063895568533,0.020474063895568533,0.827109946886455,-0.15509804157088591
13,imports,imports_benign_mass_injection,random,ratio,0.1,16,density_restricted,mid_density,192091,134626,57465,129,0.9132937352218843,0.24266486414214195,0.24213747715894404,0.1563606201473276,-0.15549687911177798,-0.07093701799896672,0.42835920671469957,0.42308549357498326,0.4153977568149744,0.41276090024511625,0.9680348883794532,-0.05474115315756889
13,imports,imports_benign_mass_injection,random,ratio,0.1,16,density_restricted,low_density,120000,32600,87400,129,0.8887292800887254,0.18674846625766872,0.183159509202454,0.12084717403344855,-0.11674686162307038,-0.05300523176304965,0.4377300613496933,0.4156441717791411,0.379601226993865,0.36319018404907977,0.9158103901391248,-0.02708111005039937
13,imports,imports_benign_mass_injection,random,ratio,0.1,17,pooled,all,480000,240000,240000,129,0.87935532328125,0.15004583333333332,0.14524583333333332,0.11749790811971231,-0.11206473302310714,-0.06451472346066385,0.392125,0.344125,0.20004166666666667,0.17604166666666668,0.9310476277864583,-0.05169230450520834
13,imports,imports_benign_mass_injection,random,ratio,0.1,17,density_restricted,high_density,167909,72774,95135,129,0.6865816228774383,0.0716052436309671,0.06036496550966004,0.07984638351086089,-0.07148989026080681,-0.0361154232213043,0.13547677933498214,0.023083264633140973,0.06774304362761938,0.011542425283407763,0.827109946886455,-0.14052832400901671
13,imports,imports_benign_mass_injection,random,ratio,0.1,17,density_restricted,mid_density,192091,134626,57465,129,0.9320058987784532,0.17773684132336992,0.17575356914711868,0.13186837271246962,-0.12766652344680102,-0.0795451200483346,0.44187773898833843,0.42204560647701106,0.3950456807546609,0.38512961449899724,0.9680348883794532,-0.03602898960099998
13,imports,imports_benign_mass_injection,random,ratio,0.1,17,density_restricted,low_density,120000,32600,87400,129,0.8842010222024118,0.21079754601226994,0.20874233128834355,0.1422038555313691,-0.13821157258149472,-0.06584136470628937,0.4322085889570552,0.42116564417177915,0.3861963190184049,0.375920245398773,0.9158103901391248,-0.031609367936712984
13,imports,imports_benign_mass_injection,random,ratio,0.1,18,pooled,all,480000,240000,240000,129,0.898369896328125,0.0378875,0.03657083333333333,0.05462502242670112,-0.052140484519550064,-0.03198895940104147,0.2679166666666667,0.25533333333333336,0.1355625,0.12927083333333333,0.9310476277864583,-0.0326777314583333
13,imports,imports_benign_mass_injection,random,ratio,0.1,18,density_restricted,high_density,167909,72774,95135,129,0.6747191559737684,0.0,0.0,0.03203882482865785,-0.03202262132293252,-0.0060481534028021654,0.0,0.0,0.0,0.0,0.827109946886455,-0.1523907909126866
13,imports,imports_benign_mass_injection,random,ratio,0.1,18,density_restricted,mid_density,192091,134626,57465,129,0.9527902306248206,0.04918812116530239,0.048081351299154695,0.06456534224532423,-0.0621782798702412,-0.046348337060989606,0.34695090247344573,0.33610636559459256,0.22673252618287157,0.22119884126866227,0.9680348883794532,-0.015244657754632573
13,imports,imports_benign_mass_injection,random,ratio,0.1,18,density_restricted,low_density,120000,32600,87400,129,0.9051094821777035,0.07579754601226994,0.07067484662576687,0.0639950361720401,-0.05559782008361436,-0.03059848820066383,0.4058282208588957,0.3656441717791411,0.29340490797546015,0.26947852760736196,0.9158103901391248,-0.010700907961421313
13,imports,imports_benign_mass_injection,random,ratio,0.1,19,pooled,all,480000,240000,240000,129,0.9394346584722223,0.06718333333333333,0.059325,0.08282488975178158,-0.059994489527894705,-0.06235956029595969,0.3780833333333333,0.29991666666666666,0.19079166666666666,0.15170833333333333,0.9310476277864583,0.008387030685763963
13,imports,imports_benign_mass_injection,random,ratio,0.1,19,density_restricted,high_density,167909,72774,95135,129,0.975859570640012,0.0486987110781323,0.03745843295682524,0.07529729105981213,-0.018818566262823938,-0.0656626495236429,0.13547677933498214,0.023083264633140973,0.06774304362761938,0.011542425283407763,0.827109946886455,0.14874962375355705
13,imports,imports_benign_mass_injection,random,ratio,0.1,19,density_restricted,mid_density,192091,134626,57465,129,0.9546901249705948,0.05850281520657228,0.05183248406697072,0.07855877235042263,-0.07114752900112405,-0.06130454073636971,0.4169204486370051,0.3505162296664934,0.27464161033944884,0.24129094555448266,0.9680348883794532,-0.013344763408858373
13,imports,imports_benign_mass_injection,random,ratio,0.1,19,density_restricted,low_density,120000,32600,87400,129,0.8936135334334769,0.14429447852760735,0.13907975460122698,0.11724647835560777,-0.10585484374781151,-0.059342813295160265,0.43374233128834355,0.39539877300613496,0.37469325153374233,0.34938650306748464,0.9158103901391248,-0.02219685670564786
13,imports,imports_benign_mass_injection,random,ratio,0.1,20,pooled,all,480000,240000,240000,129,0.9010505826736112,0.08305,0.08081666666666666,0.08597341587286407,-0.0791322244791118,-0.0643891416419947,0.280125,0.25866666666666666,0.141625,0.13085416666666666,0.9310476277864583,-0.029997045112847176
13,imports,imports_benign_mass_injection,random,ratio,0.1,20,density_restricted,high_density,167909,72774,95135,129,0.673090060277991,0.050622475059774096,0.050553769203286886,0.06064323006928915,-0.053771323959432564,-0.041461566399587514,0.030915086562242376,0.030915086562242376,0.015458605290278255,0.015458605290278255,0.827109946886455,-0.154019886608464
13,imports,imports_benign_mass_injection,random,ratio,0.1,20,density_restricted,mid_density,192091,134626,57465,129,0.9482781050867672,0.09125280406459377,0.08910611620340796,0.09843633094128296,-0.09307071309945107,-0.08033795661685506,0.33402659139864815,0.31322884943920376,0.2657654311817574,0.255032310777687,0.9680348883794532,-0.01975678329268593
