family,model,feature_group,outcome,strength,status,path,n_seeds,weeks_per_seed,direction,raw_pvalue,paired_mean_delta,paired_median_delta,seed_min_delta,seed_max_delta,positive_seed_count,nonnegative_seed_count,seed_deltas_json,ci_low,ci_high,holm_adjusted_pvalue,random_repeats_per_seed
main_models,RF,header,auc_drop,0.01,ok,artifacts/5_3_targeted_perturbation_response/results/RF/rq2_2_rf_full_wild_b/trial_results.csv,5,12,greater,0.125,0.007050466791666684,0.010921181322916662,-0.0008101477656250008,0.012996282218750037,3,3,"[-0.000371732849, 0.012516751031, 0.010921181323, -0.000810147766, 0.012996282219]",0.001711484018750009,0.01238944956458336,1.0,
main_models,RF,header,auc_drop,0.05,ok,artifacts/5_3_targeted_perturbation_response/results/RF/rq2_2_rf_full_wild_b/trial_results.csv,5,12,greater,0.03125,0.018982309416666666,0.019658809020833338,0.01681025313020831,0.020758195296875007,5,5,"[0.01681025313, 0.020758195297, 0.017492586203, 0.019658809021, 0.020191703432]",0.01762300980520832,0.020311721295833328,1.0,
main_models,RF,header,auc_drop,0.1,ok,artifacts/5_3_targeted_perturbation_response/results/RF/rq2_2_rf_full_wild_b/trial_results.csv,5,12,greater,0.03125,0.06254798315520833,0.05770839925520837,0.04427106115624998,0.08857276471354163,5,5,"[0.088572764714, 0.074589366526, 0.057708399255, 0.044271061156, 0.047598324125]",0.04828943396354167,0.0775811969583333,1.0,
main_models,RF,imports,auc_drop,0.01,ok,artifacts/5_3_targeted_perturbation_response/results/RF/rq2_2_rf_full_wild_b/trial_results.csv,5,12,greater,0.0625,0.004592645907291662,0.003861455640625025,-0.0013545686822917043,0.009773002864583314,4,4,"[0.007724191391, 0.009773002865, 0.003861455641, 0.002959148323, -0.001354568682]",0.0013239267333333127,0.008000469661458324,1.0,
main_models,RF,imports,auc_drop,0.05,ok,artifacts/5_3_targeted_perturbation_response/results/RF/rq2_2_rf_full_wild_b/trial_results.csv,5,12,greater,0.03125,0.020831857722916673,0.012854459192708329,0.010218706322916715,0.03966355983333333,5,5,"[0.030811177021, 0.039663559833, 0.010611386245, 0.010218706323, 0.012854459193]",0.010902928865625019,0.032082648553124996,1.0,
main_models,RF,imports,auc_drop,0.1,ok,artifacts/5_3_targeted_perturbation_response/results/RF/rq2_2_rf_full_wild_b/trial_results.csv,5,12,greater,0.03125,0.038080481171874986,0.03920404303645835,0.020555432156249973,0.053127234802083305,5,5,"[0.051865472922, 0.053127234802, 0.025650222943, 0.020555432156, 0.039204043036]",0.026323070646874985,0.049837891696874984,1.0,
main_models,RF,header,flip_rate,0.01,ok,artifacts/5_3_targeted_perturbation_response/results/RF/rq2_3_rf_full_wild_b/trial_results.csv,5,12,greater,0.03125,0.01813254166666667,0.0191678125,4.739583333333346e-05,0.048611562500000004,5,5,"[0.0012059375, 0.0191678125, 0.0486115625, 4.7395833e-05, 0.02163]",0.004334895833333333,0.033734125000000004,1.0,
main_models,RF,header,flip_rate,0.05,ok,artifacts/5_3_targeted_perturbation_response/results/RF/rq2_3_rf_full_wild_b/trial_results.csv,5,12,greater,0.03125,0.11027210416666666,0.11333708333333332,0.09694145833333334,0.120583125,5,5,"[0.103976666667, 0.096941458333, 0.120583125, 0.113337083333, 0.1165221875]",0.10226464583333335,0.11750954166666668,1.0,
main_models,RF,header,flip_rate,0.1,ok,artifacts/5_3_targeted_perturbation_response/results/RF/rq2_3_rf_full_wild_b/trial_results.csv,5,12,greater,0.03125,0.14870293750000002,0.13729541666666667,0.12818333333333334,0.1777090625,5,5,"[0.171134791667, 0.128183333333, 0.137295416667, 0.129192083333, 0.1777090625]",0.13040924999999998,0.16699662499999998,1.0,
main_models,RF,imports,flip_rate,0.01,ok,artifacts/5_3_targeted_perturbation_response/results/RF/rq2_3_rf_full_wild_b/trial_results.csv,5,12,greater,0.03125,0.039618708333333336,0.02947177083333333,0.021446145833333333,0.06786072916666668,5,5,"[0.05344125, 0.067860729167, 0.029471770833, 0.025873645833, 0.021446145833]",0.024822270833333333,0.056579416666666674,1.0,
main_models,RF,imports,flip_rate,0.05,ok,artifacts/5_3_targeted_perturbation_response/results/RF/rq2_3_rf_full_wild_b/trial_results.csv,5,12,greater,0.03125,0.0841665,0.05251802083333334,0.03562489583333333,0.18487541666666665,5,5,"[0.106079166667, 0.184875416667, 0.052518020833, 0.035624895833, 0.041735]",0.0414475625,0.1392660625,1.0,
main_models,RF,imports,flip_rate,0.1,ok,artifacts/5_3_targeted_perturbation_response/results/RF/rq2_3_rf_full_wild_b/trial_results.csv,5,12,greater,0.03125,0.10619439583333334,0.09830791666666666,0.06115354166666667,0.18156208333333335,5,5,"[0.127412604167, 0.181562083333, 0.061153541667, 0.098307916667, 0.062535833333]",0.06913733333333334,0.14692693750000002,1.0,
mlp_extension,MLP,all,auc_drop,0.01,ok,artifacts/MLP/results/5_3/mlp_rq2_targeted_masking_wild_b_main/masking_rows.csv,5,,greater,0.03125,0.11309982358333326,0.08040139499999983,0.024945974999999915,0.2700737466666666,5,5,"[0.127158499167, 0.024945975, 0.080401395, 0.270073746667, 0.062919502083]",0.05122646983333325,0.1942048059999999,0.9375,3
mlp_extension,MLP,all,auc_drop,0.05,ok,artifacts/MLP/results/5_3/mlp_rq2_targeted_masking_wild_b_main/masking_rows.csv,5,,greater,0.03125,0.12289542341666664,0.13099019791666652,0.08174391208333336,0.16841434208333328,5,5,"[0.081743912083, 0.086004116667, 0.130990197917, 0.168414342083, 0.147324548333]",0.09329725108333331,0.15249359574999996,0.9375,3
mlp_extension,MLP,all,auc_drop,0.1,ok,artifacts/MLP/results/5_3/mlp_rq2_targeted_masking_wild_b_main/masking_rows.csv,5,,greater,0.03125,0.13372848333333337,0.12540873041666675,0.09960661500000016,0.1866890125,5,5,"[0.099606615, 0.11939343375, 0.137544625, 0.1866890125, 0.125408730417]",0.11147870624999998,0.1621768996666667,0.9375,3
