feature_group,operator,selection_type,selection_mode,selection_value,selection_label,n_weeks,n_selected_features_mean,n_candidate_features,auc_across_weeks_mean,auc_across_weeks_std,auc_across_weeks_min,auc_across_weeks_max,delta_auc_across_weeks_mean,delta_auc_across_weeks_std,delta_auc_across_weeks_min,delta_auc_across_weeks_max,flip_rate_across_weeks_mean,flip_rate_across_weeks_std,flip_rate_across_weeks_min,flip_rate_across_weeks_max,malware_to_benign_rate_across_weeks_mean,malware_to_benign_rate_across_weeks_std,malware_to_benign_rate_across_weeks_min,malware_to_benign_rate_across_weeks_max,mean_abs_probability_shift_across_weeks_mean,mean_abs_probability_shift_across_weeks_std,mean_abs_probability_shift_across_weeks_min,mean_abs_probability_shift_across_weeks_max,mean_signed_probability_shift_across_weeks_mean,mean_signed_probability_shift_across_weeks_std,mean_signed_probability_shift_across_weeks_min,mean_signed_probability_shift_across_weeks_max,mean_margin_shift_across_weeks_mean,mean_margin_shift_across_weeks_std,mean_margin_shift_across_weeks_min,mean_margin_shift_across_weeks_max,boundary_low_10_flip_rate_across_weeks_mean,boundary_low_10_flip_rate_across_weeks_std,boundary_low_10_flip_rate_across_weeks_min,boundary_low_10_flip_rate_across_weeks_max,boundary_low_10_malware_to_benign_rate_across_weeks_mean,boundary_low_10_malware_to_benign_rate_across_weeks_std,boundary_low_10_malware_to_benign_rate_across_weeks_min,boundary_low_10_malware_to_benign_rate_across_weeks_max
header,header_benign_substitution,random,budget,3.0,Top-3,12,3.0,7,0.9767619303364584,0.005468606607131728,0.9667276635125001,0.9859042527875,-0.005047068017708332,0.0012818912682475577,-0.007196607237499983,-0.0023655237125000308,0.04882079166666667,0.007842100530306312,0.031306999999999995,0.06204449999999999,0.040092458333333324,0.006796822362503712,0.024367,0.050931500000000005,0.05109138654773459,0.00807898390299328,0.03213285861568431,0.0605831924507986,-0.03559718126657049,0.006153244209705975,-0.04317736852315211,-0.020698908664246694,-0.02144615242193602,0.0045153573473803955,-0.03038969385570662,-0.013661818599908804,0.22598625000000003,0.021571852524856713,0.18701500000000004,0.2618500000000001,0.15145875,0.014397193465655038,0.12383,0.17419
header,header_bounded_jitter,random,budget,3.0,Top-3,12,3.0,7,0.9802472023885417,0.004482806840172758,0.9717421213,0.9870304213750002,-0.001561795965624998,0.00032274621708004855,-0.0021821494499999873,-0.001060322962500011,0.01951708333333333,0.0027467607576420303,0.015702999999999995,0.025469999999999996,0.014485,0.002392460823434036,0.011091999999999998,0.019069500000000003,0.020790937680145546,0.002808131899507694,0.016731829363263076,0.026107477992644387,-0.010960059556308278,0.0017167920799806362,-0.014029459402892488,-0.008602821195413623,-0.006684357399531992,0.0014682509229735471,-0.00947089684396067,-0.004979500444620582,0.10699916666666666,0.007426898419857972,0.09595500000000001,0.120825,0.06477875,0.006053604685433299,0.05655,0.07699
header,header_benign_substitution,baseline,baseline,0.0,Baseline,12,0.0,7,0.9818089983541666,0.004244081643073902,0.9739242707499999,0.9882697765000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,header_bounded_jitter,baseline,baseline,0.0,Baseline,12,0.0,7,0.9818089983541666,0.004244081643073902,0.9739242707499999,0.9882697765000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,imports_benign_mass_injection,important,ratio,0.01,1%,12,13.0,1282,0.942287667375,0.0066611264835544064,0.93228983075,0.9555367535,0.0127184708125,0.00877736432633465,-0.0015920635000000517,0.02704261874999998,0.1657741666666667,0.023167543193849637,0.12712,0.21277,0.06884166666666666,0.014495776300548912,0.04093,0.09373000000000001,0.11455935876141266,0.013362533605339538,0.08266621563315915,0.13093144137507295,-0.04770311429408675,0.015230166819871716,-0.06746386879278062,-0.024826768697453098,-0.06555386696570442,0.009427748277049517,-0.07818010770198094,-0.04523304854713539,0.3654916666666666,0.04251467312064806,0.3044,0.4455,0.17432499999999998,0.020908775071725266,0.1394,0.2032
imports,imports_benign_mass_injection,random,ratio,0.01,1%,12,13.0,1282,0.9299128083583333,0.009493100424103234,0.9101477254750001,0.9438810633125,0.00034361179583333127,0.0015656218207934702,-0.0026608576374999703,0.0027414767499999836,0.008492583333333333,0.0032987820153387256,0.0018565,0.016061000000000002,0.0025773333333333334,0.000706124880755679,0.0012045,0.0039935,0.007729075465976628,0.001868873136216025,0.0033037955422638636,0.010289359322294467,-0.0007036986834193898,0.0015732026585331797,-0.0036392394247492456,0.0022387428133869105,-0.0020905032992346423,0.0005680665657288222,-0.0029080390954276613,-0.0011128100558066682,0.035251666666666674,0.006891976111553364,0.017245,0.044035000000000005,0.0178925,0.0033172688942361426,0.010785,0.024045000000000004
imports,imports_benign_mass_injection,important,ratio,0.05,5%,12,65.0,1282,0.8487773087499999,0.01581341646145203,0.8301548974999999,0.8779080189999998,-0.0807918878125,0.010263894005149269,-0.09476294124999995,-0.05884840725000005,0.28366166666666676,0.0489503595208679,0.17804999999999999,0.34500000000000003,0.2792141666666667,0.04837751069424948,0.17470999999999998,0.34067000000000003,0.2011891222829509,0.027019769036713884,0.14538516499167917,0.23782765885828114,-0.1885610349642296,0.026136867183903328,-0.22624777414808048,-0.1356119726920954,-0.10281030556155583,0.012741081054748133,-0.13142048626449104,-0.08339279316373818,0.3900083333333333,0.03656538568859292,0.3287,0.43870000000000003,0.3517333333333334,0.03340177972636921,0.3003,0.3984
imports,imports_benign_mass_injection,random,ratio,0.05,5%,12,65.0,1282,0.9310201342500002,0.008867069709985057,0.9097576135625001,0.9420215403750001,0.0014509376874999973,0.002774002370463976,-0.0023184135749999813,0.006574184087500013,0.03649858333333334,0.004965102306068044,0.027583000000000003,0.045747,0.013680166666666665,0.002272038964356808,0.0092315,0.0174325,0.03074454965590859,0.0035393055892439704,0.024330814745660588,0.03491622101445643,-0.008310052455296662,0.00444077013194056,-0.01417326183401099,-0.0013613917995054078,-0.011705491082721084,0.002382592161489118,-0.01477990998363931,-0.008002658813558309,0.13588541666666668,0.010446876817645336,0.11158,0.15320999999999999,0.07750541666666667,0.010887641590800193,0.05566000000000001,0.0965
imports,imports_benign_mass_injection,important,ratio,0.1,10%,12,129.0,1282,0.845487284625,0.01552769243587529,0.824799619,0.8756523165000001,-0.08408191193750002,0.011209300282177202,-0.09785037974999997,-0.061104109750000045,0.31059166666666665,0.052416535532427366,0.19837000000000002,0.37543,0.3081183333333333,0.052093747678797514,0.19649,0.37299999999999994,0.22565348577869018,0.027955077508502964,0.16889840999167416,0.263547123306033,-0.21575205753265034,0.027287882342604864,-0.2545630691532479,-0.1612601416489154,-0.10736928456643091,0.011923032376352486,-0.13284437681077566,-0.09117436979583105,0.38809166666666667,0.03850074584414638,0.32589999999999997,0.43599999999999994,0.36645,0.036239745676075956,0.30890000000000006,0.41159999999999997
imports,imports_benign_mass_injection,random,ratio,0.1,10%,12,129.0,1282,0.9294074893552086,0.00959880682520662,0.9113939575000001,0.94466380595,-0.00016170720729166688,0.0029767339803957924,-0.006194605925000024,0.0031939515250000326,0.06451458333333333,0.01243807775682087,0.041766000000000005,0.09044149999999998,0.027864666666666673,0.005830533492362046,0.016451,0.035088,0.05177158798853405,0.007293608701337392,0.03629311560028831,0.06389228263687531,-0.019365427501568878,0.006936439928741814,-0.029511090224009547,-0.00952698953576074,-0.022027671086017834,0.004751307766424365,-0.0289532559403471,-0.011857633425205632,0.20856041666666666,0.016340230957457597,0.17289,0.23417000000000002,0.12456125000000001,0.01726005445204331,0.095805,0.15163000000000001
imports,imports_benign_mass_injection,baseline,baseline,0.0,Baseline,12,0.0,1282,0.9295691965625,0.009714942458708142,0.9084488367500001,0.94227266525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
