feature_group,density_bin,density_definition,perturbation_type,strength,n_rows,thresholds_json,n_samples_mean,n_samples_std,n_samples_min,n_samples_max,n_masked_features_mean,n_masked_features_std,n_masked_features_min,n_masked_features_max,flip_rate_mean_mean,flip_rate_mean_std,flip_rate_mean_min,flip_rate_mean_max,benign_to_malware_rate_overall_mean_mean,benign_to_malware_rate_overall_mean_std,benign_to_malware_rate_overall_mean_min,benign_to_malware_rate_overall_mean_max,malware_to_benign_rate_overall_mean_mean,malware_to_benign_rate_overall_mean_std,malware_to_benign_rate_overall_mean_min,malware_to_benign_rate_overall_mean_max,benign_to_malware_rate_cond_mean_mean,benign_to_malware_rate_cond_mean_std,benign_to_malware_rate_cond_mean_min,benign_to_malware_rate_cond_mean_max,malware_to_benign_rate_cond_mean_mean,malware_to_benign_rate_cond_mean_std,malware_to_benign_rate_cond_mean_min,malware_to_benign_rate_cond_mean_max,mean_abs_probability_shift_mean_mean,mean_abs_probability_shift_mean_std,mean_abs_probability_shift_mean_min,mean_abs_probability_shift_mean_max,mean_signed_probability_shift_mean_mean,mean_signed_probability_shift_mean_std,mean_signed_probability_shift_mean_min,mean_signed_probability_shift_mean_max,mean_margin_shift_mean_mean,mean_margin_shift_mean_std,mean_margin_shift_mean_min,mean_margin_shift_mean_max,baseline_auc_mean_mean,baseline_auc_mean_std,baseline_auc_mean_min,baseline_auc_mean_max,perturbed_auc_mean_mean,perturbed_auc_mean_std,perturbed_auc_mean_min,perturbed_auc_mean_max,delta_auc_mean_mean,delta_auc_mean_std,delta_auc_mean_min,delta_auc_mean_max,auc_drop_mean_mean,auc_drop_mean_std,auc_drop_mean_min,auc_drop_mean_max
header,low_density,class_conditional,random,0.05,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",120000.4,0.8,120000.0,120002.0,4.0,0.0,4.0,4.0,0.26099657540846544,0.03147946905380386,0.22714208333333336,0.2997041666666666,0.09482265617517485,0.02685318345622486,0.05314744754254095,0.12905875,0.10285895676599832,0.026359075103623546,0.054766666666666665,0.13405499999999998,0.18964566666666666,0.05370581702768435,0.10629666666666666,0.2581175,0.20571716042243038,0.052717861337928336,0.10953333333333333,0.26810999999999996,0.24041849633990484,0.032121808018772034,0.20391660523358746,0.2815493882237292,-0.003592070275080081,0.052771612925368284,-0.07135055500386565,0.07420673788729536,0.05225586061323251,0.012877898607157288,0.03873212407739026,0.07388323963233209,0.8928393003405498,0.0021450163970152224,0.8896530842027488,0.8964018468055557,0.8808861091230957,0.005243244369136501,0.8715941757708332,0.8875967554513888,0.011953191217453982,0.0049096272578236615,0.006741756899770001,0.02101554395138893,0.011953191217453982,0.0049096272578236615,0.006741756899770001,0.02101554395138893
header,low_density,class_conditional,random,0.1,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",120000.4,0.8,120000.0,120002.0,8.0,0.0,8.0,8.0,0.32337174039321565,0.03258782235861858,0.28539041666666665,0.3702375,0.08784320721043537,0.0297282731524432,0.05311083333333333,0.13174833333333333,0.16118586976050397,0.032285833665703645,0.1385958333333333,0.22225916666666662,0.17568716666666667,0.05945717876150682,0.10622166666666666,0.26349666666666666,0.32237081240625304,0.06457230237754091,0.2771916666666666,0.44451833333333324,0.30226849005928313,0.03445804987006911,0.2622230827546752,0.348057806721855,-0.07894183090169901,0.06853730307255433,-0.18485306960361375,0.0035627668108253615,0.07427076098134651,0.014559592285058012,0.052523014777077895,0.089242412332306,0.8928393003405498,0.0021450163970152224,0.8896530842027488,0.8964018468055557,0.8725514883735481,0.002081559998587332,0.8694597743680557,0.8750425352638889,0.020287811967001683,0.0019726731093920266,0.017945078208333343,0.023149945354166694,0.020287811967001683,0.0019726731093920266,0.017945078208333343,0.023149945354166694
header,mid_density,class_conditional,important,0.01,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",239776.6,198.52919180815704,239435.0,239957.0,1.0,0.0,1.0,1.0,0.2759985764361736,0.08252731425468109,0.21721099663232302,0.4398646814375509,0.23243108052731504,0.049072169603797906,0.18981944583375013,0.3285317518324389,0.0,0.0,0.0,0.0,0.4643594258702156,0.09762283362143317,0.379525,0.6555221293510779,0.0,0.0,0.0,0.0,0.225651715335028,0.07783035153215741,0.17577762732387373,0.3807715523882452,0.225651715335028,0.07783035153215741,0.17577762732387373,0.3807715523882452,-0.0637459990131353,0.0421183472735043,-0.0867958022155629,0.020424458727495994,0.9414301923943107,0.00091843556427473,0.940359210493672,0.9428736923409484,0.8318591750800387,0.054082671558195725,0.7912633563832596,0.9376794556417568,0.10957101731427196,0.05453164574168388,0.0026797548519151837,0.14925084113473996,0.10957101731427196,0.05453164574168388,0.0026797548519151837,0.14925084113473996
header,mid_density,class_conditional,important,0.05,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",239776.6,198.52919180815704,239435.0,239957.0,4.0,0.0,4.0,4.0,0.332932175507344,0.060766272437598814,0.2501240136227401,0.40428091131204713,0.15805991256513,0.12756070193542554,0.0,0.287755722900353,0.11563169619261322,0.14058525404908678,0.0008094463220261192,0.3580428926430973,0.3159166666666667,0.2549411006596535,0.0,0.5754083333333333,0.23163887813384468,0.2817687727425552,0.0016211247597559956,0.7177735356174018,0.28335009617031914,0.05670700240051685,0.22816969237449147,0.3904173575304207,0.032916094666568786,0.2630907831441742,-0.3901257592858559,0.2728469712633739,-0.006908653932836531,0.07313575131947452,-0.1062170539790805,0.12181112570272318,0.9414301923943107,0.00091843556427473,0.940359210493672,0.9428736923409484,0.7616028715068812,0.029438683876085787,0.7059383864201414,0.7869788590847052,0.17982732088742953,0.02913503566405495,0.15473294479958766,0.2344208240735306,0.17982732088742953,0.02913503566405495,0.15473294479958766,0.2344208240735306
header,mid_density,class_conditional,important,0.1,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",239776.6,198.52919180815704,239435.0,239957.0,8.0,0.0,8.0,8.0,0.41825031889671943,0.013831084924316929,0.3921748446182256,0.4326574039304043,0.06264793053569716,0.12529586107139432,0.0,0.3132396526784858,0.30448547469221665,0.15180517246423889,0.001042131283530574,0.3876830642132933,0.12524,0.25048,0.0,0.6262,0.6096096003115853,0.303923081894352,0.0020851926300951684,0.7764351967911758,0.4103410279081034,0.04118854329115932,0.3286650127120053,0.4365789792151362,-0.28123151738551727,0.29904087747892166,-0.43657146307422257,0.31675376494716695,0.11714345090289972,0.05082022716341318,0.01560747807994634,0.1451878536277561,0.9414301923943107,0.00091843556427473,0.940359210493672,0.9428736923409484,0.7369913290810106,0.03337279463889444,0.6808988532696439,0.7763489750100596,0.20443886331330008,0.03339502626017098,0.16401023548361238,0.25961534424835564,0.20443886331330008,0.03339502626017098,0.16401023548361238,0.25961534424835564
header,mid_density,class_conditional,random,0.01,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",239776.6,198.52919180815704,239435.0,239957.0,1.0,0.0,1.0,1.0,0.07630733274538098,0.025789709608794672,0.03417887094755288,0.10724467340202062,0.025220285413878517,0.011076551654625821,0.009352805841752526,0.038330235763359574,0.03003534147112961,0.02561556561143793,0.0024880043392998706,0.07610116368243806,0.05038662746772891,0.022113745456126602,0.0187,0.07648063733864449,0.0601088213547345,0.05124009528297316,0.004982869557951033,0.15224801547595224,0.07013072852684055,0.023693690890825837,0.03327437864037878,0.10264751474297658,0.0013262868442458027,0.03671578010952874,-0.06937411676189999,0.029387159432651338,0.005790509140610562,0.006814306119261858,-0.0009666691795390409,0.018430141186914165,0.9414301923943107,0.000918435564274876,0.9403592104936719,0.9428736923409486,0.9376388150089167,0.0028797469197315117,0.9330644674359008,0.9413876122809951,0.003791377385394221,0.0029145811913607526,0.00032419160329795195,0.00744973008209891,0.003791377385394221,0.0029145811913607526,0.00032419160329795195,0.00744973008209891
header,mid_density,class_conditional,random,0.05,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",239776.6,198.52919180815704,239435.0,239957.0,4.0,0.0,4.0,4.0,0.2569888305863306,0.0331211238823354,0.21075801907238834,0.30408252761709864,0.10036528693823137,0.033235129990231,0.05278687772998565,0.14101551569319437,0.1012083165212992,0.023391912106552913,0.057124634732985125,0.12426038831957391,0.20051905228238015,0.06632524165548645,0.10554208333333334,0.28136942807856735,0.2026046478153571,0.04680083111104841,0.11430025105719266,0.24856531923939412,0.23752929622785382,0.03295877635038447,0.19308825509835809,0.2784773288774432,0.014792577477944638,0.05501112274237556,-0.05938327584113021,0.09508683873590737,0.04035362366605553,0.011658535680236915,0.026681731115216017,0.05879960487624393,0.9414301923943107,0.000918435564274876,0.9403592104936719,0.9428736923409486,0.9294963571707642,0.0061328854673135405,0.9190472237484674,0.9356306010730897,0.01193383522354633,0.006515932885805817,0.006081202811202996,0.023826468592481016,0.01193383522354633,0.006515932885805817,0.006081202811202996,0.023826468592481016
header,mid_density,class_conditional,random,0.1,5,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",239776.6,198.52919180815704,239435.0,239957.0,8.0,0.0,8.0,8.0,0.3044901257936815,0.03245703667613764,0.257079108774565,0.3367315810749426,0.09324411194675634,0.032658615958501204,0.05215024825802145,0.14028971857457792,0.15388064559871023,0.03042696229371493,0.12922877848947936,0.2120280708482532,0.18634610307447005,0.06536318310368675,0.10415708333333333,0.28052916666666666,0.3080366785707967,0.06083121610536457,0.25850388055719964,0.4242453687871685,0.29074727185553795,0.03347006019042023,0.24629482794470975,0.3274239496168725,-0.05273547541386588,0.06648103530405931,-0.1489899114233164,0.03474031995153847,0.06287997070512949,0.01225120528307029,0.04569674734829706,0.07917667805222119,0.9414301923943107,0.000918435564274876,0.9403592104936719,0.9428736923409486,0.9248646459921073,0.003432176669768681,0.9189838593616544,0.929144152526183,0.016565546402203372,0.003312823496237502,0.011370044991816586,0.0213753511320176,0.016565546402203372,0.003312823496237502,0.011370044991816586,0.0213753511320176
imports,high_density,class_conditional,important,0.01,5,"{""high_quantile"": 0.75, ""label_0_q_high"": 0.0, ""label_0_q_low"": -0.4080830510427167, ""label_1_q_high"": 0.0, ""label_1_q_low"": -0.12741874371180054, ""low_quantile"": 0.25}",178642.2,12126.82661540108,166405.0,194527.0,13.0,0.0,13.0,13.0,0.051869880402955024,0.01352812909605071,0.03144136293981551,0.07330725458170341,0.0005023887503380307,0.0010047775006760615,0.0,0.0025119437516901537,0.0474317025701529,0.014514106775563432,0.02407980529431207,0.0690292543143284,0.0008126761932536211,0.0016253523865072423,0.0,0.004063380966268106,0.10310587967371594,0.02917318763641247,0.06306760053513812,0.14991353084487308,0.041189150275093324,0.012476512821328492,0.03044404591150076,0.06371346732522003,-0.03730690205762336,0.014790022409506906,-0.06313269508002134,-0.021307248052091984,-0.0011466947114362866,0.004280325893772124,-0.0056357710728480925,0.006844622953378009,0.8624390828942442,0.0509766568634627,0.8129382232413321,0.9573197000856256,0.8063436264441703,0.06995613865060245,0.6908474490215121,0.9044626442322011,0.056095456450073966,0.034252932554788715,0.024194018298056785,0.12209077421982006,0.056095456450073966,0.034252932554788715,0.024194018298056785,0.12209077421982006
imports,high_density,class_conditional,important,0.05,5,"{""high_quantile"": 0.75, ""label_0_q_high"": 0.0, ""label_0_q_low"": -0.4080830510427167, ""label_1_q_high"": 0.0, ""label_1_q_low"": -0.12741874371180054, ""low_quantile"": 0.25}",178642.2,12126.82661540108,166405.0,194527.0,65.0,0.0,65.0,65.0,0.08866948751749835,0.04537321548749545,0.04393087774567986,0.17371881538295456,3.138750196171887e-05,6.277500392343774e-05,0.0,0.00015693750980859435,0.08354269850279225,0.046166085858347854,0.038688002418000154,0.17024371938085717,5.8174610014651384e-05,0.00011634922002930277,0.0,0.00029087305007325693,0.1796772271991803,0.088079494330365,0.08402024766785746,0.34298941524949766,0.08931616728256461,0.03333353769962193,0.06098968608801372,0.15093187940575678,-0.08567604442302115,0.033820325311783285,-0.1493495136087978,-0.05857180629418207,-0.03130597962565575,0.021884443990935795,-0.06666295738591235,-0.006326932602466072,0.8624390828942442,0.0509766568634627,0.8129382232413321,0.9573197000856256,0.7786122676059349,0.04722895225844765,0.7109538234243467,0.8436179164854639,0.08382681528830918,0.04102905733461878,0.02390200925883057,0.14287228306221222,0.08382681528830918,0.04102905733461878,0.02390200925883057,0.14287228306221222
