seed,feature_group,density_bin,density_definition,thresholds_json,perturbation_type,strength,trial_id,n_samples,n_masked_features,baseline_auc,perturbed_auc,delta_auc,auc_drop,flip_rate,benign_to_malware_rate_overall,malware_to_benign_rate_overall,benign_to_malware_rate_cond,malware_to_benign_rate_cond,mean_abs_probability_shift,mean_signed_probability_shift,mean_margin_shift
13,header,mid_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",random,0.01,3,239893,1,0.9428736923409484,0.9460609174778066,-0.003187225136858207,-0.003187225136858207,0.022068172060043436,0.003109719750055233,0.0,0.006216666666666666,0.0,0.013476209447009259,0.013476209447009259,-0.004637897997264942
13,header,low_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",random,0.01,3,120000,1,0.8926097197222223,0.8894929377777778,0.0031167819444444245,0.0031167819444444245,0.016216666666666667,0.010241666666666666,0.0,0.020483333333333333,0.0,0.014406528938988958,0.014406528938988958,-0.0004995450105668733
13,header,high_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",random,0.01,4,120107,1,0.99652180250775,0.9958014346637384,0.0007203678440116379,0.0007203678440116379,0.4941010931919039,0.48011356540418126,0.0,0.9610833333333333,0.0,0.502368609238034,0.502368609238034,0.06959800744325911
13,header,mid_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",random,0.01,4,239893,1,0.9428736923409484,0.9390203209319977,0.003853371408950701,0.003853371408950701,0.5432421954788177,0.43976272754936574,0.0,0.8791333333333333,0.0,0.5377106707998435,0.5377106707998435,0.13403792603320466
13,header,low_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",random,0.01,4,120000,1,0.8926097197222223,0.8794975691666667,0.01311215055555559,0.01311215055555559,0.47551666666666664,0.384,0.0,0.768,0.0,0.4845894159595201,0.4845894159595201,0.14777367211448952
13,header,high_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",random,0.01,5,120107,1,0.99652180250775,0.9965166869083467,5.115599403304749e-06,5.115599403304749e-06,0.02802501103182995,0.015619406029623585,0.0,0.031266666666666665,0.0,0.027273761659081273,0.027273761659081273,0.006894535470504975
13,header,mid_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",random,0.01,5,239893,1,0.9428736923409484,0.9425119584754739,0.0003617338654745561,0.0003617338654745561,0.04747116422738471,0.02040493053152864,0.0,0.040791666666666664,0.0,0.05083451331609411,0.05083451331609411,-0.0016474200018913266
13,header,low_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",random,0.01,5,120000,1,0.8926097197222223,0.8929264530555556,-0.0003167333333333744,-0.0003167333333333744,0.059833333333333336,0.032058333333333335,0.0,0.06411666666666667,0.0,0.054022187489521326,0.054022187489521326,0.005822202221741214
13,header,high_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",random,0.01,6,120107,1,0.99652180250775,0.9963380582405821,0.00018374426716794012,0.00018374426716794012,0.030339613844322145,0.019191221161131325,0.0,0.03841666666666667,0.0,0.09952198225428668,0.09952198225428668,-0.08308095545932566
13,header,mid_density,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -8.815170926608219e-05, ""label_0_q_low"": -0.010971171350602521, ""label_1_q_high"": -7.327471962526033e-16, ""label_1_q_low"": -0.022870036077561863, ""low_quantile"": 0.25}",random,0.01,6,239893,1,0.9428736923409484,0.8099532072000311,0.13292048514091737,0.13292048514091737,0.23438366271629435,0.20996027395547182,0.0,0.41973333333333335,0.0,0.1852011845588706,0.1852011845588706,-0.0867958022155629
