seed,feature_group,test_week,perturbation_type,strength,trial_id,n_masked_features,flip_rate,benign_to_malware_rate,malware_to_benign_rate,mean_abs_probability_shift,mean_signed_probability_shift,mean_margin_shift
13,header,2024-09-22_2024-09-28,random,0.1,14,8,0.062075,0.03495,0.0111,0.2039449926060142,-0.05556822245485676,-0.19251840158829486
13,header,2024-09-22_2024-09-28,random,0.1,15,8,0.030425,0.016225,0.00345,0.06699620487471512,0.02429497337693174,-0.05490825414741127
13,header,2024-09-22_2024-09-28,random,0.1,16,8,0.0331,0.001425,0.022,0.1966830704884525,-0.09650680301158794,-0.19095194686024286
13,header,2024-09-22_2024-09-28,random,0.1,17,8,0.064875,0.029075,0.02035,0.17611570044527777,-0.04026564599221519,-0.16472568357465522
13,header,2024-09-22_2024-09-28,random,0.1,18,8,0.037175,0.0213,0.003725,0.11008960840016155,0.021953957951412615,-0.09789848245867791
13,header,2024-09-22_2024-09-28,random,0.1,19,8,0.0331,0.000625,0.025925,0.1202572026527484,-0.08535405154445813,-0.11465494248921489
13,header,2024-09-22_2024-09-28,random,0.1,20,8,0.06935,0.049275,0.001925,0.1066410931263193,0.03313036482481272,-0.07659702992724006
13,header,2024-09-29_2024-10-05,baseline,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,header,2024-09-29_2024-10-05,important,0.01,0,1,0.00865,0.0035,0.001125,0.015990106405574002,-0.0031064232314882835,-0.01261652144640259
13,header,2024-09-29_2024-10-05,important,0.05,0,4,0.108075,0.081425,0.003625,0.18106010307027803,0.12321244157922674,-0.14740235577707378
13,header,2024-09-29_2024-10-05,important,0.1,0,8,0.177625,0.08535,0.064025,0.3423841172948768,0.037102060790602805,-0.3261409602494538
13,header,2024-09-29_2024-10-05,random,0.01,1,1,0.020475,0.011375,0.00145,0.04907780459615418,0.02723808786724341,-0.040235216141766124
13,header,2024-09-29_2024-10-05,random,0.01,2,1,0.0013,0.0004,0.00055,0.0022525500000000003,0.00097165,-0.0018180499999999999
13,header,2024-09-29_2024-10-05,random,0.01,3,1,0.00085,0.00045,0.0,0.001927968214340075,0.0018853326633052813,-0.001409200756738993
13,header,2024-09-29_2024-10-05,random,0.01,4,1,0.0025,0.000725,0.001075,0.03258276837450131,-0.02586597876474832,-0.031718676412655966
13,header,2024-09-29_2024-10-05,random,0.01,5,1,0.008775,0.000675,0.0037,0.09687500001027481,-0.02864851423988447,-0.09402790197577574
13,header,2024-09-29_2024-10-05,random,0.01,6,1,0.0026,0.0,0.00085,0.022661717466785844,-0.022244763637519132,-0.021677797496396756
13,header,2024-09-29_2024-10-05,random,0.01,7,1,0.025225,0.015025,0.00095,0.061605770391078785,0.030068209314052147,-0.05135404394270456
13,header,2024-09-29_2024-10-05,random,0.01,8,1,5e-05,0.0,0.0,0.0011064278611791233,-5.677404725972277e-05,-0.0010812177034785415
13,header,2024-09-29_2024-10-05,random,0.01,9,1,0.03025,0.013575,0.005575,0.056880572058359995,0.011565187772727012,-0.04570027187486484
13,header,2024-09-29_2024-10-05,random,0.01,10,1,0.0,0.0,0.0,2.0816681711721684e-19,-2.983724378680108e-20,3.469446951953614e-20
13,header,2024-09-29_2024-10-05,random,0.01,11,1,0.0025,0.000725,0.001075,0.03258276837450131,-0.02586597876474832,-0.031718676412655966
13,header,2024-09-29_2024-10-05,random,0.01,12,1,0.000275,0.0002,0.0,0.001544676482683983,-0.0006596048160173162,-0.0013512331493506493
13,header,2024-09-29_2024-10-05,random,0.01,13,1,5e-05,2.5e-05,0.0,0.000367251958596959,0.000334414827117327,-0.0003284578033078032
13,header,2024-09-29_2024-10-05,random,0.01,14,1,0.00045,0.00015,0.0001,0.0014991008402195415,0.00018591161116396625,-0.0013604314093562866
13,header,2024-09-29_2024-10-05,random,0.01,15,1,0.00555,0.003475,0.0,0.010500222264686098,0.009384122264686096,-0.007761787709739209
13,header,2024-09-29_2024-10-05,random,0.01,16,1,0.0044,0.000525,0.00175,0.04541531549316331,-0.024301459947885073,-0.0434597191053681
13,header,2024-09-29_2024-10-05,random,0.01,17,1,7.5e-05,0.0,2.5e-05,0.0007778175731935059,0.00044152236127608687,-0.0007468080429030062
13,header,2024-09-29_2024-10-05,random,0.01,18,1,0.0,0.0,0.0,1.6705387073656652e-19,-8.153200337090994e-21,6.245004513516505e-20
13,header,2024-09-29_2024-10-05,random,0.01,19,1,0.001425,0.000175,0.0006,0.011346889748077694,-0.008189319247407829,-0.010321441473339792
13,header,2024-09-29_2024-10-05,random,0.01,20,1,2.5e-05,0.0,0.0,0.0003876389285714288,0.0003616210714285714,-0.0003578989285714286
13,header,2024-09-29_2024-10-05,random,0.05,1,4,0.022325,0.01255,0.001375,0.08181341488609262,0.0115650191571799,-0.07421883391132345
13,header,2024-09-29_2024-10-05,random,0.05,2,4,0.04345,0.0282,0.001525,0.057957124251698175,0.03963575142949263,-0.033093139257083945
13,header,2024-09-29_2024-10-05,random,0.05,3,4,0.008325,0.00435,0.00095,0.018917624628807143,0.008522552413081684,-0.014503452306619837
13,header,2024-09-29_2024-10-05,random,0.05,4,4,0.035375,0.01245,0.011,0.1398483700914889,-0.02706653256179586,-0.13126592555533628
