feature_group,test_week,perturbation_type,strength,n_trials,n_masked_features,flip_rate_mean,flip_rate_std,flip_rate_min,flip_rate_max,benign_to_malware_rate_mean,benign_to_malware_rate_std,benign_to_malware_rate_min,benign_to_malware_rate_max,malware_to_benign_rate_mean,malware_to_benign_rate_std,malware_to_benign_rate_min,malware_to_benign_rate_max,mean_abs_probability_shift_mean,mean_abs_probability_shift_std,mean_abs_probability_shift_min,mean_abs_probability_shift_max,mean_signed_probability_shift_mean,mean_signed_probability_shift_std,mean_signed_probability_shift_min,mean_signed_probability_shift_max,mean_margin_shift_mean,mean_margin_shift_std,mean_margin_shift_min,mean_margin_shift_max
header,2024-09-29_2024-10-05,important,0.1,5,8,0.16885,0.013745090032444313,0.151975,0.190825,0.11052,0.022280077423563856,0.08535,0.15075,0.027605,0.02166547599292478,0.003725,0.064025,0.3318937884613737,0.022685318775286584,0.298274560647039,0.35633273752782996,0.06966321057648558,0.024392264523712848,0.037102060790602805,0.10482145341715446,-0.30733910541852827,0.027851324400003083,-0.3344357943591458,-0.27159287375614993
header,2024-09-29_2024-10-05,random,0.01,100,1,0.003939249999999999,0.007139123068521792,0.0,0.03655,0.0015505000000000002,0.0035847646017556018,0.0,0.020125,0.00075,0.0014361537173993594,0.0,0.00895,0.017039198923281016,0.022351136042005764,1.6705387073656652e-19,0.09687500001027481,-0.0028190169665755853,0.015692840057524006,-0.060395547955373684,0.05739972376998931,-0.015484348277689495,0.02046324963276887,-0.09402790197577574,2.400000000000081e-06
header,2024-09-29_2024-10-05,random,0.05,100,4,0.020544249999999997,0.016410835922874248,5e-05,0.0716,0.00951175,0.011087026458320553,0.0,0.04975,0.0038455,0.0037517119092488962,5e-05,0.01495,0.07414559929443686,0.042091072879812105,0.00021420000000000035,0.18759780243603902,-0.002198872670988026,0.03764618662639641,-0.0943962270543561,0.08516358593223029,-0.06758535892415779,0.04051015889921311,-0.18068926879428143,-0.0002006619047619049
header,2024-09-29_2024-10-05,random,0.1,100,8,0.039958749999999994,0.02819834644420662,0.0022,0.1312,0.022057000000000004,0.021482773645411804,0.000475,0.103325,0.0054905000000000015,0.007108249415292066,0.000375,0.0497,0.1311967951544794,0.055631171160259604,0.015383295690495723,0.24855139883721264,0.001214686369050937,0.04682471463095329,-0.09001692941936101,0.10802615582027825,-0.12069387874423622,0.05265782599793947,-0.23752800868623872,-0.014012260377443539
header,2024-10-06_2024-10-12,baseline,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,2024-10-06_2024-10-12,important,0.01,5,1,0.0246,0.016336033790366623,0.0078,0.05255,0.015245,0.010751702190816113,0.002625,0.03045,0.0009649999999999999,0.0008755855183818426,0.0,0.002325,0.05107220544133617,0.026193645428567367,0.019307350979183964,0.07872302441102887,0.038526725709118276,0.03614168917285902,-0.005653951592031015,0.07772582441102886,-0.04131354620494561,0.02415173070206373,-0.07324150227449215,-0.015515719024308525
header,2024-10-06_2024-10-12,important,0.05,5,4,0.13147,0.00777771496006378,0.120675,0.143,0.09294,0.005870532343833902,0.08425,0.10085,0.0045,0.0009992497185388645,0.002825,0.005925,0.19712495021919288,0.005218517794337698,0.19078662890666945,0.20630939615227786,0.13397714622252166,0.00792770343302701,0.12588305527119198,0.14869590101590388,-0.15444052195866642,0.003508805308418051,-0.16136427309418294,-0.15209639237706243
header,2024-10-06_2024-10-12,important,0.1,5,8,0.19070499999999999,0.023623041717780544,0.16365,0.2248,0.119855,0.024076878950561677,0.094575,0.16555,0.03297,0.03299168228508513,0.004175,0.095525,0.3279751965436407,0.019919031307698624,0.2968831232073683,0.3456288987121751,0.07967340848110885,0.025547058801729028,0.04206206819016113,0.11507144095013293,-0.29990834807908545,0.025689790219441875,-0.3216428319794194,-0.26705203825628254
header,2024-10-06_2024-10-12,random,0.01,100,1,0.008229750000000001,0.013387884772715217,0.0,0.053625,0.0034617499999999995,0.0072112719535113905,0.0,0.03145,0.0012032500000000001,0.002324472130936398,0.0,0.014125,0.02240999754255331,0.02837826844543605,2.040034807748725e-19,0.08532287367923844,0.004609793767924336,0.022218165199889756,-0.05317154023835129,0.07772582441102886,-0.018653686602067513,0.0238812870200182,-0.08164197433524406,6.700000000000092e-06
header,2024-10-06_2024-10-12,random,0.05,100,4,0.023476249999999997,0.019154519823986714,0.00065,0.071025,0.0095665,0.011291670170971166,2.5e-05,0.042,0.005095,0.006516008172186403,2.5e-05,0.04245,0.07076579456525164,0.041651484151018915,0.0037902937727542912,0.1528867834147389,0.0010705112000158783,0.034192517972720445,-0.09181134146188304,0.0837460482990977,-0.06244459374839518,0.03747963210605285,-0.13948496009525393,-0.0033569818395132165
