seed,density_bin,feature_group,n_samples,auc,mix_at_10,js_divergence
123,low_density,all,120000,0.9475715712849226,0.08667416666666668,0.07805644173429654
2024,high_density,header,120000,0.9819687576023507,0.014538333333333334,0.07375916984477479
2024,mid_density,header,240000,0.9418146080708281,0.05069833333333334,0.07696238055737561
2024,low_density,header,120000,0.8992506584538624,0.08726416666666667,0.08084023256500775
2024,high_density,section,120000,0.9817549065535852,0.013713333333333333,0.050860939711727206
2024,mid_density,section,240000,0.9337426744281994,0.047203749999999996,0.09395691632658013
2024,low_density,section,120000,0.8934039129389925,0.07584583333333335,0.20681815036878365
2024,high_density,imports,120000,0.9251664182406151,0.1436425,0.06321659324059896
2024,mid_density,imports,240000,0.9170595895255419,0.14152125,0.03901667982836401
2024,low_density,imports,120000,0.8714246743679201,0.1379175,0.018140621643428764
2024,high_density,strings,120000,0.9859453217833906,0.011056666666666666,0.0005523892252003388
2024,mid_density,strings,240000,0.9048738577705472,0.06289291666666667,0.000173572844679258
2024,low_density,strings,120000,0.8524348320441064,0.11206083333333335,0.0004705246890685154
2024,high_density,all,120000,0.9967465275333874,0.009185833333333332,0.07404521350493423
2024,mid_density,all,240000,0.9807222120171198,0.04373166666666666,0.07717866345646306
2024,low_density,all,120000,0.9424272109290956,0.08501750000000001,0.0821382467795839
