seed,density_bin,feature_group,n_samples,auc,mix_at_10,js_divergence
123,high_density,all,120001,0.9953571845280194,0.013794885042624647,0.07250995768615467
123,mid_density,all,239999,0.981383274985803,0.04330184709102954,0.07941724195758681
123,low_density,all,120000,0.9493249822997086,0.08401666666666667,0.07793324874409373
2024,high_density,header,120001,0.9782639846258722,0.019568170265247792,0.067433352320377
2024,mid_density,header,239998,0.9435151657118345,0.04965374711455929,0.07931293311490159
2024,low_density,header,120001,0.8994692003659505,0.08432346397113359,0.08096985099804754
2024,high_density,section,120001,0.976416535776234,0.018838176348530425,0.0365730624661528
2024,mid_density,section,239998,0.9367586904024029,0.04591746597888317,0.1040275803300797
2024,low_density,section,120001,0.8947177526295963,0.07329355588703429,0.21059008183274985
2024,high_density,imports,120001,0.9108637886704347,0.15711035741368826,0.05956824734488317
2024,mid_density,imports,239998,0.9199386457529124,0.13775698130817757,0.04089777316677806
2024,low_density,imports,120001,0.8760060761997561,0.1319780668494429,0.018646487509773435
2024,high_density,strings,120001,0.9825544702172525,0.015194040049666254,0.0005036431245474939
2024,mid_density,strings,239998,0.9060213042046192,0.06238176984808207,0.00016710354340592653
2024,low_density,strings,120001,0.8545505617806861,0.10894575878534346,0.0005199370157854862
2024,high_density,all,120001,0.9954842085270595,0.012995725035624702,0.0677582240275186
2024,mid_density,all,239998,0.9811961784852792,0.04301744181201509,0.07953468412673588
2024,low_density,all,120001,0.9444667568752504,0.08263597803351638,0.08223765789843818
