model,view,seed,family,dimension,subset_repeat,sampling_mode,subset_indices_hash,auc,mix_at_10,js_divergence,same_family_rate_at_10
lightgbm,wild_b,13,header,32,3,family_random,154e4cd616cb341a,0.9666143948148148,0.09231555555555555,0.0009679524920750931,0.6710281810780464
lightgbm,wild_b,13,header,32,4,family_random,e190d5b2a1072b1a,0.9605925307407407,0.10202222222222222,0.06940834741839226,0.6573144054006397
lightgbm,wild_b,13,header,32,5,family_random,029496b5c1e08c41,0.974272949074074,0.07676444444444444,0.14679568047744693,0.6998761898246121
lightgbm,wild_b,13,header,32,6,family_random,afbabab771d46cd8,0.9660899094444443,0.08700388888888888,0.08581925737579954,0.6944607235502817
lightgbm,wild_b,13,header,32,7,family_random,cbcf42ca878b7916,0.9725363914814814,0.09029194444444444,0.07998569122859332,0.6931573864545125
lightgbm,wild_b,13,header,32,8,family_random,851569f557bf88d9,0.9690974509259259,0.08524027777777778,0.08982510260582592,0.6956153939316242
lightgbm,wild_b,13,header,32,9,family_random,af71448fde159cf1,0.9679681968518518,0.09417694444444445,0.07787102543007872,0.6847593848288943
lightgbm,wild_b,13,header,64,0,family_random,f4b0a1d99a1b9e0d,0.9819878627777777,0.07026138888888889,0.08094419553820044,0.7067565583456833
lightgbm,wild_b,13,header,64,1,family_random,a6c19aabda9e0655,0.9816442114814814,0.07034472222222223,0.08156602748103965,0.7069956174674349
lightgbm,wild_b,13,header,64,2,family_random,b0944f9e23151e10,0.9799300203703704,0.07048944444444444,0.2016823000120376,0.7055550586617579
lightgbm,wild_b,13,header,64,3,family_random,e7263bbfb3e9e5c4,0.9818375068518518,0.07000166666666667,0.07879750677251501,0.706257476343107
lightgbm,wild_b,13,header,64,4,family_random,364d8c42c2afbf91,0.981390564074074,0.07013861111111111,0.08133868447624616,0.7058287032211967
lightgbm,wild_b,13,header,64,5,family_random,0c0df928d5ae291e,0.9823274501851852,0.06984916666666666,0.08104801112349101,0.7071310723638896
lightgbm,wild_b,13,header,64,6,family_random,b24d61d630a6059d,0.9788149657407407,0.07677361111111111,0.08111920570138627,0.7038011881855505
lightgbm,wild_b,13,header,64,7,family_random,ec19f76f61fd78d7,0.9820618588888891,0.07067916666666667,0.006144395617947759,0.7065935980129575
lightgbm,wild_b,13,header,64,8,family_random,335ba6cbf4c45bf5,0.9823086274074072,0.0696913888888889,0.08156823527843525,0.707015955581883
lightgbm,wild_b,13,header,64,9,family_random,115ac0dad192d809,0.9823324885185186,0.07048444444444445,0.08153403850129962,0.7072429229790594
lightgbm,wild_b,13,section,16,0,family_random,f4aa23632e74c96f,0.7686838092592593,0.26409888888888894,0.1926552773358946,0.4128924015753797
lightgbm,wild_b,13,section,16,1,family_random,12481625e243cc18,0.9434354762962963,0.12742666666666666,0.009415931863180222,0.5694052987244972
lightgbm,wild_b,13,section,16,2,family_random,3b0f0b60f6719825,0.9387346029629628,0.12788083333333333,0.2592657513598226,0.6204033922209038
lightgbm,wild_b,13,section,16,3,family_random,4a2133ac4fbb889f,0.865987262962963,0.25584999999999997,0.32725700575129746,0.4133832522597724
lightgbm,wild_b,13,section,16,4,family_random,b58db94cdb2fbcf1,0.9071371437037037,0.16731861111111113,0.06830210860175058,0.565785193505515
lightgbm,wild_b,13,section,16,5,family_random,b99a13173155f889,0.9238395218518519,0.14895166666666668,0.005005556847000275,0.5710070258985271
lightgbm,wild_b,13,section,16,6,family_random,06d8f2ed6392cf5b,0.9079327207407407,0.1607288888888889,0.3783881019636608,0.6036215189999502
lightgbm,wild_b,13,section,16,7,family_random,4483c503c9cd1fd2,0.9357282227777778,0.12978611111111107,0.3037605632155118,0.620378770644643
lightgbm,wild_b,13,section,16,8,family_random,d2585d4b98d57786,0.8522423118518518,0.19291499999999998,0.43645300108619783,0.5608040432156319
lightgbm,wild_b,13,section,16,9,family_random,f7f5e0473836ec9c,0.7668851977777779,0.3546236111111111,0.2805804266322311,0.3182574696484159
lightgbm,wild_b,13,section,32,0,family_random,8b587fd28e568297,0.9673251185185187,0.09552833333333334,0.1503051655189832,0.6576106413746096
lightgbm,wild_b,13,section,32,1,family_random,179bdb1679d42bfe,0.9667157207407407,0.08951388888888888,0.051320763990987166,0.6525569517432527
lightgbm,wild_b,13,section,32,2,family_random,0d4fdf440aa6f679,0.9076515403703705,0.1669375,0.30649503117767035,0.5999061299997115
lightgbm,wild_b,13,section,32,3,family_random,3cd596a55c11dedf,0.9612793140740741,0.09593305555555554,0.030730486944856736,0.6499154933155614
lightgbm,wild_b,13,section,32,4,family_random,73e76a065dc7cdb3,0.9155784805555557,0.1857430555555555,0.22013575149483292,0.49429200460174183
lightgbm,wild_b,13,section,32,5,family_random,7ccd3d5d7e11b717,0.9752943003703706,0.07881194444444446,0.21319223641612486,0.6806039039137222
lightgbm,wild_b,13,section,32,6,family_random,125283647cad9ee8,0.9657543601851852,0.09284166666666666,0.10391510936726432,0.6740824366625234
lightgbm,wild_b,13,section,32,7,family_random,c0493d15d3a1ee88,0.9576975083333333,0.1036325,0.07768628189187736,0.6662615857413798
lightgbm,wild_b,13,section,32,8,family_random,5189cd97cb715aae,0.9541123501851851,0.11731138888888888,0.026550494149238362,0.5982011528496581
lightgbm,wild_b,13,section,32,9,family_random,f411b3839cbda04b,0.9737737674074073,0.0846761111111111,0.009364588452867957,0.6630137935468394
lightgbm,wild_b,13,section,64,0,family_random,70199719d845384f,0.9734980812962962,0.08564083333333333,0.03521260119760597,0.6695605175424042
lightgbm,wild_b,13,section,64,1,family_random,58cc885cb5860ede,0.978057622222222,0.08284583333333335,0.10649197977379198,0.6839376622555787
lightgbm,wild_b,13,section,64,2,family_random,94a4208b2255065f,0.9768525107407405,0.07918916666666666,0.11401013827897444,0.6771535543884005
lightgbm,wild_b,13,section,64,3,family_random,24cf9c6d5e2b7fe0,0.9805865733333334,0.07458194444444445,0.06682450702173369,0.6815461454182999
lightgbm,wild_b,13,section,64,4,family_random,7eac4003bb1bd0ac,0.9743530694444446,0.08162888888888889,0.05412554270788714,0.6741007169839474
lightgbm,wild_b,13,section,64,5,family_random,7a9be6c450cd6445,0.9774956774074074,0.07917166666666667,0.07145257977778031,0.6828054568998357
