mix_k,scope,feature_group,metric,mean,std,min,max
10,rank,section,mix_at_k_rank,2.3666666666666667,0.6315765107165472,1.0,3.0
10,rank,section,silhouette_rank,2.0,0.0,2.0,2.0
10,rank,section,js_divergence_rank,1.3333333333333333,0.74535599249993,1.0,3.0
10,metric,imports,acc,0.8724268218991429,0.015904606581141897,0.8392103004291845,0.8971044643770676
10,metric,imports,f1,0.8519196712418289,0.0221578102920808,0.8046851622280169,0.8861638305097536
10,metric,imports,auc,0.9303252671483688,0.009637321704672566,0.9112483657817111,0.9438516693831185
10,metric,imports,positive_rate,0.385210535747276,0.020038256639860585,0.34339899926519474,0.4161522458306333
10,metric,imports,mix_at_k,0.15817641106521274,0.020247842858476146,0.11561679342450804,0.20972017167381973
10,metric,imports,silhouette,0.03179187151741178,0.019516119468932527,0.013194434960076667,0.08060702848216857
10,metric,imports,js_divergence,0.037776618491332674,0.00827582107669139,0.024563529926045154,0.05480393614630924
10,rank,imports,auc_rank,5.0,0.0,5.0,5.0
10,rank,imports,acc_rank,5.0,0.0,5.0,5.0
10,rank,imports,mix_at_k_rank,5.0,0.0,5.0,5.0
10,rank,imports,silhouette_rank,4.833333333333333,0.37267799624996495,4.0,5.0
10,rank,imports,js_divergence_rank,4.0,0.0,4.0,4.0
10,metric,strings,acc,0.9133571405510948,0.011986864482147372,0.8941534373033079,0.9348930800450189
10,metric,strings,f1,0.9066091971823427,0.013960060758211629,0.8837245035147697,0.9315500735056832
10,metric,strings,auc,0.9752248260031438,0.006572491371319545,0.9652695273814778,0.9865287479924588
10,metric,strings,positive_rate,0.4500101500774576,0.00958618236193192,0.4325826980907756,0.46382202259807703
10,metric,strings,mix_at_k,0.08946623518325904,0.006189740256224988,0.07629685208553597,0.09672486791000384
10,metric,strings,silhouette,0.05117337559986293,0.015128266281257461,0.03274733668189956,0.08667054501889825
10,metric,strings,js_divergence,0.00047702850517054017,0.00018206707678187353,0.0002520098782431169,0.00094427608477679
10,rank,strings,auc_rank,4.0,0.0,4.0,4.0
