seed,scope,feature_group,metric,mean,std,min,max
13,rank,all,silhouette_rank,4.083333333333333,0.4930066485916347,3.0,5.0
13,rank,all,js_divergence_rank,1.8333333333333333,0.372677996249965,1.0,2.0
42,metric,header,acc,0.9338380742310622,0.009638696097972604,0.9192600881180503,0.947382844614963
42,metric,header,f1,0.9285931524620032,0.011642754521001749,0.9099910341870346,0.9448364336112893
42,metric,header,auc,0.9829557190327272,0.004688834440379325,0.9761173538885202,0.9898354025742201
42,metric,header,positive_rate,0.4498892946662716,0.013499177908748836,0.4215329743338695,0.4686402237304321
42,metric,header,mix_at_k,0.07331473368082542,0.01378023353473172,0.04706524334095017,0.09629098288953428
42,metric,header,silhouette,0.12161073905068558,0.03918907106812462,0.07265989105731402,0.2052412202235234
42,metric,header,js_divergence,0.08118852304310302,0.013029238071534438,0.06039933059953649,0.1007729307809958
42,rank,header,auc_rank,3.0,0.0,3.0,3.0
42,rank,header,acc_rank,3.0,0.0,3.0,3.0
42,rank,header,mix_at_k_rank,2.3333333333333335,0.6561673228343176,1.0,3.0
42,rank,header,silhouette_rank,1.0,0.0,1.0,1.0
42,rank,header,js_divergence_rank,2.8333333333333335,0.3726779962499649,2.0,3.0
42,metric,section,acc,0.9453771953926294,0.007860442193673175,0.9346169974839251,0.9573684390027625
42,metric,section,f1,0.9415484620713855,0.00911875722707012,0.929515916368431,0.9554779883174241
42,metric,section,auc,0.9888173508016861,0.002973237627911292,0.9838930540188341,0.9928187758361519
42,metric,section,positive_rate,0.45701340805366825,0.008767165163797162,0.4437722917686551,0.4691176972136012
42,metric,section,mix_at_k,0.07311295939315977,0.014319401908479,0.04617168582244807,0.0979985303894468
42,metric,section,silhouette,0.08102057625950217,0.018474538641501705,0.05953458429504044,0.12412225807734663
42,metric,section,js_divergence,0.10351996533326167,0.037262626473435034,0.054519615560427184,0.20103319123678642
42,rank,section,auc_rank,2.0,0.0,2.0,2.0
42,rank,section,acc_rank,1.9166666666666667,0.2763853991962833,1.0,2.0
42,rank,section,mix_at_k_rank,2.4166666666666665,0.6718548123582125,1.0,3.0
42,rank,section,silhouette_rank,2.0,0.0,2.0,2.0
42,rank,section,js_divergence_rank,1.3333333333333333,0.7453559924999298,1.0,3.0
42,metric,imports,acc,0.8719253993696675,0.015630076027378894,0.8427516708072361,0.8960130964155384
42,metric,imports,f1,0.8516949965015209,0.021690399104914108,0.8093015361113468,0.8850431700787995
42,metric,imports,auc,0.9290030061364609,0.009712915939740472,0.9112483657817111,0.9402150219785648
42,metric,imports,positive_rate,0.3871989816638293,0.019812734834340862,0.34945239511529447,0.4161522458306333
42,metric,imports,mix_at_k,0.1598186180276768,0.02054761476544841,0.11924221731974648,0.20744721030042917
42,metric,imports,silhouette,0.03184247358215725,0.019550788678361627,0.013260632766912191,0.08050318552457986
42,metric,imports,js_divergence,0.037776618491332674,0.008275821076691392,0.024563529926045154,0.05480393614630924
42,rank,imports,auc_rank,5.0,0.0,5.0,5.0
42,rank,imports,acc_rank,5.0,0.0,5.0,5.0
42,rank,imports,mix_at_k_rank,5.0,0.0,5.0,5.0
42,rank,imports,silhouette_rank,4.833333333333333,0.37267799624996495,4.0,5.0
42,rank,imports,js_divergence_rank,4.0,0.0,4.0,4.0
42,metric,strings,acc,0.9132010788505879,0.011900464243321215,0.8954822015525561,0.9338358173322875
42,metric,strings,f1,0.9062336559354497,0.013989354500471974,0.884901228387693,0.9302459370056091
42,metric,strings,auc,0.9758560356283761,0.006135180371099791,0.9673641050154435,0.9863303749738147
42,metric,strings,positive_rate,0.44809686488597994,0.00998686290781263,0.4325826980907756,0.46011391153098463
42,metric,strings,mix_at_k,0.09192412345434302,0.01729028383748586,0.05808805975239589,0.11891073865425662
42,metric,strings,silhouette,0.0514535868217831,0.015120575430566979,0.0333717356505937,0.08661479756904267
42,metric,strings,js_divergence,0.0004770285051705401,0.0001820670767818735,0.0002520098782431169,0.00094427608477679
42,rank,strings,auc_rank,4.0,0.0,4.0,4.0
42,rank,strings,acc_rank,4.0,0.0,4.0,4.0
42,rank,strings,mix_at_k_rank,4.0,0.0,4.0,4.0
42,rank,strings,silhouette_rank,3.0833333333333335,0.2763853991962833,3.0,4.0
42,rank,strings,js_divergence_rank,5.0,0.0,5.0,5.0
42,metric,all,acc,0.9490764998982927,0.006397528289025839,0.9370235680816841,0.9588690699498653
42,metric,all,f1,0.9453886134138317,0.007660903750588085,0.9306480804035581,0.957032920051304
42,metric,all,auc,0.9913228432627287,0.0022214008068716104,0.9870470458065943,0.9946376789330355
42,metric,all,positive_rate,0.4549897538941132,0.010237288633597397,0.4325826980907756,0.46884485522321884
42,metric,all,mix_at_k,0.07102210777250602,0.01416052266443562,0.04360015006309471,0.0941075614962035
42,metric,all,silhouette,0.03835206085527812,0.01973755730069562,0.017053471934275328,0.08589104477764954
42,metric,all,js_divergence,0.08161310109536664,0.012899350029196226,0.06066059735500155,0.10107829624622962
42,rank,all,auc_rank,1.0,0.0,1.0,1.0
42,rank,all,acc_rank,1.0833333333333333,0.2763853991962833,1.0,2.0
42,rank,all,mix_at_k_rank,1.25,0.5204164998665332,1.0,3.0
42,rank,all,silhouette_rank,4.083333333333333,0.4930066485916347,3.0,5.0
42,rank,all,js_divergence_rank,1.8333333333333333,0.372677996249965,1.0,2.0
77,metric,header,acc,0.9364010630010805,0.009641452110382984,0.9203440800055948,0.9504450734968112
77,metric,header,f1,0.9315233586724295,0.011547990740233187,0.9113480697384807,0.948319402454206
77,metric,header,auc,0.9841434799595756,0.004046561088558626,0.9778707849193509,0.9900966599166726
77,metric,header,positive_rate,0.4521250612257812,0.013467075987525055,0.4230365759843346,0.470447801916715
77,metric,header,mix_at_k,0.07335948798016259,0.013789578608850522,0.04697656969407592,0.09631372686238147
77,metric,header,silhouette,0.1208578280831391,0.0391076485430068,0.07209432348328615,0.20429859034965228
77,metric,header,js_divergence,0.08118852304310302,0.013029238071534438,0.06039933059953649,0.1007729307809958
77,rank,header,auc_rank,3.0,0.0,3.0,3.0
77,rank,header,acc_rank,3.0,0.0,3.0,3.0
77,rank,header,mix_at_k_rank,2.3541666666666665,0.6611096521926013,1.0,3.0
77,rank,header,silhouette_rank,1.0,0.0,1.0,1.0
77,rank,header,js_divergence_rank,2.8333333333333335,0.3726779962499649,2.0,3.0
77,metric,section,acc,0.9451236467806557,0.00906429214653882,0.9308343240786069,0.9587667542034719
77,metric,section,f1,0.9414679677415437,0.010261688408089959,0.9252964725432434,0.9569613043323484
77,metric,section,auc,0.9893189675461338,0.0030292014229931436,0.9842910329227215,0.9936571887438028
77,metric,section,positive_rate,0.45994237268864363,0.006535657395411192,0.4494908849154974,0.469629275945568
77,metric,section,mix_at_k,0.07312408653264106,0.01431908865026082,0.046144401623409846,0.09792330032541377
77,metric,section,silhouette,0.0811544180737311,0.018397689402567637,0.059727579070785415,0.12413304836963601
77,metric,section,js_divergence,0.10351996533326167,0.037262626473435034,0.054519615560427184,0.20103319123678642
77,rank,section,auc_rank,2.0,0.0,2.0,2.0
77,rank,section,acc_rank,2.0,0.0,2.0,2.0
77,rank,section,mix_at_k_rank,2.4166666666666665,0.6400954789890507,1.0,3.0
77,rank,section,silhouette_rank,2.0,0.0,2.0,2.0
77,rank,section,js_divergence_rank,1.3333333333333333,0.7453559924999298,1.0,3.0
77,metric,imports,acc,0.8723757570114804,0.01610909100658707,0.8421218377130061,0.8968316223866853
77,metric,imports,f1,0.851616333421055,0.02247033542276585,0.807426376440461,0.8853949611668877
77,metric,imports,auc,0.9295689768019919,0.009566142400194842,0.9119868837758112,0.9413819945415652
77,metric,imports,positive_rate,0.3838519265867791,0.02027054580156781,0.34469365618111203,0.41178677398451624
77,metric,imports,mix_at_k,0.15973124304889982,0.020614929647585056,0.1206639352873201,0.20696738197424894
77,metric,imports,silhouette,0.03165992014074449,0.019411073051773094,0.013229979072833865,0.07997930323778957
77,metric,imports,js_divergence,0.037776618491332674,0.008275821076691392,0.024563529926045154,0.05480393614630924
77,rank,imports,auc_rank,5.0,0.0,5.0,5.0
77,rank,imports,acc_rank,5.0,0.0,5.0,5.0
77,rank,imports,mix_at_k_rank,5.0,0.0,5.0,5.0
77,rank,imports,silhouette_rank,4.833333333333333,0.37267799624996495,4.0,5.0
77,rank,imports,js_divergence_rank,4.0,0.0,4.0,4.0
77,metric,strings,acc,0.9131421986776734,0.011902693126269405,0.8953073641513393,0.932608028375567
77,metric,strings,f1,0.9066585079936039,0.013786335491247196,0.8855417080816577,0.9290943017080523
77,metric,strings,auc,0.974824229968279,0.006714986289462769,0.9652695273814778,0.9860821264809256
77,metric,strings,positive_rate,0.4526980395599218,0.008728698694346507,0.4391915518567732,0.46382202259807703
77,metric,strings,mix_at_k,0.09206665038976607,0.017377814208391646,0.0581358071007128,0.11923440288323595
77,metric,strings,silhouette,0.0509182854816028,0.015283444897958697,0.03274733668189956,0.08667054501889825
77,metric,strings,js_divergence,0.0004770285051705401,0.0001820670767818735,0.0002520098782431169,0.00094427608477679
77,rank,strings,auc_rank,4.0,0.0,4.0,4.0
77,rank,strings,acc_rank,4.0,0.0,4.0,4.0
77,rank,strings,mix_at_k_rank,4.0,0.0,4.0,4.0
77,rank,strings,silhouette_rank,3.0833333333333335,0.2763853991962833,3.0,4.0
77,rank,strings,js_divergence_rank,5.0,0.0,5.0,5.0
77,metric,all,acc,0.9505637956957234,0.0065702213821218,0.9384572347716623,0.9616657003512841
77,metric,all,f1,0.9470766972137806,0.007741198558614621,0.9324790915368679,0.9600426590828297
