k,scope,feature_group,metric,mean,std,min,max
15,rank,strings,family_silhouette_rank,4.833333333333333,0.372677996249965,4.0,5.0
15,rank,strings,family_macro_f1_rank,3.716666666666667,0.7092640943651072,2.0,5.0
15,metric,all,same_family_rate_at_k,0.7431562405476075,0.012277031353607224,0.7193432298695457,0.7746707818930041
15,metric,all,family_silhouette,-0.035949762855692374,0.035827166693728166,-0.10324770002543164,0.030299093034338222
15,metric,all,family_macro_f1,0.8064428138095802,0.017193361947392908,0.7731551610329194,0.8455658124173493
15,rank,all,same_family_rate_at_k_rank,3.0,0.0,3.0,3.0
15,rank,all,family_silhouette_rank,3.4833333333333334,0.8264717512144958,2.0,5.0
15,rank,all,family_macro_f1_rank,1.0,0.0,1.0,1.0
20,metric,header,same_family_rate_at_k,0.7523347521497658,0.01627792876271019,0.7309159061277706,0.7938425925925926
20,metric,header,family_silhouette,0.051614482721844476,0.038193587276603116,-0.028203001044755174,0.1421877772677193
20,metric,header,family_macro_f1,0.6321460215506602,0.026606616295447288,0.5670208191835262,0.7013124799744557
20,rank,header,same_family_rate_at_k_rank,1.1666666666666667,0.37267799624996495,1.0,2.0
20,rank,header,family_silhouette_rank,1.1666666666666667,0.4149966532662911,1.0,3.0
20,rank,header,family_macro_f1_rank,4.883333333333334,0.41197356981027583,3.0,5.0
20,metric,section,same_family_rate_at_k,0.7410548963830169,0.013083578736128166,0.7168360655737704,0.7742746913580247
20,metric,section,family_silhouette,-0.007338807165153819,0.041899607148749,-0.09027620055980494,0.06841585336377119
20,metric,section,family_macro_f1,0.7116334770829975,0.030338404140883807,0.648255815352134,0.7735910001178201
20,rank,section,same_family_rate_at_k_rank,1.8333333333333333,0.37267799624996495,1.0,2.0
20,rank,section,family_silhouette_rank,2.716666666666667,1.1415145884111844,1.0,4.0
20,rank,section,family_macro_f1_rank,2.35,0.5423713365090992,2.0,4.0
20,metric,imports,same_family_rate_at_k,0.6670611106547397,0.018359272040831678,0.6338800530152419,0.6990123456790124
20,metric,imports,family_silhouette,-0.02392973006067359,0.04002904433573306,-0.08779024488931177,0.05434320492303106
20,metric,imports,family_macro_f1,0.6863981635874115,0.020515726523297095,0.6389813736741665,0.7236739964294561
20,rank,imports,same_family_rate_at_k_rank,5.0,0.0,5.0,5.0
20,rank,imports,family_silhouette_rank,2.8,0.7916228058025279,2.0,5.0
20,rank,imports,family_macro_f1_rank,3.05,0.7399324293474371,2.0,4.0
20,metric,strings,same_family_rate_at_k,0.6951187159766286,0.0184002974483996,0.6538787483702738,0.7383487654320988
20,metric,strings,family_silhouette,-0.06657865032548213,0.024823359366646598,-0.111409270355906,-0.02317155735599036
20,metric,strings,family_macro_f1,0.6758574349765766,0.028664439339520786,0.6215594357299699,0.7359719085098767
20,rank,strings,same_family_rate_at_k_rank,4.0,0.0,4.0,4.0
20,rank,strings,family_silhouette_rank,4.833333333333333,0.372677996249965,4.0,5.0
20,rank,strings,family_macro_f1_rank,3.716666666666667,0.7092640943651072,2.0,5.0
20,metric,all,same_family_rate_at_k,0.7183093304311744,0.013804368837863623,0.6898785425101215,0.7496759259259259
20,metric,all,family_silhouette,-0.035949762855692374,0.035827166693728166,-0.10324770002543164,0.030299093034338222
20,metric,all,family_macro_f1,0.8064428138095802,0.017193361947392908,0.7731551610329194,0.8455658124173493
20,rank,all,same_family_rate_at_k_rank,3.0,0.0,3.0,3.0
20,rank,all,family_silhouette_rank,3.4833333333333334,0.8264717512144958,2.0,5.0
20,rank,all,family_macro_f1_rank,1.0,0.0,1.0,1.0
