seed,feature_group,mask_type,strength,repeat,n_masked_features,baseline_auc,masked_auc,delta_auc,flip_rate,malware_to_benign_flip_rate,benign_to_malware_flip_rate,mean_probability_shift,mean_signed_probability_shift,threshold
42,section,important,0.05,0,12,0.97627854,0.72505985375,0.25121868625,0.2519,0.1752,0.0767,0.2991354555566293,-0.025693468264113062,0.5
42,section,random,0.05,1,12,0.97627854,0.9735031775,0.0027753624999999893,0.050175,0.04995,0.000225,0.053554464101307715,-0.05235615305801102,0.5
42,section,random,0.05,2,12,0.97627854,0.9564355875,0.01984295250000001,0.119475,0.0131,0.106375,0.10841025099615492,0.0799496276338617,0.5
42,section,random,0.05,3,12,0.97627854,0.9554280887500001,0.020850451249999957,0.0664,0.045325,0.021075,0.0715401756381857,-0.020504765305025267,0.5
42,section,important,0.1,0,23,0.97627854,0.71613251,0.26014603000000003,0.473375,0.089975,0.3834,0.3584288084924589,0.1451054801360524,0.5
42,section,random,0.1,1,23,0.97627854,0.9609835699999998,0.015294970000000241,0.115075,0.001225,0.11385,0.10340222619516572,0.09811042474820929,0.5
42,section,random,0.1,2,23,0.97627854,0.8799869100000001,0.09629162999999996,0.22585,0.039875,0.185975,0.2527644567373886,0.17642235845232962,0.5
42,section,random,0.1,3,23,0.97627854,0.9599892075,0.016289332499999976,0.084225,0.045825,0.0384,0.0744506170892686,-0.015204442637726178,0.5
42,imports,important,0.01,0,13,0.9258737150000002,0.90619636125,0.019677353750000126,0.06715,0.066325,0.000825,0.06045813623982958,-0.05602924427737877,0.5
42,imports,random,0.01,1,13,0.9258737150000002,0.9254021699999999,0.0004715450000002397,0.004225,0.00235,0.001875,0.004215621597608725,0.0005270777368316533,0.5
42,imports,random,0.01,2,13,0.9258737150000002,0.9265405099999999,-0.0006667949999997758,0.005525,0.0021,0.003425,0.004197335266897466,0.0013967634135018186,0.5
42,imports,random,0.01,3,13,0.9258737150000002,0.923988295,0.0018854200000001375,0.004925,0.004475,0.00045,0.004734786414129252,-0.0038016323224224686,0.5
42,imports,important,0.05,0,65,0.9258737150000002,0.8744769062499999,0.0513968087500003,0.151325,0.15005,0.001275,0.11262504780003187,-0.10293795916668107,0.5
42,imports,random,0.05,1,65,0.9258737150000002,0.9226441512499999,0.003229563750000275,0.01735,0.01345,0.0039,0.0175739705632765,-0.007693370314166875,0.5
42,imports,random,0.05,2,65,0.9258737150000002,0.91048015625,0.015393558750000147,0.05715,0.055775,0.001375,0.05090252782505469,-0.040349212920729474,0.5
42,imports,random,0.05,3,65,0.9258737150000002,0.92061483375,0.00525888125000018,0.018775,0.01465,0.004125,0.017563512280483355,-0.01078750582469086,0.5
42,imports,important,0.1,0,129,0.9258737150000002,0.84315454,0.08271917500000014,0.190925,0.1891,0.001825,0.14555845885692492,-0.13191016864318356,0.5
42,imports,random,0.1,1,129,0.9258737150000002,0.9194507462500001,0.006422968750000035,0.037025,0.006,0.031025,0.03571204974962489,0.026063503993087943,0.5
42,imports,random,0.1,2,129,0.9258737150000002,0.91231275375,0.01356096125000017,0.06375,0.061125,0.002625,0.055611068640660254,-0.043881016628302315,0.5
42,imports,random,0.1,3,129,0.9258737150000002,0.9237444162499999,0.0021292987500002303,0.01855,0.007925,0.010625,0.02358933888388795,0.0041679271018709866,0.5
42,strings,important,0.01,0,2,0.9718368449999999,0.7663791775,0.20545766749999994,0.503325,0.0,0.503325,0.4995765941454919,0.4995765941454919,0.5
42,strings,random,0.01,1,2,0.9718368449999999,0.9722831175000001,-0.0004462725000001777,0.0044,0.0017,0.0027,0.004571500769111161,0.0008246133729092555,0.5
42,strings,random,0.01,2,2,0.9718368449999999,0.97162607375,0.00021077124999990815,0.010275,0.004575,0.0057,0.010374903634387098,0.0013124518629578532,0.5
42,strings,random,0.01,3,2,0.9718368449999999,0.97121684125,0.0006200037499999311,0.0105,0.00795,0.00255,0.010662291811453261,-0.005235008267441853,0.5
42,strings,important,0.05,0,9,0.9718368449999999,0.5604898512500001,0.41134699374999983,0.5197,0.0,0.5197,0.5174023048697581,0.5174023048697581,0.5
42,strings,random,0.05,1,9,0.9718368449999999,0.9668812537500001,0.00495559124999978,0.0324,0.02125,0.01115,0.032187136013796996,-0.009564401356832184,0.5
42,strings,random,0.05,2,9,0.9718368449999999,0.96484334125,0.006993503749999852,0.0429,0.00385,0.03905,0.04687485467475224,0.03683264589581039,0.5
42,strings,random,0.05,3,9,0.9718368449999999,0.8979049124999999,0.07393193249999996,0.32345,0.003725,0.319725,0.328054481929791,0.2381869773932442,0.5
42,strings,important,0.1,0,18,0.9718368449999999,0.8817156775,0.09012116749999988,0.519325,7.5e-05,0.51925,0.42669256691317403,0.4056245174808368,0.5
42,strings,random,0.1,1,18,0.9718368449999999,0.9587356199999999,0.013101224999999994,0.0993,0.0023,0.097,0.10240074570477732,0.09598399208033631,0.5
42,strings,random,0.1,2,18,0.9718368449999999,0.8806531,0.09118374499999993,0.2918,0.0107,0.2811,0.3249927042718353,0.1928750674786106,0.5
42,strings,random,0.1,3,18,0.9718368449999999,0.7458399087500001,0.22599693624999984,0.49215,7.5e-05,0.492075,0.48238602930122143,0.48214471854753366,0.5
77,all,important,0.01,0,18,0.98776785625,0.9073044612500001,0.08046339499999988,0.3506,0.0003,0.3503,0.34376729158010727,0.3431160943363418,0.5
77,all,random,0.01,1,18,0.98776785625,0.98799039625,-0.0002225399999999933,0.007225,0.00695,0.000275,0.008582040538571927,-0.007892520884888288,0.5
77,all,random,0.01,2,18,0.98776785625,0.9877579525,9.903749999984335e-06,0.0026,0.001475,0.001125,0.002583900092497109,-0.00013547204281817672,0.5
77,all,random,0.01,3,18,0.98776785625,0.9873692199999998,0.00039863625000013947,0.040975,0.040975,0.0,0.043362606888153764,-0.04335342623902615,0.5
77,all,important,0.05,0,88,0.98776785625,0.8547862800000001,0.13298157624999984,0.39175,0.00045,0.3913,0.3860089952016699,0.3847609040315319,0.5
77,all,random,0.05,1,88,0.98776785625,0.98396967625,0.0037981799999999843,0.040775,0.000725,0.04005,0.044668776503885274,0.04085643164931839,0.5
