feature_group,mask_type,strength,n_rows,baseline_auc_mean,baseline_auc_std,baseline_auc_min,baseline_auc_max,masked_auc_mean,masked_auc_std,masked_auc_min,masked_auc_max,delta_auc_mean,delta_auc_std,delta_auc_min,delta_auc_max,flip_rate_mean,flip_rate_std,flip_rate_min,flip_rate_max,malware_to_benign_flip_rate_mean,malware_to_benign_flip_rate_std,malware_to_benign_flip_rate_min,malware_to_benign_flip_rate_max,benign_to_malware_flip_rate_mean,benign_to_malware_flip_rate_std,benign_to_malware_flip_rate_min,benign_to_malware_flip_rate_max,mean_probability_shift_mean,mean_probability_shift_std,mean_probability_shift_min,mean_probability_shift_max,mean_signed_probability_shift_mean,mean_signed_probability_shift_std,mean_signed_probability_shift_min,mean_signed_probability_shift_max
section,important,0.1,5,0.9759963174999999,0.00038157297500285075,0.97537209625,0.9764930112500001,0.7386102465000001,0.05267138740159033,0.66847045875,0.8016152699999999,0.23738607100000003,0.05269063637267493,0.17487774125000022,0.3074515125,0.36363500000000004,0.07588145788003813,0.2643,0.473375,0.138485,0.08698644951945102,0.05675,0.28955,0.22515000000000002,0.138478161635689,0.0441,0.3834,0.3386826141210075,0.013307399221184504,0.32146803504900545,0.3584288084924589,0.07586311404801598,0.0978852166530581,-0.09756834376990643,0.16376535281580537
section,random,0.01,15,0.9759963174999999,0.00038157297500285075,0.97537209625,0.9764930112500001,0.9671272312499999,0.01752627118267609,0.9229290149999999,0.97614551,0.008869086250000031,0.01767628523572468,-3.576250000136838e-06,0.05356399625000019,0.04472333333333334,0.08026711627781052,0.00075,0.231,0.011021666666666667,0.03392068182621858,0.000225,0.137775,0.03370166666666666,0.07588785721195601,0.0,0.228725,0.040611951973825056,0.06826157857741579,0.0007754360640786955,0.20371040463549717,0.018663774531534484,0.0737221370862681,-0.13415250898495698,0.19582739147995623
section,random,0.05,15,0.9759963174999999,0.00038157297500285075,0.97537209625,0.9764930112500001,0.9611374443333333,0.010655061810110339,0.935990245,0.97530503,0.014858873166666682,0.010590238728885808,6.706624999996968e-05,0.039931726249999966,0.09523833333333333,0.0697962671319574,0.00415,0.285475,0.022958333333333338,0.023567109260341813,0.0004,0.061475,0.07228,0.08137780215349474,0.000225,0.2848,0.09125735255108944,0.06267947359675136,0.003804044515679436,0.26828486728455814,0.04331322666651299,0.09070079301403122,-0.06747565611261282,0.26657604012921354
section,random,0.1,15,0.9759963174999999,0.00038157297500285075,0.97537209625,0.9764930112500001,0.9446828993333333,0.02648777518893412,0.8799869100000001,0.9707134550000001,0.031313418166666676,0.026505333289337376,0.004658641249999929,0.09629162999999996,0.13327,0.06753891976729665,0.029,0.284125,0.043873333333333334,0.045296169325402744,0.00115,0.186,0.08939666666666665,0.08292848870496126,0.000175,0.281925,0.12809013209457878,0.06339218825299768,0.04188157258679206,0.2581997612235588,0.03889454063663774,0.1090986634360265,-0.17250772709912704,0.246910156511285
strings,important,0.01,5,0.9709354967499999,0.0006893234240268982,0.9699942925,0.9718368449999999,0.8787430267499999,0.07693535386615026,0.7663791775,0.96644734125,0.09219247,0.07730633720761056,0.0047516975000000405,0.20545766749999994,0.323915,0.22865486360451637,0.035125,0.517875,0.0007549999999999999,0.0009526804291051643,0.0,0.00225,0.32316,0.22958480873089143,0.032875,0.517875,0.31532476532794856,0.22333793416087022,0.03508877016769037,0.5000807886050518,0.3140018633038333,0.22496143165923452,0.03148328359172246,0.5000807886050518
strings,important,0.05,5,0.9709354967499999,0.0006893234240268982,0.9699942925,0.9718368449999999,0.7722194595,0.11604713772167745,0.5604898512500001,0.8716496662500001,0.19871603724999998,0.11636557457598533,0.09954937249999996,0.41134699374999983,0.51822,0.01078134268076106,0.503425,0.53305,1e-05,2e-05,0.0,5e-05,0.5182100000000001,0.010789793788576314,0.503425,0.53305,0.5069315858588483,0.015905918728328337,0.4810742442763719,0.5224666289889845,0.5069029303202893,0.01594788802477157,0.48095597854771943,0.5224666288995776
strings,important,0.1,5,0.9709354967499999,0.0006893234240268982,0.9699942925,0.9718368449999999,0.85343751825,0.02507483571111702,0.81145926,0.8817156775,0.11749797849999996,0.024632509929171417,0.09012116749999988,0.1588244550000001,0.529275,0.010253499402642955,0.519325,0.546225,1.4999999999999999e-05,3e-05,0.0,7.5e-05,0.52926,0.010268088916638754,0.51925,0.546225,0.4780786580206867,0.05436140692797214,0.39828387594359654,0.5253840684429858,0.4644008725445386,0.0722559743213752,0.3513602738185479,0.5253796684161876
strings,random,0.01,15,0.9709354967500002,0.0006893234240268982,0.9699942925,0.9718368449999999,0.966957526,0.011671243662348986,0.9235272175,0.9722831175000001,0.003977970750000022,0.011764033866350434,-0.0004462725000001777,0.04783637499999993,0.015161666666666665,0.014173966354631378,0.000425,0.06205,0.005269999999999999,0.005801983856119101,0.0,0.023575,0.009891666666666668,0.014849642719233646,0.000425,0.06205,0.01500043289896214,0.013907450424320528,0.0002023366135589967,0.061134318880013847,0.004434422436484555,0.017173426578513108,-0.02255718207971263,0.06109738482909622
strings,random,0.05,15,0.9709354967500002,0.0006893234240268982,0.9699942925,0.9718368449999999,0.9441201318333333,0.028668907887635545,0.88659263,0.96959382,0.026815364916666664,0.028704541116123784,0.0017697724999998776,0.08369108500000011,0.15041,0.15486637944800458,0.03185,0.501725,0.01766,0.025689765796259544,0.0,0.09785,0.13275,0.16524474222598834,0.00105,0.501725,0.14218635118273154,0.1419068159083442,0.030213135040505955,0.4575586162716958,0.09996584262649902,0.1578751837857478,-0.09196474449458937,0.4575340842605445
strings,random,0.1,15,0.9709354967500002,0.0006893234240268982,0.9699942925,0.9718368449999999,0.9152498310000002,0.05726832869813508,0.7458399087500001,0.9655452462499999,0.05568566574999999,0.05741914190806834,0.004449046250000088,0.22599693624999984,0.220995,0.18733981650999876,0.04305,0.51965,0.020260000000000004,0.020842298337755364,0.0,0.0619,0.20073500000000002,0.20325040381263698,0.00715,0.51965,0.20941886692925896,0.1666665691259728,0.046357469051477286,0.48238602930122143,0.15961965911185055,0.19773363940498548,-0.05284164389336907,0.48214471854753366
