model,view,family,dimension,metric,n_protocol_seeds,paired_difference_mean,paired_difference_ci_lo,paired_difference_ci_hi,paired_difference_std
lightgbm,wild_b,section,16,same_family_rate_at_10,5,0.0699479769745189,0.036450245821441775,0.11382651115535924,0.05065870079861571
lightgbm,wild_b,section,32,auc,5,0.02197276791481482,0.012200464507407482,0.03174507132222215,0.012593306031910813
lightgbm,wild_b,section,32,js_divergence,5,0.05311811184032474,0.039315947647228504,0.07153059801294383,0.020958134986872518
lightgbm,wild_b,section,32,mix_at_10,5,-0.030122388888888896,-0.04366753333333334,-0.016577244444444448,0.017050578431093668
lightgbm,wild_b,section,32,same_family_rate_at_10,5,0.03650690796075371,0.017951598981101036,0.05506221694040638,0.023478077955107327
lightgbm,wild_b,section,64,auc,5,0.015049625459259275,0.012631578433333401,0.017533368022222273,0.0031549415832678963
lightgbm,wild_b,section,64,js_divergence,5,-0.014564672555733297,-0.05732056729274274,0.012966628761115689,0.04721394461173315
lightgbm,wild_b,section,64,mix_at_10,5,-0.02252720555555556,-0.026108894444444464,-0.01894551666666666,0.004556856216660905
lightgbm,wild_b,section,64,same_family_rate_at_10,5,0.021489212090697873,0.017812614192252395,0.024167742443170482,0.0040796872612538174
lightgbm,wild_b,strings,16,auc,5,0.09300617669629627,0.06984038601851852,0.11617196737407402,0.029604511261512447
lightgbm,wild_b,strings,16,js_divergence,5,-0.11687925624570841,-0.17375987127790885,-0.05330844094119597,0.07651928080961914
lightgbm,wild_b,strings,16,mix_at_10,5,-0.10236844999999999,-0.12428602222222222,-0.0796398833333333,0.02949262245943682
lightgbm,wild_b,strings,16,same_family_rate_at_10,5,0.12007034074251473,0.09032629203576505,0.15223379444650176,0.03977900367244573
lightgbm,wild_b,strings,32,auc,5,0.03156414218888888,0.025659352407407333,0.03746893197037042,0.0075414107676556935
lightgbm,wild_b,strings,32,js_divergence,5,-0.09901826406115292,-0.12380033998775497,-0.07556571324544832,0.03150247570271006
lightgbm,wild_b,strings,32,mix_at_10,5,-0.03390822777777778,-0.042700788888888896,-0.025971705555555547,0.010851611340805489
lightgbm,wild_b,strings,32,same_family_rate_at_10,5,0.029540900907710287,0.01697769574890835,0.04210410606651223,0.01624626632849998
lightgbm,wild_b,strings,64,auc,5,0.011424256462963012,0.008926372444444585,0.013932492192592561,0.0031979333687589674
lightgbm,wild_b,strings,64,js_divergence,5,-0.1424862803647009,-0.16879106292592874,-0.11615328827049265,0.03586613393445028
lightgbm,wild_b,strings,64,mix_at_10,5,-0.008878222222222228,-0.012104922222222234,-0.005689694444444446,0.004211091503454066
lightgbm,wild_b,strings,64,same_family_rate_at_10,5,-0.013442761363350274,-0.01790544306339743,-0.008321968716496353,0.006161874021679412
