model,view,seed,family,dimension,metric,family_seed_mean,family_percentile_in_null,n_null_repeats
lightgbm,wild_b,23,section,64,auc,0.9715465914999999,1.0,10
lightgbm,wild_b,23,section,64,mix_at_10,0.08445441666666667,0.0,10
lightgbm,wild_b,23,section,64,js_divergence,0.11420902920907165,0.5,10
lightgbm,wild_b,23,section,64,same_family_rate_at_10,0.6706259483092,1.0,10
lightgbm,wild_b,23,strings,16,auc,0.9372374724074074,1.0,10
lightgbm,wild_b,23,strings,16,mix_at_10,0.13316450000000002,0.0,10
lightgbm,wild_b,23,strings,16,js_divergence,0.021430609142909268,0.3,10
lightgbm,wild_b,23,strings,16,same_family_rate_at_10,0.5996354715771096,0.9,10
lightgbm,wild_b,23,strings,32,auc,0.9587900975740741,1.0,10
lightgbm,wild_b,23,strings,32,mix_at_10,0.11077522222222222,0.0,10
lightgbm,wild_b,23,strings,32,js_divergence,0.01560239583781362,0.3,10
lightgbm,wild_b,23,strings,32,same_family_rate_at_10,0.627500302919881,0.9,10
lightgbm,wild_b,23,strings,64,auc,0.9698931049999999,1.0,10
lightgbm,wild_b,23,strings,64,mix_at_10,0.09626161111111112,0.1,10
lightgbm,wild_b,23,strings,64,js_divergence,0.025967102926924855,0.3,10
lightgbm,wild_b,23,strings,64,same_family_rate_at_10,0.6430384365571248,0.3,10
lightgbm,wild_b,29,header,16,auc,0.950018845,1.0,10
lightgbm,wild_b,29,header,16,mix_at_10,0.11840536111111111,0.0,10
lightgbm,wild_b,29,header,16,js_divergence,0.08871191992951592,0.8,10
lightgbm,wild_b,29,header,16,same_family_rate_at_10,0.6515697817625705,1.0,10
lightgbm,wild_b,29,header,32,auc,0.9658361956851852,1.0,10
lightgbm,wild_b,29,header,32,mix_at_10,0.0931031388888889,0.0,10
lightgbm,wild_b,29,header,32,js_divergence,0.10587690286421195,0.8,10
lightgbm,wild_b,29,header,32,same_family_rate_at_10,0.677322211367263,1.0,10
lightgbm,wild_b,29,header,64,auc,0.9806347505185184,1.0,10
lightgbm,wild_b,29,header,64,mix_at_10,0.07179708333333333,0.0,10
lightgbm,wild_b,29,header,64,js_divergence,0.09476460652437814,0.4,10
lightgbm,wild_b,29,header,64,same_family_rate_at_10,0.70493414219698,1.0,10
lightgbm,wild_b,29,imports,16,auc,0.7265331590555555,0.0,10
lightgbm,wild_b,29,imports,16,mix_at_10,0.36293105555555555,1.0,10
lightgbm,wild_b,29,imports,16,js_divergence,0.07474704976346827,0.8,10
lightgbm,wild_b,29,imports,16,same_family_rate_at_10,0.34603233674932277,0.1,10
lightgbm,wild_b,29,imports,32,auc,0.7869910820925927,0.0,10
lightgbm,wild_b,29,imports,32,mix_at_10,0.30563852777777784,1.0,10
lightgbm,wild_b,29,imports,32,js_divergence,0.06840594916872937,0.7,10
lightgbm,wild_b,29,imports,32,same_family_rate_at_10,0.43624506095066734,0.0,10
lightgbm,wild_b,29,imports,64,auc,0.8558206501851853,0.0,10
lightgbm,wild_b,29,imports,64,mix_at_10,0.2269425,1.0,10
lightgbm,wild_b,29,imports,64,js_divergence,0.05058904523953681,0.1,10
lightgbm,wild_b,29,imports,64,same_family_rate_at_10,0.5451329186468716,0.0,10
lightgbm,wild_b,29,section,16,auc,0.901327206611111,0.4,10
lightgbm,wild_b,29,section,16,mix_at_10,0.1709026111111111,0.3,10
lightgbm,wild_b,29,section,16,js_divergence,0.11273780274236386,0.9,10
lightgbm,wild_b,29,section,16,same_family_rate_at_10,0.5700661799471753,0.7,10
lightgbm,wild_b,29,section,32,auc,0.9489727547407407,0.7,10
lightgbm,wild_b,29,section,32,mix_at_10,0.12096105555555556,0.3,10
lightgbm,wild_b,29,section,32,js_divergence,0.15809052051390743,0.8,10
lightgbm,wild_b,29,section,32,same_family_rate_at_10,0.6250181947699103,0.5,10
lightgbm,wild_b,29,section,64,auc,0.9750719811666668,1.0,10
lightgbm,wild_b,29,section,64,mix_at_10,0.08278383333333332,0.0,10
lightgbm,wild_b,29,section,64,js_divergence,0.14426675432921982,0.6,10
lightgbm,wild_b,29,section,64,same_family_rate_at_10,0.6756881747688078,1.0,10
lightgbm,wild_b,29,strings,16,auc,0.9416242303148147,1.0,10
lightgbm,wild_b,29,strings,16,mix_at_10,0.13177600000000003,0.1,10
lightgbm,wild_b,29,strings,16,js_divergence,0.03201821229835798,0.8,10
lightgbm,wild_b,29,strings,16,same_family_rate_at_10,0.5927767897853471,0.8,10
lightgbm,wild_b,29,strings,32,auc,0.9596172463518519,0.9,10
lightgbm,wild_b,29,strings,32,mix_at_10,0.11174188888888889,0.1,10
lightgbm,wild_b,29,strings,32,js_divergence,0.023170847063643595,0.4,10
lightgbm,wild_b,29,strings,32,same_family_rate_at_10,0.6244864130582718,0.5,10
lightgbm,wild_b,29,strings,64,auc,0.9697967685555555,1.0,10
lightgbm,wild_b,29,strings,64,mix_at_10,0.09823066666666666,0.0,10
lightgbm,wild_b,29,strings,64,js_divergence,0.01014704476557383,0.0,10
lightgbm,wild_b,29,strings,64,same_family_rate_at_10,0.6398716373111185,0.1,10
lightgbm,wild_b,31,header,16,auc,0.9283345042777776,0.9,10
lightgbm,wild_b,31,header,16,mix_at_10,0.1494098888888889,0.0,10
lightgbm,wild_b,31,header,16,js_divergence,0.07344353176070546,0.4,10
lightgbm,wild_b,31,header,16,same_family_rate_at_10,0.5835736462221134,0.8,10
lightgbm,wild_b,31,header,32,auc,0.9693916491851853,1.0,10
lightgbm,wild_b,31,header,32,mix_at_10,0.0881611111111111,0.0,10
lightgbm,wild_b,31,header,32,js_divergence,0.05678384662265212,0.6,10
lightgbm,wild_b,31,header,32,same_family_rate_at_10,0.6893166711645831,1.0,10
lightgbm,wild_b,31,header,64,auc,0.9803944308518519,0.9,10
lightgbm,wild_b,31,header,64,mix_at_10,0.07233563888888889,0.0,10
lightgbm,wild_b,31,header,64,js_divergence,0.0806485517611339,0.5,10
lightgbm,wild_b,31,header,64,same_family_rate_at_10,0.7053596675538256,1.0,10
lightgbm,wild_b,31,imports,16,auc,0.7156534569814814,0.1,10
lightgbm,wild_b,31,imports,16,mix_at_10,0.37492030555555556,0.9,10
lightgbm,wild_b,31,imports,16,js_divergence,0.07145808069530359,0.4,10
lightgbm,wild_b,31,imports,16,same_family_rate_at_10,0.3332591967162931,0.1,10
lightgbm,wild_b,31,imports,32,auc,0.788799367537037,0.0,10
lightgbm,wild_b,31,imports,32,mix_at_10,0.30250444444444446,1.0,10
lightgbm,wild_b,31,imports,32,js_divergence,0.06970960467756541,0.6,10
lightgbm,wild_b,31,imports,32,same_family_rate_at_10,0.45018507022184534,0.0,10
lightgbm,wild_b,31,imports,64,auc,0.8420674492222222,0.0,10
lightgbm,wild_b,31,imports,64,mix_at_10,0.24445175,1.0,10
lightgbm,wild_b,31,imports,64,js_divergence,0.06372981955079168,0.4,10
lightgbm,wild_b,31,imports,64,same_family_rate_at_10,0.5299214258245091,0.0,10
lightgbm,wild_b,31,section,16,auc,0.8944283556851851,0.7,10
lightgbm,wild_b,31,section,16,mix_at_10,0.17899958333333332,0.3,10
lightgbm,wild_b,31,section,16,js_divergence,0.13341549732263056,0.5,10
lightgbm,wild_b,31,section,16,same_family_rate_at_10,0.550547727984256,0.6,10
lightgbm,wild_b,31,section,32,auc,0.9581572866296296,0.9,10
lightgbm,wild_b,31,section,32,mix_at_10,0.10525316666666666,0.1,10
lightgbm,wild_b,31,section,32,js_divergence,0.1831635397160411,0.7,10
lightgbm,wild_b,31,section,32,same_family_rate_at_10,0.6398835994083912,1.0,10
lightgbm,wild_b,31,section,64,auc,0.9713597166481481,0.8,10
lightgbm,wild_b,31,section,64,mix_at_10,0.08616225,0.1,10
lightgbm,wild_b,31,section,64,js_divergence,0.17436834585830185,0.5,10
lightgbm,wild_b,31,section,64,same_family_rate_at_10,0.6724964761997565,0.9,10
lightgbm,wild_b,31,strings,16,auc,0.9350293613703705,1.0,10
lightgbm,wild_b,31,strings,16,mix_at_10,0.1369576388888889,0.0,10
lightgbm,wild_b,31,strings,16,js_divergence,0.017515326547633332,0.2,10
lightgbm,wild_b,31,strings,16,same_family_rate_at_10,0.5928428915622486,0.8,10
lightgbm,wild_b,31,strings,32,auc,0.9575534943333335,0.9,10
lightgbm,wild_b,31,strings,32,mix_at_10,0.11093236111111111,0.1,10
lightgbm,wild_b,31,strings,32,js_divergence,0.020956671231977884,0.6,10
lightgbm,wild_b,31,strings,32,same_family_rate_at_10,0.6245041529245281,0.8,10
lightgbm,wild_b,31,strings,64,auc,0.9694639630740742,0.8,10
lightgbm,wild_b,31,strings,64,mix_at_10,0.09652091666666666,0.3,10
lightgbm,wild_b,31,strings,64,js_divergence,0.014130942354527627,0.2,10
lightgbm,wild_b,31,strings,64,same_family_rate_at_10,0.6393238584307417,0.3,10
