model,view,seed,family,dimension,metric,family_seed_mean,null_seed_mean,paired_difference
lightgbm,wild_b,23,imports,64,auc,0.8430441948333331,0.9544685340925927,-0.11142433925925954
lightgbm,wild_b,23,imports,64,mix_at_10,0.24594550000000007,0.11105905555555558,0.13488644444444448
lightgbm,wild_b,23,imports,64,js_divergence,0.06944220182457239,0.21095707816618683,-0.14151487634161444
lightgbm,wild_b,23,imports,64,same_family_rate_at_10,0.5267860128603835,0.6474821855259854,-0.12069617266560184
lightgbm,wild_b,23,section,16,auc,0.885319955962963,0.8222575313703704,0.06306242459259259
lightgbm,wild_b,23,section,16,mix_at_10,0.1991531666666667,0.2474107222222222,-0.048257555555555526
lightgbm,wild_b,23,section,16,js_divergence,0.21189634546796174,0.09401605706624407,0.11788028840171767
lightgbm,wild_b,23,section,16,same_family_rate_at_10,0.507604723758882,0.485383140283372,0.02222158347551001
lightgbm,wild_b,23,section,32,auc,0.9497287813148148,0.9192822551481482,0.030446526166666543
lightgbm,wild_b,23,section,32,mix_at_10,0.111473,0.15792772222222223,-0.04645472222222223
lightgbm,wild_b,23,section,32,js_divergence,0.19401600576744865,0.15469707755124434,0.03931892821620431
lightgbm,wild_b,23,section,32,same_family_rate_at_10,0.6411214480138774,0.5796232884003522,0.06149815961352523
lightgbm,wild_b,23,section,64,auc,0.9715465914999999,0.9544685340925927,0.0170780574074072
lightgbm,wild_b,23,section,64,mix_at_10,0.08445441666666667,0.11105905555555558,-0.026604638888888907
lightgbm,wild_b,23,section,64,js_divergence,0.11420902920907165,0.21095707816618683,-0.09674804895711518
lightgbm,wild_b,23,section,64,same_family_rate_at_10,0.6706259483092,0.6474821855259854,0.023143762783214616
lightgbm,wild_b,23,strings,16,auc,0.9372374724074074,0.8222575313703704,0.11497994103703701
lightgbm,wild_b,23,strings,16,mix_at_10,0.13316450000000002,0.2474107222222222,-0.1142462222222222
lightgbm,wild_b,23,strings,16,js_divergence,0.021430609142909268,0.09401605706624407,-0.0725854479233348
lightgbm,wild_b,23,strings,16,same_family_rate_at_10,0.5996354715771096,0.485383140283372,0.11425233129373763
lightgbm,wild_b,23,strings,32,auc,0.9587900975740741,0.9192822551481482,0.039507842425925865
lightgbm,wild_b,23,strings,32,mix_at_10,0.11077522222222222,0.15792772222222223,-0.047152500000000014
lightgbm,wild_b,23,strings,32,js_divergence,0.01560239583781362,0.15469707755124434,-0.13909468171343073
lightgbm,wild_b,23,strings,32,same_family_rate_at_10,0.627500302919881,0.5796232884003522,0.04787701451952886
lightgbm,wild_b,23,strings,64,auc,0.9698931049999999,0.9544685340925927,0.015424570907407231
lightgbm,wild_b,23,strings,64,mix_at_10,0.09626161111111112,0.11105905555555558,-0.01479744444444446
lightgbm,wild_b,23,strings,64,js_divergence,0.025967102926924855,0.21095707816618683,-0.18498997523926197
lightgbm,wild_b,23,strings,64,same_family_rate_at_10,0.6430384365571248,0.6474821855259854,-0.0044437489688605725
lightgbm,wild_b,29,header,16,auc,0.950018845,0.883697764574074,0.066321080425926
lightgbm,wild_b,29,header,16,mix_at_10,0.11840536111111111,0.2008039722222222,-0.0823986111111111
lightgbm,wild_b,29,header,16,js_divergence,0.08871191992951592,0.0374310547822131,0.051280865147302825
lightgbm,wild_b,29,header,16,same_family_rate_at_10,0.6515697817625705,0.5122729406068359,0.1392968411557346
lightgbm,wild_b,29,header,32,auc,0.9658361956851852,0.9375468675925926,0.028289328092592547
lightgbm,wild_b,29,header,32,mix_at_10,0.0931031388888889,0.13151105555555556,-0.03840791666666667
lightgbm,wild_b,29,header,32,js_divergence,0.10587690286421195,0.1029862142274511,0.002890688636760841
lightgbm,wild_b,29,header,32,same_family_rate_at_10,0.677322211367263,0.6136572812347619,0.06366493013250107
lightgbm,wild_b,29,header,64,auc,0.9806347505185184,0.9557426964074075,0.02489205411111095
lightgbm,wild_b,29,header,64,mix_at_10,0.07179708333333333,0.10956702777777778,-0.03776994444444445
lightgbm,wild_b,29,header,64,js_divergence,0.09476460652437814,0.1424460991254039,-0.04768149260102576
lightgbm,wild_b,29,header,64,same_family_rate_at_10,0.70493414219698,0.6538279750425757,0.0511061671544043
lightgbm,wild_b,29,imports,16,auc,0.7265331590555555,0.883697764574074,-0.15716460551851852
lightgbm,wild_b,29,imports,16,mix_at_10,0.36293105555555555,0.2008039722222222,0.16212708333333334
lightgbm,wild_b,29,imports,16,js_divergence,0.07474704976346827,0.0374310547822131,0.03731599498125517
lightgbm,wild_b,29,imports,16,same_family_rate_at_10,0.34603233674932277,0.5122729406068359,-0.16624060385751316
lightgbm,wild_b,29,imports,32,auc,0.7869910820925927,0.9375468675925926,-0.15055578549999993
lightgbm,wild_b,29,imports,32,mix_at_10,0.30563852777777784,0.13151105555555556,0.17412747222222227
lightgbm,wild_b,29,imports,32,js_divergence,0.06840594916872937,0.1029862142274511,-0.034580265058721735
