seed,feature_group,test_week,perturbation_type,strength,trial_id,n_masked_features,auc,mix_at_k,silhouette,js_divergence,delta_auc,delta_mix_at_k,delta_silhouette,delta_js_divergence
77,header,2024-10-27_2024-11-02,random,0.01,14,1,0.97754466875,0.086325,0.09137246565856766,0.07069187051661362,-0.0016820712499999724,-3.999999999999837e-05,-0.001406980879862324,3.74479475206968e-10
77,header,2024-10-27_2024-11-02,random,0.01,15,1,0.97911442,0.0863775,0.09319739077384423,0.07069172662064635,-0.00011231999999994358,1.2499999999998623e-05,0.0004179442354142471,-1.435214877915092e-07
77,header,2024-10-27_2024-11-02,random,0.01,16,1,0.97922674,0.086335,0.09387467671038638,0.07069187017578571,0.0,-3.0000000000002247e-05,0.0010952301719563962,3.3651567643566693e-11
77,header,2024-10-27_2024-11-02,random,0.01,17,1,0.97888773,0.0863125,0.09324241798640383,0.07069187017269016,-0.00033901000000002846,-5.2499999999996994e-05,0.00046297144797384504,3.0556016050731216e-11
77,header,2024-10-27_2024-11-02,random,0.01,18,1,0.97925247,0.086395,0.0933624009763256,0.07069163948167059,2.5730000000057096e-05,3.0000000000002247e-05,0.0005829544378956192,-2.306604635488041e-07
77,header,2024-10-27_2024-11-02,random,0.01,19,1,0.9792179225,0.086075,0.09370897192407719,0.07069187013871212,-8.817500000035672e-06,-0.0002899999999999986,0.0009295253856472091,-3.422026551014312e-12
77,header,2024-10-27_2024-11-02,random,0.01,20,1,0.973075525,0.0866475,0.09334783059203858,0.07052489565745632,-0.006151214999999932,0.00028250000000000497,0.0005683840536085949,-0.00016697448467782594
77,header,2024-10-27_2024-11-02,random,0.05,1,4,0.97086965125,0.086405,0.09830381858676919,0.15553078345412905,-0.008357088749999964,3.999999999999837e-05,0.005524372048339207,0.0848389133119949
77,header,2024-10-27_2024-11-02,random,0.05,2,4,0.96681106875,0.0922825,0.09193083947912244,0.07057556248945275,-0.012415671249999982,0.005917500000000006,-0.0008486070593075462,-0.0001163076526813911
77,header,2024-10-27_2024-11-02,random,0.05,3,4,0.9754394462499999,0.0867825,0.09054351770719149,0.07053756073604506,-0.003787293750000087,0.0004175000000000012,-0.002235928831238493,-0.00015430940608908428
77,header,2024-10-27_2024-11-02,random,0.05,4,4,0.96894291,0.0862725,0.09393325414854274,0.0705535988505804,-0.010283829999999994,-9.249999999999536e-05,0.0011538076101127587,-0.00013827129155373485
77,header,2024-10-27_2024-11-02,random,0.05,5,4,0.9791267050000001,0.0860125,0.09537771098309138,0.07069172636206845,-0.0001000349999998873,-0.0003524999999999917,0.002598264444661394,-1.4378006568671609e-07
