k,scope,feature_group,metric,mean,std,min,max
10,rank,section,same_family_rate_at_k_rank,1.4333333333333333,0.49553562491061687,1.0,2.0
10,rank,section,family_silhouette_rank,2.7,1.369914839202301,1.0,5.0
10,rank,section,family_macro_f1_rank,2.35,0.5107184482014854,1.0,3.0
10,metric,imports,same_family_rate_at_k,0.7047936025163949,0.013568995265500592,0.6820659488559893,0.7335242587601079
10,metric,imports,family_silhouette,-0.0913007996922771,0.032434474692357496,-0.1425128814818229,-0.03150367323274393
10,metric,imports,family_macro_f1,0.7165951979802134,0.01765240145419363,0.6810139009575229,0.763180031036144
10,rank,imports,same_family_rate_at_k_rank,4.0,0.0,4.0,4.0
10,rank,imports,family_silhouette_rank,1.4833333333333334,0.6706133179576903,1.0,3.0
10,rank,imports,family_macro_f1_rank,4.466666666666667,0.49888765156985887,4.0,5.0
10,metric,strings,same_family_rate_at_k,0.6650440898049069,0.00896882819601717,0.6474546722454673,0.6857428115015974
10,metric,strings,family_silhouette,-0.21529637139185007,0.02960798091497145,-0.28536296528392224,-0.1647545004741266
10,metric,strings,family_macro_f1,0.7196454739515139,0.03225638166633705,0.666970650131395,0.7904766652527584
10,rank,strings,same_family_rate_at_k_rank,5.0,0.0,5.0,5.0
10,rank,strings,family_silhouette_rank,4.45,0.8836477427874376,2.0,5.0
10,rank,strings,family_macro_f1_rank,4.516666666666667,0.5320296566504122,3.0,5.0
10,metric,all,same_family_rate_at_k,0.7458128670276972,0.009759190758015943,0.7270118733509234,0.7684636118598382
10,metric,all,family_silhouette,-0.18264900863492986,0.0378185353212386,-0.2869936735283834,-0.12741070619504596
10,metric,all,family_macro_f1,0.8438000119201257,0.01677386228715198,0.8043560337760562,0.8822551421832457
10,rank,all,same_family_rate_at_k_rank,3.0,0.0,3.0,3.0
10,rank,all,family_silhouette_rank,3.716666666666667,0.8773381458834572,2.0,5.0
10,rank,all,family_macro_f1_rank,1.0166666666666666,0.12801909579781018,1.0,2.0
15,metric,header,same_family_rate_at_k,0.7326589933773219,0.01402694368511436,0.7128292461398729,0.7646900269541779
15,metric,header,family_silhouette,-0.14193754965508204,0.06743506525642007,-0.3046258440779738,0.04630110692004712
15,metric,header,family_macro_f1,0.8005655844559598,0.019247890376363857,0.7466413600958698,0.8594623178802872
15,rank,header,same_family_rate_at_k_rank,1.6166666666666667,0.48619840486049404,1.0,2.0
15,rank,header,family_silhouette_rank,2.65,0.9970790674097348,1.0,5.0
15,rank,header,family_macro_f1_rank,2.65,0.5107184482014854,2.0,4.0
15,metric,section,same_family_rate_at_k,0.7362967280455025,0.013371903785418972,0.7051041666666666,0.7567739111402932
15,metric,section,family_silhouette,-0.14968599860627654,0.06231230021803169,-0.33479265269766345,-0.04877170218845783
15,metric,section,family_macro_f1,0.8067322740411657,0.024026359557744303,0.7425476020936413,0.8581226207578494
15,rank,section,same_family_rate_at_k_rank,1.3833333333333333,0.48619840486049404,1.0,2.0
15,rank,section,family_silhouette_rank,2.7,1.369914839202301,1.0,5.0
15,rank,section,family_macro_f1_rank,2.35,0.5107184482014854,1.0,3.0
