seed,feature_group,density_bin,n_samples,auc,acc,positive_rate,mean_probability,silhouette,js_divergence,density_q25,density_q75
13,imports,low_density,10000,0.9015077400270685,0.8619,0.238,0.24577251796864993,-0.051205310970544815,0.016130868475569337,-0.3076985478401184,-1.7881393432617188e-07
13,strings,high_density,10000,0.9973231007392591,0.9662,0.3409,0.33856199531715647,0.22581815719604492,0.0005215039455200544,-0.2656893730163574,-0.02358017861843109
13,strings,mid_density,20000,0.9648693584770831,0.89705,0.55085,0.5587902883084884,0.01754853129386902,0.0003450260904541516,-0.2656893730163574,-0.02358017861843109
13,strings,low_density,10000,0.9407541324246761,0.8719,0.4404,0.4536741339684959,0.0401550717651844,0.003216900117092746,-0.2656893730163574,-0.02358017861843109
42,all,high_density,10000,0.9970053865503367,0.9635,0.3511,0.34502225114674245,0.280383437871933,0.07274073413248064,-0.37351343035697937,-0.01263484824448824
42,all,mid_density,20000,0.9880381280691054,0.94025,0.60885,0.6093603899483045,0.05512198433279991,0.08059859420365134,-0.37351343035697937,-0.01263484824448824
42,all,low_density,10000,0.9639459625751674,0.9152,0.3266,0.33222711542618344,-0.00427962513640523,0.08132409289133632,-0.37351343035697937,-0.01263484824448824
42,header,high_density,10000,0.9995261817396937,0.9894,0.7117,0.7053624561558454,0.4632881283760071,0.1640587769667892,-0.02038593217730522,-2.6582181817502715e-05
42,header,mid_density,20000,0.9612117112898009,0.8947,0.30825,0.32489993457706196,0.1132206916809082,0.0767408201810282,-0.02038593217730522,-2.6582181817502715e-05
42,header,low_density,10000,0.9527126125790691,0.881,0.5538,0.5602929786448394,0.028392905369400978,0.06989728925869429,-0.02038593217730522,-2.6582181817502715e-05
42,section,high_density,10000,0.9985624086476369,0.969,0.4356,0.4387878428841951,0.2908208966255188,0.06991182205891971,-0.025644216686487198,-0.0003328457532916218
42,section,mid_density,20000,0.965568416462839,0.88885,0.34815,0.37247111388000576,0.08759112656116486,0.1065441033157239,-0.025644216686487198,-0.0003328457532916218
42,section,low_density,10000,0.9536149881143038,0.8946,0.6904,0.6832055029512089,-0.054340660572052,0.20597370190399464,-0.025644216686487198,-0.0003328457532916218
42,imports,high_density,13519,0.8130953115183193,0.8271321843331607,0.25061025223759154,0.47770582876725065,0.25980252027511597,0.07949916628136276,-0.30642804503440857,0.0
42,imports,mid_density,16481,0.971138058900652,0.9095928645106486,0.6725320065530004,0.6808138231335029,0.13394007086753845,0.04184971724599821,-0.30642804503440857,0.0
42,imports,low_density,10000,0.8980679862682784,0.8559,0.2212,0.240111139523855,-0.050733380019664764,0.016885791917944433,-0.30642804503440857,0.0
42,strings,high_density,10000,0.9979016683176923,0.9621,0.3387,0.34058316924059945,0.23145873844623566,0.0007917263638808791,-0.2652552127838135,-0.023597685620188713
42,strings,mid_density,20000,0.9642181703062782,0.90535,0.56455,0.5658009666028379,0.016228845342993736,0.0002467899298296918,-0.2652552127838135,-0.023597685620188713
42,strings,low_density,10000,0.9462462977483351,0.8868,0.43,0.4337526265392502,0.04109639301896095,0.0009092323743560239,-0.2652552127838135,-0.023597685620188713
77,all,high_density,10000,0.9975783679830571,0.964,0.3558,0.35674183813995153,0.27830687165260315,0.06417934793949048,-0.3707100450992584,-0.012307250872254372
77,all,mid_density,20000,0.9894110984365997,0.9446,0.602,0.605732268003592,0.05371050909161568,0.07963318730969027,-0.3707100450992584,-0.012307250872254372
77,all,low_density,10000,0.9648830383918031,0.9157,0.3299,0.3358700534546084,-0.005698519758880138,0.08572781088080378,-0.3707100450992584,-0.012307250872254372
77,header,high_density,10000,0.9994476612792047,0.9867,0.7205,0.7069684049313857,0.45888662338256836,0.1502158536551925,-0.020695006474852562,-2.708435022213962e-05
77,header,mid_density,20000,0.9658294438873282,0.89985,0.3014,0.31389601263059047,0.10477598011493683,0.0754751503145966,-0.020695006474852562,-2.708435022213962e-05
77,header,low_density,10000,0.9517260086119619,0.8783,0.5394,0.5422569485073131,0.02463316172361374,0.07158596144432328,-0.020695006474852562,-2.708435022213962e-05
77,section,high_density,10000,0.9975954043835212,0.9664,0.4315,0.43011375980574573,0.2976672947406769,0.05168213489530286,-0.025627873837947845,-0.00034250615863129497
77,section,mid_density,20000,0.965536113764769,0.8915,0.37255,0.38763540934812724,0.08168147504329681,0.11932704018828862,-0.025627873837947845,-0.00034250615863129497
77,section,low_density,10000,0.9522069487681375,0.8938,0.6706,0.6702273048583098,-0.04783206060528755,0.21159191919494946,-0.025627873837947845,-0.00034250615863129497
