model,view,seed,family,dimension,subset_repeat,sampling_mode,subset_indices_hash,auc,mix_at_10,js_divergence,same_family_rate_at_10
logistic_regression,wild_b,17,imports,32,6,family_random,fc00eba16632feaf,0.6950962466666667,0.3193730555555555,0.048924405974930335,0.42952556594496843
logistic_regression,wild_b,17,imports,32,7,family_random,5cef26a59329adf4,0.7581222149999999,0.2953166666666666,0.08017206717433446,0.47110084340599273
logistic_regression,wild_b,17,imports,32,8,family_random,a9eebda5ed1ddd7c,0.7211716527777777,0.31026416666666673,0.09503826268493971,0.4449955655207991
logistic_regression,wild_b,17,imports,32,9,family_random,bc57287f18d81db2,0.8053242442592593,0.26908777777777776,0.09990957307333237,0.43645141586213126
logistic_regression,wild_b,17,imports,64,0,family_random,1af83a60c95de843,0.7839943092592593,0.24478250000000001,0.06425252050345402,0.5427229179002819
logistic_regression,wild_b,17,imports,64,1,family_random,e69549cc16e39823,0.7880160792592591,0.23798583333333334,0.05624168744293592,0.5183154887504303
logistic_regression,wild_b,17,imports,64,2,family_random,9dd70225a1fcf2df,0.7744598250000001,0.24639722222222218,0.07298936076201504,0.5308425614153495
logistic_regression,wild_b,17,imports,64,3,family_random,bdd74b9d974af625,0.7551281068518518,0.23743583333333332,0.05855990399056213,0.5391226179419796
logistic_regression,wild_b,17,imports,64,4,family_random,d2bd27848cb279d3,0.7775399531481483,0.2563233333333333,0.05910434814375002,0.5166776641395795
logistic_regression,wild_b,17,imports,64,5,family_random,ef218494465cb8c3,0.8039080662962964,0.23106972222222225,0.08004085124224282,0.5344080865186045
logistic_regression,wild_b,17,imports,64,6,family_random,9889cf4a1a59b78f,0.7793064796296297,0.24124472222222224,0.07948598709229743,0.5430549061178853
logistic_regression,wild_b,17,imports,64,7,family_random,25fc9dd2fda09881,0.7269774487037037,0.27255916666666663,0.04913241421004649,0.49174280144569193
logistic_regression,wild_b,17,imports,64,8,family_random,3e6708ea28daf907,0.7588386592592592,0.26480611111111113,0.06849286224837813,0.5100279865231713
logistic_regression,wild_b,17,imports,64,9,family_random,49e7d6e2bbb79fd8,0.7729422859259261,0.25440666666666667,0.080738229204023,0.517451135668407
logistic_regression,wild_b,17,strings,16,0,family_random,a0087cbd43c1c8c9,0.8227397801851852,0.12879083333333333,0.009491441420338793,0.5936539999532101
logistic_regression,wild_b,17,strings,16,1,family_random,d5beb3c353223f27,0.7842139453703703,0.14383305555555556,4.2288689609308865e-05,0.5821139564750367
logistic_regression,wild_b,17,strings,16,2,family_random,36745615b2e5048a,0.7048968751851851,0.1406613888888889,0.0033180590803583722,0.6073154485436899
logistic_regression,wild_b,17,strings,16,3,family_random,4d22a9d058041a8a,0.7718394816666666,0.14436305555555554,0.008649342121963902,0.5890073060426668
logistic_regression,wild_b,17,strings,16,4,family_random,713aa206e9fa675b,0.8427245762962964,0.12499527777777779,0.03855240018812605,0.6133877136696113
logistic_regression,wild_b,17,strings,16,5,family_random,075cd8d5c5a6e32d,0.7977013383333332,0.15126638888888888,0.014150770856604983,0.5611908586533653
logistic_regression,wild_b,17,strings,16,6,family_random,00aa2f39b4f711e3,0.8208950729629629,0.12706833333333334,0.011277842104957693,0.606336977622568
logistic_regression,wild_b,17,strings,16,7,family_random,e67f24669b347234,0.8079951001851854,0.13093027777777777,0.03354506582950789,0.5939652143687347
logistic_regression,wild_b,17,strings,16,8,family_random,ff401edc8ed6f9c3,0.8042561905555555,0.13005611111111112,0.0038786973598418906,0.6025832405071686
logistic_regression,wild_b,17,strings,16,9,family_random,8e3a1cf8802b6935,0.7893485150925926,0.14903833333333336,0.008907889563246972,0.5666543492783344
logistic_regression,wild_b,17,strings,32,0,family_random,007b1346393f109f,0.8395110268518519,0.1210788888888889,0.0004883082728234377,0.6068144816575028
logistic_regression,wild_b,17,strings,32,1,family_random,78d75b6ae7551d36,0.7957037168518518,0.11727444444444445,0.0006964084203596965,0.637279138209892
logistic_regression,wild_b,17,strings,32,2,family_random,60da0915ad7a3833,0.8223597862962962,0.11597277777777777,0.00022141889212827287,0.6284326366635185
logistic_regression,wild_b,17,strings,32,3,family_random,90327ec6ed9667b5,0.8179452140740741,0.11576861111111113,0.01980930512734963,0.6288292058308095
logistic_regression,wild_b,17,strings,32,4,family_random,75fcabdfdd6d033e,0.8372972287037038,0.11236555555555554,4.587393833591316e-05,0.6363767215954107
