seed,feature_group,mask_type,repeat,strength,density_bin,n_samples,baseline_auc,masked_auc,delta_auc,flip_rate,benign_to_malware_rate_overall,malware_to_benign_rate_overall,mean_abs_probability_shift,mean_signed_probability_shift
13,all,random,3,0.01,low_density,10000,0.9628977880169276,0.9629867636570656,-8.897564013798931e-05,0.0049,0.002,0.0004,0.005673699462528067,0.0021419545664220943
13,all,important,0,0.05,high_density,10000,0.9974758568667232,0.8366138706641506,0.16086198620257264,0.5769,0.532,0.0,0.5249887945392451,0.5235824764856419
13,all,important,0,0.05,mid_density,20000,0.989177533548146,0.9352995249738988,0.05387800857424718,0.25225,0.21645,0.0007,0.22920520587624504,0.21994640697776793
13,all,important,0,0.05,low_density,10000,0.9628977880169276,0.9015172605790647,0.06138052743786293,0.2669,0.2208,0.0028,0.26240925462184017,0.2473986080244772
13,all,random,1,0.05,high_density,10000,0.9974758568667232,0.9973604954561455,0.00011536141057777449,0.0037,0.0,0.0023,0.0029919046425644523,-0.001118913278568823
13,all,random,1,0.05,mid_density,20000,0.989177533548146,0.9892796446021769,-0.0001021110540309067,0.0122,0.00095,0.00535,0.012991529956206076,-0.002711467763348537
13,all,random,1,0.05,low_density,10000,0.9628977880169276,0.9626274506532759,0.0002703373636516737,0.0194,0.0032,0.0084,0.021675643435538607,-0.008103441353151079
13,all,random,2,0.05,high_density,10000,0.9974758568667232,0.9974016657985003,7.419106822292854e-05,0.015,0.0,0.0138,0.01231450038770398,-0.011683014449855738
13,all,random,2,0.05,mid_density,20000,0.989177533548146,0.9881113803069289,0.0010661532412170605,0.0309,5e-05,0.0247,0.03120228398823138,-0.030562834573491057
13,all,random,2,0.05,low_density,10000,0.9628977880169276,0.961547665223593,0.0013501227933345739,0.0315,0.0009,0.0206,0.03293839753808139,-0.03008834222456001
13,all,random,3,0.05,high_density,10000,0.9974758568667232,0.9939733374951272,0.003502519371596069,0.0681,0.0301,0.0,0.05673123277519397,0.05673123277519397
13,all,random,3,0.05,mid_density,20000,0.989177533548146,0.9822488106587165,0.006928722889429473,0.1166,0.0802,5e-05,0.11337871488888761,0.11330971579738916
13,all,random,3,0.05,low_density,10000,0.9628977880169276,0.9563856661286423,0.006512121888285316,0.1573,0.1152,0.0,0.1560560568985106,0.15601674663226564
13,all,important,0,0.1,high_density,10000,0.9974758568667232,0.8637994289019013,0.13367642796482193,0.171,0.1442,0.0214,0.3089759653042353,0.22052119399935974
13,all,important,0,0.1,mid_density,20000,0.989177533548146,0.9127566267763088,0.07642090677183722,0.1531,0.0425,0.0976,0.23299383852895353,-0.05728989146432558
13,all,important,0,0.1,low_density,10000,0.9628977880169276,0.8924801507859053,0.07041763723102235,0.1439,0.0174,0.1042,0.20011020417353262,-0.042214622223244125
13,all,random,1,0.1,high_density,10000,0.9974758568667232,0.991685997725877,0.005789859140846287,0.0977,0.0569,0.0,0.07693257502796977,0.07692565026762813
13,all,random,1,0.1,mid_density,20000,0.989177533548146,0.9795752642348201,0.009602269313325862,0.12715,0.09255,0.0002,0.12663705723121227,0.12586802201060057
13,all,random,1,0.1,low_density,10000,0.9628977880169276,0.953696477329285,0.009201310687642628,0.1476,0.1088,0.0003,0.15086073664750987,0.14957492305556047
13,all,random,2,0.1,high_density,10000,0.9974758568667232,0.9941799070487681,0.0032959498179551128,0.0309,0.0116,0.0002,0.04145404883356158,0.04082708168954913
13,all,random,2,0.1,mid_density,20000,0.989177533548146,0.9816836050046569,0.00749392854348907,0.0628,0.0367,0.002,0.06691767780486158,0.061109061860072846
13,all,random,2,0.1,low_density,10000,0.9628977880169276,0.950070698271092,0.012827089745835574,0.0772,0.0503,0.0024,0.08468926264321514,0.07494563327048509
13,all,random,3,0.1,high_density,10000,0.9974758568667232,0.9948939485761732,0.00258190829055005,0.0386,0.0044,0.0157,0.03978137987482995,0.01223082758713216
13,all,random,3,0.1,mid_density,20000,0.989177533548146,0.9843561831709685,0.004821350377177458,0.0452,0.0089,0.01815,0.06722491841616364,-0.009436912344461567
13,all,random,3,0.1,low_density,10000,0.9628977880169276,0.9557030995845951,0.007194688432332508,0.045,0.0128,0.0146,0.07262171587093348,0.012803990862392572
13,header,important,0,0.01,high_density,10000,0.9994215082170942,0.9463792293340888,0.05304227888300539,0.0616,0.0526,0.0,0.06664088272016842,0.06663727151009252
13,header,important,0,0.01,mid_density,19999,0.9657712799826054,0.8812686438100131,0.08450263617259224,0.38916945847292367,0.3233161658082904,0.0,0.3742169756350275,0.3741285442777251
13,header,important,0,0.01,low_density,10001,0.9511663174783975,0.8517775988043799,0.09938871867401766,0.29847015298470153,0.21397860213978603,9.999000099990002e-05,0.2841583195758646,0.28304659411102256
13,header,random,1,0.01,high_density,10000,0.9994215082170942,0.9463792293340888,0.05304227888300539,0.0616,0.0526,0.0,0.06664088272016842,0.06663727151009252
13,header,random,1,0.01,mid_density,19999,0.9657712799826054,0.8812686438100131,0.08450263617259224,0.38916945847292367,0.3233161658082904,0.0,0.3742169756350275,0.3741285442777251
13,header,random,1,0.01,low_density,10001,0.9511663174783975,0.8517775988043799,0.09938871867401766,0.29847015298470153,0.21397860213978603,9.999000099990002e-05,0.2841583195758646,0.28304659411102256
13,header,random,2,0.01,high_density,10000,0.9994215082170942,0.866423456590125,0.1329980516269692,0.6924,0.0,0.69,0.6527939870437626,-0.6480339905137793
13,header,random,2,0.01,mid_density,19999,0.9657712799826054,0.79325780438882,0.17251347559378538,0.2885644282214111,0.0,0.2551627581379069,0.28852386529419255,-0.2858233681245136
13,header,random,2,0.01,low_density,10001,0.9511663174783975,0.788464287270271,0.16270203020812657,0.5135486451354865,0.0,0.47895210478952105,0.5042270262187702,-0.5038296418275037
13,header,random,3,0.01,high_density,10000,0.9994215082170942,0.9946893813997559,0.004732126817338256,0.0446,0.0397,0.0,0.04313243422626233,0.029334934434292928
13,header,random,3,0.01,mid_density,19999,0.9657712799826054,0.9358913188425866,0.029879961140018785,0.15345767288364418,0.10190509525476274,0.004700235011750587,0.14906073623344304,0.13049803451078315
13,header,random,3,0.01,low_density,10001,0.9511663174783975,0.9142266270033546,0.036939690475042974,0.1371862813718628,0.07699230076992301,0.013598640135986401,0.12922027754043103,0.0984094501938407
13,header,important,0,0.05,high_density,10000,0.9994215082170942,0.9629948534979077,0.03642665471918649,0.0817,0.0266,0.047,0.07461187978637236,-0.011325226334475809
13,header,important,0,0.05,mid_density,19999,0.9657712799826054,0.9161031246472267,0.049668155335378716,0.15720786039301965,0.049102455122756135,0.06285314265713286,0.1510476895632024,-0.010676656152650964
13,header,important,0,0.05,low_density,10001,0.9511663174783975,0.8684116531633331,0.0827546643150644,0.20887911208879112,0.0341965803419658,0.13258674132586742,0.21094859520642112,-0.09254520168815171
13,header,random,1,0.05,high_density,10000,0.9994215082170942,0.9943905179280016,0.005030990289092596,0.0592,0.0503,0.0,0.059549570564606344,0.059546544854023616
13,header,random,1,0.05,mid_density,19999,0.9657712799826054,0.9315532592502381,0.03421802073236724,0.3014150707535377,0.23951197559877993,0.0,0.27523019487903316,0.2751726214683983
13,header,random,1,0.05,low_density,10001,0.9511663174783975,0.9214750702888994,0.029691247189498116,0.2258774122587741,0.15978402159784022,0.00019998000199980003,0.214502606369241,0.2142432933702917
13,header,random,2,0.05,high_density,10000,0.9994215082170942,0.9667286427070684,0.032692865510025815,0.1452,0.0196,0.1173,0.14644595475086192,-0.09665911576172223
13,header,random,2,0.05,mid_density,19999,0.9657712799826054,0.9318295777397039,0.033941702242901495,0.15945797289864494,0.01320066003300165,0.11060553027651382,0.15577391194398466,-0.11270112066875752
13,header,random,2,0.05,low_density,10001,0.9511663174783975,0.9076667293036815,0.043499588174716,0.18648135186481352,0.0086991300869913,0.1541845815418458,0.18964325642825652,-0.16231440636120267
13,header,random,3,0.05,high_density,10000,0.9994215082170942,0.9991997114372969,0.00022179677979727863,0.0112,0.0073,0.0005,0.028146023563750806,0.0015412206155143394
