feature_group,mask_type,strength,density_bin,n_rows,baseline_auc_mean,baseline_auc_std,baseline_auc_min,baseline_auc_max,masked_auc_mean,masked_auc_std,masked_auc_min,masked_auc_max,delta_auc_mean,delta_auc_std,delta_auc_min,delta_auc_max,flip_rate_mean,flip_rate_std,flip_rate_min,flip_rate_max,benign_to_malware_rate_overall_mean,benign_to_malware_rate_overall_std,benign_to_malware_rate_overall_min,benign_to_malware_rate_overall_max,malware_to_benign_rate_overall_mean,malware_to_benign_rate_overall_std,malware_to_benign_rate_overall_min,malware_to_benign_rate_overall_max,mean_abs_probability_shift_mean,mean_abs_probability_shift_std,mean_abs_probability_shift_min,mean_abs_probability_shift_max,mean_signed_probability_shift_mean,mean_signed_probability_shift_std,mean_signed_probability_shift_min,mean_signed_probability_shift_max
header,important,0.01,mid_density,5,0.9645553801640137,0.0018165391568599834,0.9612117112898009,0.9659447539635784,0.9022068828707217,0.011898811297205242,0.8812686438100131,0.9162194004211964,0.06234849729329197,0.011836468582721292,0.04961004346613174,0.08450263617259224,0.326819518257241,0.036117511406076976,0.28132813281328134,0.38916945847292367,0.25971752159050093,0.036756619318476375,0.2144214421442144,0.3233161658082904,0.0007300240024002401,0.0005249976805288633,0.0,0.00145,0.3086982662390966,0.03672999827939903,0.264904071212697,0.3742169756350275,0.3063963869124424,0.038043975338955094,0.2603373630639888,0.3741285442777251
header,important,0.05,high_density,5,0.9994427325279407,0.00010296111025227757,0.9992619965877647,0.9995563148159459,0.9679963566152964,0.006745123649638659,0.962097153436933,0.9804233639779113,0.03144637591264432,0.006739363804499022,0.019024297301293402,0.03745916137901284,0.37521287742451503,0.2663034870811845,0.081,0.6780643871225754,0.0103,0.012626321712993058,0.0,0.0266,0.36055303339332134,0.2790857083067799,0.047,0.6741651669666067,0.3605360341936808,0.26179076890761427,0.07461187978637236,0.6710856562160906,-0.33628590180493917,0.28810191436430305,-0.6710856535197899,-0.011325226334475809
header,important,0.05,low_density,5,0.9510264680582278,0.0012937511012688387,0.9488077198679767,0.9527126125790691,0.8047526784248145,0.0534212359376984,0.7427004703808968,0.8684116531633331,0.14627378963341295,0.053530215475789206,0.0827546643150644,0.21001214219817232,0.3567558224177582,0.12721398454741253,0.2049,0.489,0.013519316068393161,0.015130806801350377,0.0,0.0341965803419658,0.3023173482651735,0.1434722472570786,0.131,0.4482,0.3558386595322034,0.1293149531800923,0.19699584021531513,0.49237345813865224,-0.30732131917204886,0.18303975771443995,-0.4922224158272174,-0.08488688171212946
header,important,0.05,mid_density,5,0.9645553801640137,0.0018165391568599834,0.9612117112898009,0.9659447539635784,0.8584791716740089,0.0461533670669218,0.8102676780193798,0.9161031246472267,0.10607620849000485,0.04566493757564183,0.049668155335378716,0.15318808276903484,0.2133067195933554,0.05361166112441402,0.1435,0.27725,0.016690491024551227,0.02091817939438877,0.0,0.049102455122756135,0.16288524299287271,0.0781406862172704,0.06285314265713286,0.24335,0.2196881266822249,0.06379660420796601,0.136910787144933,0.2922884675493945,-0.1689683441549631,0.12463853032528306,-0.2922867621905952,-0.010676656152650964
header,important,0.1,high_density,5,0.9994427325279407,0.00010296111025227757,0.9992619965877647,0.9995563148159459,0.8833587705055308,0.18890786895155431,0.5060150375939849,0.99434849300962,0.11608396202240974,0.18881959759134556,0.005073015207474163,0.4932469589937798,0.19448915816836632,0.1450980616740795,0.0432,0.4285,0.06340955408918217,0.09944134980975021,0.0,0.2611477704459108,0.12602,0.1635187010711619,0.0,0.4261,0.20606995204083586,0.12995526410843627,0.04794239663901945,0.38537632772928204,-0.058117080518464405,0.22821304147680663,-0.3768330275491303,0.27774872628221337
header,important,0.1,low_density,5,0.9510264680582278,0.0012937511012688387,0.9488077198679767,0.9527126125790691,0.7214899694061752,0.10583015830685176,0.5144710265874282,0.8000150501424838,0.22953649865205245,0.10484586453711865,0.15171095846947813,0.4343366932805486,0.3480940465953405,0.06186537193747234,0.287,0.4476,0.16075607439256073,0.12576412616268914,0.0169,0.3663,0.12709938006199378,0.13133119642195484,0.0,0.3345,0.33441292828684865,0.06712380064776813,0.2710681423049482,0.44481929414388344,0.06780213364081714,0.2771308839962295,-0.33277825123544313,0.4420798991937618
header,important,0.1,mid_density,5,0.9645553801640137,0.0018165391568599834,0.9612117112898009,0.9659447539635784,0.7545731347233058,0.12656155983299247,0.5053347027574558,0.8441442268070476,0.20998224544070795,0.12698144846634254,0.12162705317555778,0.46061005120612253,0.35038751658650036,0.18419848525522986,0.22335,0.7106710671067107,0.23102529540043362,0.2203971024051753,0.0201,0.6356635663566357,0.07097020301015051,0.07150958695948537,0.0,0.1746,0.3447369400355328,0.17833375711248806,0.21106511686404392,0.6937528720906735,0.19263466851561667,0.3004547501629433,-0.1691553115175922,0.6937528720906735
header,random,0.01,high_density,15,0.9994427325279406,0.00010296111025227757,0.9992619965877647,0.9995563148159459,0.9614883960158651,0.05756313962163309,0.8407436688860135,0.9994476612792048,0.03795433651207553,0.05760084471428795,-1.1102230246251565e-16,0.15881264592993238,0.1034866426714657,0.19302530251636651,0.0,0.6924,0.01868,0.023638759132689965,0.0,0.0743,0.08163332266879957,0.1917736720190151,0.0,0.69,0.11448219533019004,0.18152533817155012,0.0,0.6527939870437626,-0.05422828982430227,0.18113462747904138,-0.6480339905137793,0.16040502434274742
header,random,0.01,low_density,15,0.9510264680582275,0.0012937511012688387,0.9488077198679767,0.9527126125790691,0.906200856028144,0.05179702507267198,0.788464287270271,0.9488172347703954,0.044825612030083534,0.05224678707655423,7.414479198664115e-05,0.16270203020812657,0.13670700529947005,0.15383598613904895,0.0,0.5135486451354865,0.05093139352731393,0.08164684678623803,0.0,0.2782,0.05755671566176716,0.12222639892901424,0.0,0.47895210478952105,0.13882642477611512,0.15669246683031324,8.935987019995082e-05,0.5042270262187702,0.010401489802543625,0.18221970651210614,-0.5038296418275037,0.3618690158836688
header,random,0.01,mid_density,15,0.9645553801640135,0.0018165391568599836,0.9612117112898009,0.9659447539635784,0.9269485445380435,0.04941973886147189,0.79325780438882,0.9664833069231122,0.037606835625970295,0.04912787597032934,-0.0005385529595338667,0.17251347559378538,0.1379995659847332,0.16896957871579962,0.0,0.60205,0.07948812307477059,0.14465348658273786,0.0,0.5224,0.03179755121181068,0.06556944268804674,0.0,0.2551627581379069,0.14292384233613123,0.1694727216709584,7.1205050483419e-05,0.5774067345910632,0.06546162881233862,0.1922709842912004,-0.2858233681245136,0.5771115833879171
header,random,0.05,high_density,15,0.9994427325279406,0.00010296111025227757,0.9992619965877647,0.9995563148159459,0.9612775859396999,0.03263067151224577,0.9017154623824611,0.9991997114372969,0.03816514658824074,0.03262598261054936,0.00022179677979727863,0.09754653420530357,0.2000744704392455,0.2471169089035619,0.0112,0.704759048190362,0.04045925748183696,0.06599763967470021,0.0,0.2738,0.15397544891021794,0.26165385625961723,0.0,0.7008598280343932,0.2119627657970513,0.22371821469857978,0.028146023563750806,0.6800070559133796,-0.11316165444678715,0.2765164040663524,-0.6794814972922602,0.2832860131956457
header,random,0.05,low_density,15,0.9510264680582275,0.0012937511012688387,0.9488077198679767,0.9527126125790691,0.8705703159584234,0.050385574318496565,0.7364308096408432,0.9452378810809953,0.0804561520998042,0.04991312064043266,0.005928436397402259,0.21237691022713356,0.2535968669799687,0.13294199546637606,0.0575942405759424,0.5335,0.08085204946172049,0.08975536891843443,0.0,0.3073,0.12533225410792254,0.16032688797834868,0.0,0.4926,0.24729710451692047,0.12535517511115665,0.06260786447327249,0.5262155147951869,-0.021518686151210907,0.2547723759360511,-0.5253584579728047,0.39617644075008945
header,random,0.05,mid_density,15,0.9645553801640135,0.0018165391568599836,0.9612117112898009,0.9659447539635784,0.8942219023369492,0.05131376548051004,0.7506851438720712,0.9582484091486672,0.07033347782706448,0.051476239563942795,0.007522870833938211,0.21525961009150718,0.2430574008206194,0.1493765391359082,0.05590279513975699,0.6735,0.12954953107287995,0.16355158619499724,0.0,0.59275,0.07008663847773847,0.0844737208075442,0.0,0.2448244824482448,0.24027823491802935,0.13862868128539893,0.07531403266301795,0.6603764502437481,0.07813671389663276,0.24933732270084313,-0.2841176500551084,0.6603764502437481
