seed,feature_group,mask_type,strength,high_density_flip_rate,low_density_flip_rate,delta_flip_density,flip_density_ratio
42,all,random,0.05,0.06683333333333334,0.10356666666666665,0.03673333333333331,1.5496259351620945
42,all,random,0.1,0.027366666666666668,0.056100000000000004,0.028733333333333336,2.0499390986601704
42,header,important,0.01,0.0625,0.245,0.1825,3.92
42,header,important,0.05,0.6751,0.489,-0.18610000000000004,0.7243371352392237
42,header,important,0.1,0.4285,0.3921,-0.03639999999999999,0.9150525087514586
42,header,random,0.01,0.1764,0.17383333333333337,-0.002566666666666634,0.9854497354497357
42,header,random,0.05,0.044566666666666664,0.17356666666666665,0.12899999999999998,3.8945400149588627
42,header,random,0.1,0.5965666666666666,0.32589999999999997,-0.2706666666666666,0.5462926747499581
42,imports,important,0.01,0.03594940454175605,0.0756,0.039650595458243953,2.1029555555555555
42,imports,important,0.05,0.08351209408979954,0.1403,0.05678790591020047,1.679996191319752
42,imports,important,0.1,0.10518529477032325,0.1771,0.07191470522967676,1.683695428973277
42,imports,random,0.01,0.0007643563379934413,0.007366666666666667,0.006602310328673226,9.637738709677421
42,imports,random,0.05,0.012106418127573538,0.039233333333333335,0.0271269152057598,3.2407052953156827
42,imports,random,0.1,0.01400498064452499,0.055700000000000006,0.04169501935547502,3.9771565140845078
42,section,important,0.01,0.1473,0.2257,0.07840000000000003,1.53224711473184
42,section,important,0.05,0.2189,0.2963,0.0774,1.353586112380082
42,section,important,0.1,0.5728,0.2639,-0.30889999999999995,0.4607192737430168
42,section,random,0.01,0.09156666666666667,0.037166666666666674,-0.0544,0.4058973425555152
42,section,random,0.05,0.033499999999999995,0.08116666666666666,0.04766666666666667,2.422885572139304
42,section,random,0.1,0.08833333333333333,0.12183333333333334,0.0335,1.379245283018868
42,strings,important,0.01,0.6353,0.5532,-0.08209999999999995,0.8707697150952307
42,strings,important,0.05,0.6544,0.568,-0.08640000000000003,0.8679706601466992
42,strings,important,0.1,0.6532,0.5675,-0.0857,0.8687997550520514
42,strings,random,0.01,0.003866666666666667,0.009933333333333334,0.006066666666666666,2.568965517241379
42,strings,random,0.05,0.05976666666666666,0.18533333333333335,0.1255666666666667,3.1009481316229786
42,strings,random,0.1,0.2841666666666667,0.35956666666666665,0.07539999999999997,1.2653372434017593
77,all,important,0.01,0.5926,0.2964,-0.2962,0.5001687478906514
77,all,important,0.05,0.6244,0.3605,-0.26389999999999997,0.5773542600896862
77,all,important,0.1,0.6182,0.2505,-0.36769999999999997,0.4052086703332255
77,all,random,0.01,0.005399999999999999,0.02426666666666667,0.01886666666666667,4.4938271604938285
77,all,random,0.05,0.016,0.035333333333333335,0.019333333333333334,2.2083333333333335
77,all,random,0.1,0.07123333333333333,0.11116666666666668,0.03993333333333335,1.56059897051942
77,header,important,0.01,0.0617,0.2781,0.2164,4.5072933549432745
77,header,important,0.05,0.3602,0.3932,0.032999999999999974,1.0916157690172126
77,header,important,0.1,0.0475,0.287,0.2395,6.042105263157894
77,header,random,0.01,0.0,0.008,0.008,nan
77,header,random,0.05,0.25576666666666664,0.2606,0.004833333333333356,1.018897432555715
77,header,random,0.1,0.07583333333333334,0.2725666666666667,0.19673333333333334,3.5942857142857143
77,imports,important,0.01,0.020720276270350273,0.0563,0.03557972372964973,2.717145238095238
