seed,density_bin,feature_group,n_samples,auc,mix_at_10,js_divergence
123,low_density,imports,120002,0.9280357382865532,0.1325152914118098,0.01830088533461094
123,high_density,strings,120001,0.9972870286295745,0.01618236514695711,0.00047442049253731966
123,mid_density,strings,239997,0.9689504390101296,0.06154118593149079,0.00016255126683972776
123,low_density,strings,120002,0.9442842167447463,0.11123481275312079,0.0005997342523187399
123,high_density,all,120001,0.9984309645635483,0.013794885042624647,0.07251140475273132
123,mid_density,all,239997,0.9918642163865867,0.043302207944265966,0.07941379211843014
123,low_density,all,120002,0.9766313240272193,0.08401526641222647,0.0779266208410263
2024,high_density,header,120001,0.9960238790426788,0.019568170265247792,0.06743463315069675
2024,mid_density,header,239998,0.9836907912810299,0.04965374711455929,0.07930778153240681
2024,low_density,header,120001,0.9554235602961209,0.08432179731835569,0.080965057015419
2024,high_density,section,120001,0.9980493190368296,0.018838176348530425,0.03655708581209183
2024,mid_density,section,239998,0.9891059126449354,0.04591746597888317,0.10402699932456017
2024,low_density,section,120001,0.9727151507882965,0.07329355588703429,0.21058981120586395
2024,high_density,imports,120001,0.9138036723447155,0.15934617211523242,0.0595682468265295
2024,mid_density,imports,239998,0.9436257675138948,0.13767073058942156,0.04089776799082756
2024,low_density,imports,120001,0.9305397272464326,0.13172723560636992,0.01864650845527649
2024,high_density,strings,120001,0.9975479926911359,0.015201539987166774,0.0005035062786191702
2024,mid_density,strings,239998,0.9672758383365935,0.06238385319877666,0.00016717539983801544
2024,low_density,strings,120001,0.9469281977278933,0.10894409213256556,0.0005199240695219487
2024,high_density,all,120001,0.9985295775233837,0.012995725035624702,0.06775947287678719
2024,mid_density,all,239998,0.9905852855421924,0.04301744181201509,0.07952965050935745
2024,low_density,all,120001,0.9774512213765854,0.08263597803351638,0.08223282918334007
