seed,feature_group,test_week,perturbation_type,strength,trial_id,n_masked_features,auc,mix_at_k,silhouette,js_divergence,delta_auc,delta_mix_at_k,delta_silhouette,delta_js_divergence
77,imports,2024-11-03_2024-11-09,random,0.05,15,65,0.91305006,0.15602,0.022046590008818413,0.03325838732936851,0.004402437500000023,-0.001077500000000009,0.00013824168755651595,-0.0009228384885245702
77,imports,2024-11-03_2024-11-09,random,0.05,16,65,0.9072652999999999,0.156725,0.02206081570650573,0.03335485318930935,-0.0013823225000000328,-0.00037249999999999783,0.00015246738524383324,-0.0008263726285837325
77,imports,2024-11-03_2024-11-09,random,0.05,17,65,0.8919860899999998,0.1566425,0.021583111816431664,0.033025799412753416,-0.01666153250000013,-0.00045500000000001095,-0.00032523650483023275,-0.001155426405139666
77,imports,2024-11-03_2024-11-09,random,0.05,18,65,0.90111230875,0.157495,0.021531424273094138,0.06374011207425125,-0.007535313749999939,0.0003974999999999951,-0.0003769240481677587,0.029558886256358163
77,imports,2024-11-03_2024-11-09,random,0.05,19,65,0.9027350424999999,0.156085,0.022052933356784158,0.03339049025272004,-0.005912580000000056,-0.0010124999999999995,0.00014458503552226137,-0.0007907355651730411
77,imports,2024-11-03_2024-11-09,random,0.05,20,65,0.9034680725,0.1563775,0.021821782290718444,0.0330129288538733,-0.005179549999999922,-0.0007199999999999984,-8.656603054345291e-05,-0.00116829696401978
77,imports,2024-11-03_2024-11-09,important,0.1,0,129,0.7142803262499999,0.1758125,0.01915737811297656,0.06793775322512441,-0.19436729625000004,0.01871500000000001,-0.0027509702082853353,0.033756527407231326
77,imports,2024-11-03_2024-11-09,random,0.1,1,129,0.8836965825000002,0.15719,0.022327150392333236,0.03234161455970151,-0.024951039999999813,9.249999999999536e-05,0.00041880207107133915,-0.0018396112581915702
77,imports,2024-11-03_2024-11-09,random,0.1,2,129,0.88449480125,0.156575,0.022029013473461825,0.03214877950126832,-0.024152821249999956,-0.0005225000000000091,0.00012066515219992871,-0.0020324463166247614
77,imports,2024-11-03_2024-11-09,random,0.1,3,129,0.85802319,0.1561925,0.02082521996083135,0.03187225548713642,-0.05062443249999993,-0.0009049999999999891,-0.0010831283604305457,-0.0023089703307566656
77,imports,2024-11-03_2024-11-09,random,0.1,4,129,0.8939996100000001,0.1561675,0.02201036849149017,0.03190526224245301,-0.014648012499999918,-0.0009300000000000141,0.00010202017022827373,-0.0022759635754400695
77,imports,2024-11-03_2024-11-09,random,0.1,5,129,0.870430815,0.1431225,0.021423165436218514,0.03207046118153589,-0.038216807500000005,-0.013974999999999987,-0.000485182885043383,-0.0021107646363571902
77,imports,2024-11-03_2024-11-09,random,0.1,6,129,0.893878525,0.15643,0.022370402313267538,0.03284697899570371,-0.014769097499999995,-0.0006674999999999875,0.0004620539920056413,-0.0013342468221893694
77,imports,2024-11-03_2024-11-09,random,0.1,7,129,0.8505460174999999,0.1572825,0.021243959025018692,0.03253408095031589,-0.058101605000000056,0.00018499999999999073,-0.0006643892962432049,-0.0016471448675771938
77,imports,2024-11-03_2024-11-09,random,0.1,8,129,0.89802615,0.1571425,0.02226646162345006,0.03203770730918788,-0.010621472500000007,4.499999999998949e-05,0.00035811330218816356,-0.0021435185087052
77,imports,2024-11-03_2024-11-09,random,0.1,9,129,0.8888510675000001,0.1577875,0.02162092211749074,0.032553753780792935,-0.019796554999999882,0.0006899999999999962,-0.00028742620377115655,-0.0016274720371001472
77,imports,2024-11-03_2024-11-09,random,0.1,10,129,0.8884363175000001,0.1576125,0.02220483698022841,0.03290883014243333,-0.0202113049999999,0.0005149999999999877,0.0002964886589665143,-0.0012723956754597532
77,imports,2024-11-03_2024-11-09,random,0.1,11,129,0.9056606599999999,0.1438025,0.022336473002500166,0.03253312279323643,-0.002986962500000079,-0.013295000000000001,0.00042812468123826913,-0.0016481030246566497
77,imports,2024-11-03_2024-11-09,random,0.1,12,129,0.8795195650000001,0.1578675,0.02141612416422293,0.032928727209383196,-0.029128057499999915,0.0007699999999999929,-0.0004922241570389681,-0.001252498608509886
77,imports,2024-11-03_2024-11-09,random,0.1,13,129,0.8904897250000001,0.15738,0.02129984939438331,0.03265405814395815,-0.018157897499999853,0.0002824999999999911,-0.0006084989268785868,-0.0015271676739349316
77,imports,2024-11-03_2024-11-09,random,0.1,14,129,0.8899907075,0.158915,0.021972752385274536,0.03243131121332752,-0.018656914999999996,0.0018174999999999997,6.440406401263948e-05,-0.0017499146045655625
77,imports,2024-11-03_2024-11-09,random,0.1,15,129,0.89748597,0.15776,0.02209908949306006,0.03237382244370014,-0.011161652500000008,0.0006625000000000103,0.00019074117179816372,-0.0018074033741929396
77,imports,2024-11-03_2024-11-09,random,0.1,16,129,0.8811701350000001,0.1573325,0.02186262399651593,0.03208198853622923,-0.027477487499999897,0.00023499999999998522,-4.572432474596669e-05,-0.002099237281663849
77,imports,2024-11-03_2024-11-09,random,0.1,17,129,0.8924992175,0.1571625,0.022428044601363037,0.03297995219248764,-0.01614840499999992,6.50000000000095e-05,0.0005196962801011402,-0.0012012736254054454
77,imports,2024-11-03_2024-11-09,random,0.1,18,129,0.8869018137500001,0.1571225,0.02136273621762884,0.06430877881107191,-0.021745808749999873,2.4999999999997247e-05,-0.0005456121036330579,0.030127552993178833
77,imports,2024-11-03_2024-11-09,random,0.1,19,129,0.893351095,0.143465,0.02182495020241742,0.03190008537943637,-0.01529652749999999,-0.013632499999999992,-8.339811884447781e-05,-0.0022811404384567094
77,imports,2024-11-03_2024-11-09,random,0.1,20,129,0.853155925,0.156755,0.021101528183304553,0.03181240635436434,-0.05549169749999994,-0.0003424999999999956,-0.0008068201379573432,-0.0023688194635287443
77,imports,2024-11-10_2024-11-16,baseline,0.0,0,0,0.8987932912500001,0.18084,0.027450755343770398,0.028929011789930483,0.0,0.0,0.0,0.0
77,imports,2024-11-10_2024-11-16,important,0.01,0,13,0.8597938224999999,0.1839425,0.026243547065821833,0.057760323097966325,-0.038999468750000155,0.003102500000000008,-0.0012072082779485648,0.02883131130803584
77,imports,2024-11-10_2024-11-16,random,0.01,1,13,0.89904370375,0.181165,0.027428371987028397,0.02882086508489182,0.000250412499999908,0.00032499999999999196,-2.2383356742001342e-05,-0.0001081467050386628
77,imports,2024-11-10_2024-11-16,random,0.01,2,13,0.8983995412500001,0.1810175,0.027385201751420004,0.028645004159163875,-0.0003937499999999705,0.0001774999999999971,-6.555359235039387e-05,-0.0002840076307666084
77,imports,2024-11-10_2024-11-16,random,0.01,3,13,0.8957908587500001,0.1808075,0.027548660699664374,0.02872707144097459,-0.003002432499999985,-3.249999999999087e-05,9.790535589397631e-05,-0.0002019403489558931
77,imports,2024-11-10_2024-11-16,random,0.01,4,13,0.9035518312499999,0.181045,0.02753654728877227,0.028893641836987827,0.004758539999999867,0.00020500000000001073,8.579194500187362e-05,-3.5369952942655714e-05
77,imports,2024-11-10_2024-11-16,random,0.01,5,13,0.89412024125,0.180815,0.027510740914340283,0.02880566965582494,-0.004673050000000067,-2.4999999999997247e-05,5.998557056988499e-05,-0.00012334213410554462
77,imports,2024-11-10_2024-11-16,random,0.01,6,13,0.8998178674999999,0.1805575,0.02748264933396215,0.028810779193015057,0.0010245762499998534,-0.0002824999999999911,3.1893990191753097e-05,-0.00011823259691542617
77,imports,2024-11-10_2024-11-16,random,0.01,7,13,0.9018847737500002,0.1807725,0.02745553322586238,0.02882186705371968,0.003091482500000131,-6.749999999999812e-05,4.777882091983737e-06,-0.00010714473621080411
77,imports,2024-11-10_2024-11-16,random,0.01,8,13,0.89826959375,0.180565,0.02730807135721632,0.028848256706280072,-0.000523697500000031,-0.00027499999999999747,-0.0001426839865540791,-8.075508365041131e-05
77,imports,2024-11-10_2024-11-16,random,0.01,9,13,0.8941703837500001,0.180465,0.027480158025466155,0.028752488284763858,-0.00462290749999994,-0.0003750000000000142,2.940268169575669e-05,-0.00017652350516662516
