k,scope,feature_group,metric,mean,std,min,max
10,rank,section,family_macro_f1_rank,2.216666666666667,0.486198404860494,1.0,3.0
10,metric,imports,same_family_rate_at_k,0.724968222290938,0.017038003759766725,0.6865142478462558,0.7566358024691358
10,metric,imports,family_silhouette,-0.03201442573701588,0.04120855850562289,-0.10009415580049104,0.04852633769348167
10,metric,imports,family_macro_f1,0.7265747655347093,0.013142732935388582,0.7028369851986793,0.7594637897407666
10,rank,imports,same_family_rate_at_k_rank,4.0,0.0,4.0,4.0
10,rank,imports,family_silhouette_rank,1.35,0.6006940430313367,1.0,3.0
10,rank,imports,family_macro_f1_rank,5.0,0.0,5.0,5.0
10,metric,strings,same_family_rate_at_k,0.694681616157945,0.016578396170780295,0.668057366362451,0.733641975308642
10,metric,strings,family_silhouette,-0.15259356903944307,0.04159937427749707,-0.2493937759928671,-0.08907331483401677
10,metric,strings,family_macro_f1,0.7926126599073359,0.021038986081032152,0.7410029962112394,0.83583952264519
10,rank,strings,same_family_rate_at_k_rank,5.0,0.0,5.0,5.0
10,rank,strings,family_silhouette_rank,4.35,0.7921489758877429,2.0,5.0
10,rank,strings,family_macro_f1_rank,3.8,0.4,3.0,4.0
10,metric,all,same_family_rate_at_k,0.7679983692361424,0.012999606834869082,0.7461538461538462,0.8002160493827161
10,metric,all,family_silhouette,-0.12896124867632336,0.04994142215814364,-0.23041362136080054,-0.03441775757317298
10,metric,all,family_macro_f1,0.8752708229736759,0.02377777465150277,0.8276692808555215,0.938868581537588
10,rank,all,same_family_rate_at_k_rank,3.0,0.0,3.0,3.0
10,rank,all,family_silhouette_rank,3.8666666666666667,0.9030811456096044,2.0,5.0
10,rank,all,family_macro_f1_rank,1.05,0.2179449471770337,1.0,2.0
15,metric,header,same_family_rate_at_k,0.7545238869655544,0.015487241528324886,0.7312190733243364,0.7941975308641975
15,metric,header,family_silhouette,-0.07583763002225447,0.06488937004693937,-0.22301618787662414,0.07263763859457094
15,metric,header,family_macro_f1,0.8147976254455324,0.03149575671668841,0.7548763457376805,0.8858036193822161
15,rank,header,same_family_rate_at_k_rank,1.9333333333333333,0.2494438257849294,1.0,2.0
15,rank,header,family_silhouette_rank,2.4166666666666665,0.9181805680559547,1.0,5.0
