feature_group,operator,selection_type,selection_mode,selection_value,selection_label,n_weeks,n_selected_features_mean,n_candidate_features,auc_across_weeks_mean,auc_across_weeks_std,auc_across_weeks_min,auc_across_weeks_max,delta_auc_across_weeks_mean,delta_auc_across_weeks_std,delta_auc_across_weeks_min,delta_auc_across_weeks_max,flip_rate_across_weeks_mean,flip_rate_across_weeks_std,flip_rate_across_weeks_min,flip_rate_across_weeks_max,malware_to_benign_rate_across_weeks_mean,malware_to_benign_rate_across_weeks_std,malware_to_benign_rate_across_weeks_min,malware_to_benign_rate_across_weeks_max,mean_abs_probability_shift_across_weeks_mean,mean_abs_probability_shift_across_weeks_std,mean_abs_probability_shift_across_weeks_min,mean_abs_probability_shift_across_weeks_max,mean_signed_probability_shift_across_weeks_mean,mean_signed_probability_shift_across_weeks_std,mean_signed_probability_shift_across_weeks_min,mean_signed_probability_shift_across_weeks_max,mean_margin_shift_across_weeks_mean,mean_margin_shift_across_weeks_std,mean_margin_shift_across_weeks_min,mean_margin_shift_across_weeks_max,boundary_low_10_flip_rate_across_weeks_mean,boundary_low_10_flip_rate_across_weeks_std,boundary_low_10_flip_rate_across_weeks_min,boundary_low_10_flip_rate_across_weeks_max,boundary_low_10_malware_to_benign_rate_across_weeks_mean,boundary_low_10_malware_to_benign_rate_across_weeks_std,boundary_low_10_malware_to_benign_rate_across_weeks_min,boundary_low_10_malware_to_benign_rate_across_weeks_max
header,header_benign_substitution,random,budget,3.0,Top-3,12,3.0,7,0.9428109132739584,0.013626120018451312,0.917816828175,0.9650712890625002,-0.006380652955208322,0.0014597329194771574,-0.008138880975000031,-0.003409037437499971,0.030210125000000004,0.0060696538654914246,0.019919000000000003,0.042277499999999996,0.022702750000000004,0.005049005840674643,0.0139665,0.0327205,0.0352912863275086,0.005863122467566093,0.02589018028493804,0.045124192448942724,-0.023705157544102216,0.004323543911258282,-0.033710303072910695,-0.01813539957983721,-0.01542699198653335,0.004085256516949679,-0.02588113788334572,-0.00902568486437491,0.13404249999999998,0.01222972548410906,0.11371999999999999,0.16255499999999998,0.06632833333333334,0.010337602948567053,0.04488000000000001,0.08354
header,header_bounded_jitter,random,budget,3.0,Top-3,12,3.0,7,0.9459057679781249,0.012938058593397748,0.9210736139,0.965695961925,-0.003285798251041656,0.0005792110031765796,-0.004671608350000022,-0.0026370606500000114,0.01395975,0.0021802161446746507,0.011198999999999999,0.018409,0.011188375,0.0018151767490270298,0.009065499999999999,0.015371500000000003,0.01710073290114134,0.0018202643817718039,0.013745294627833315,0.019911935854008803,-0.011950184459522568,0.001683936319745902,-0.015015764794519843,-0.00896560373693885,-0.006962618255227298,0.001860179292379181,-0.010288636931361785,-0.00476349526065593,0.059935416666666665,0.014256369403757357,0.037970000000000004,0.09052500000000001,0.037360000000000004,0.009080584599389329,0.022525,0.051980000000000005
header,header_benign_substitution,baseline,baseline,0.0,Baseline,12,0.0,7,0.9491915662291667,0.012553868964072686,0.9257452222500001,0.9684803264999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,header_bounded_jitter,baseline,baseline,0.0,Baseline,12,0.0,7,0.9491915662291667,0.012553868964072686,0.9257452222500001,0.9684803264999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,imports_benign_mass_injection,important,ratio,0.01,1%,12,13.0,1282,0.9317869393541666,0.006913748917752047,0.9213939662499999,0.9458630717500001,0.02651317095833332,0.004772098911411945,0.01927657299999992,0.03551800974999997,0.1518325,0.02206547874131294,0.12431,0.19646,0.02351666666666667,0.003970642965006493,0.01552,0.028650000000000002,0.10329348809450194,0.012517879243823173,0.07984609790125193,0.126656540812126,0.06150976526678964,0.00997718029948008,0.04868907661038388,0.08207436589845357,0.03325438100472902,0.004605838774775528,0.026797459005598656,0.0430432117216892,0.444175,0.03540993563488453,0.39540000000000003,0.5163,0.07663333333333334,0.01597958767372369,0.053000000000000005,0.1085
imports,imports_benign_mass_injection,random,ratio,0.01,1%,12,13.0,1282,0.9037865585177083,0.009055738208948616,0.8884348480250001,0.9174121222624998,-0.001487209878125003,0.002854560346024656,-0.005867342012500059,0.0025588915250000267,0.021991458333333335,0.0042217788384475916,0.014841,0.028395999999999998,0.007539833333333332,0.0011679644567461041,0.0063725000000000006,0.010525,0.02009025178556246,0.0025443802017763753,0.016808454603838115,0.02525864560607438,-0.0008612625163530252,0.00342150947141653,-0.008195357492880235,0.003981368844641224,0.00030318334091258636,0.0009000139761926321,-0.001533167545699232,0.002057851533876269,0.12449416666666667,0.007500845739352028,0.109755,0.13445,0.061331250000000004,0.009696065165184278,0.04899,0.08281000000000001
imports,imports_benign_mass_injection,important,ratio,0.05,5%,12,65.0,1282,0.8997723885833332,0.010212532978256755,0.886777421,0.9208422135,-0.00550137981250001,0.007979111547017935,-0.018144350500000093,0.0060974655000000325,0.15445416666666667,0.019620140782001427,0.12589,0.19296,0.0714225,0.008124266248919548,0.055950000000000014,0.08141000000000001,0.11854171157158572,0.01269811474803512,0.0925644086429872,0.13665874194182412,-0.027838808424719735,0.011335527247571853,-0.044251224190412865,-0.012120359656891077,-0.02130580968258973,0.004467777603550816,-0.03194759708414604,-0.015638139347581754,0.40504999999999997,0.01879217478987818,0.3708,0.4305,0.22499166666666667,0.03320934753783772,0.1647,0.28809999999999997
imports,imports_benign_mass_injection,random,ratio,0.05,5%,12,65.0,1282,0.8916825913041667,0.012696587753076482,0.8616984736499999,0.9097595559625,-0.01359117709166667,0.005531309156169587,-0.024177482849999977,-0.005556534900000038,0.06785812499999999,0.009003369175214816,0.047921500000000006,0.08047849999999998,0.03235058333333333,0.0062227004180705646,0.021436999999999998,0.040778,0.05651856943818643,0.006664253568154715,0.041609333584587294,0.06489943831484614,-0.014821027314037274,0.006950391857809856,-0.02715522529589347,-0.0036519982919157863,0.0024696423019619656,0.0023225268191552663,-0.0026112949699358423,0.006531185589009968,0.29330125,0.019090403143660957,0.24880500000000003,0.3208950000000001,0.16748875,0.028886526207804332,0.10713,0.20377499999999998
imports,imports_benign_mass_injection,important,ratio,0.1,10%,12,129.0,1282,0.8331065441250001,0.015271275178041764,0.8093903539999999,0.859979969,-0.07216722427083334,0.00637729143289693,-0.08206541574999993,-0.06116668075,0.19334416666666665,0.024539874170532244,0.13713999999999998,0.22405999999999998,0.15749833333333332,0.022376061179056713,0.10797000000000001,0.18957,0.1576626585853973,0.01798560982949359,0.11874461287585263,0.18029474038291074,-0.11123256497258205,0.015823846793678344,-0.13474251577536017,-0.08139006482739461,-0.031115911805636377,0.006808067038825854,-0.04273439225438531,-0.021897212361237532,0.38384166666666664,0.04192756568045525,0.30720000000000003,0.4619,0.2949583333333333,0.047577909060356534,0.205,0.38360000000000005
imports,imports_benign_mass_injection,random,ratio,0.1,10%,12,129.0,1282,0.8826054790145834,0.013951219942503845,0.8500550840750001,0.9014814725,-0.02266828938125001,0.007671113603403029,-0.03582087242499999,-0.012198460175000012,0.09913599999999999,0.01265716107255757,0.07402,0.11864900000000002,0.05155183333333333,0.009515952810354245,0.035876,0.068215,0.08188786279232323,0.01016332466990739,0.06292564664124972,0.0975824881166722,-0.02503928832939439,0.01008767732574545,-0.04259113565086516,-0.010493871669091239,0.005828983942670521,0.0038472905454637386,-0.0023554374178606312,0.010992030037609684,0.35481250000000003,0.015007707950139016,0.325985,0.37526499999999996,0.19699541666666665,0.025770254449844345,0.13591,0.22923999999999997
imports,imports_benign_mass_injection,baseline,baseline,0.0,Baseline,12,0.0,1282,0.9052737683958334,0.01006088981424189,0.8858759565,0.92114664975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
